FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.44,POINT (16.471667779933785 48.16213068226658),11,Zinnergasse-Klebingergasse (Hofer Ausfahrt),44,
AKUSTISCHEAMPELOGD.45,POINT (16.46914066060236 48.15735414252662),11,Etrichstr.-Valiergasse,45,
AKUSTISCHEAMPELOGD.47,POINT (16.382125335343446 48.15603593971841),10,Favoritenstr.-Libussagasse,47,
AKUSTISCHEAMPELOGD.48,POINT (16.376806646598425 48.18328626443238),10,Sonnwendgasse-Reisingergasse,48,
AKUSTISCHEAMPELOGD.49,POINT (16.37578066654925 48.184164374912996),10,Sonnwendgasse-Johannitergasse,49,
AKUSTISCHEAMPELOGD.50,POINT (16.388462391707712 48.16630885806916),10,Laaer-Berg-Strasse-Rudolf-Frimmel-Gasse,50,
AKUSTISCHEAMPELOGD.51,POINT (16.354114520627565 48.22443932821735),9,Nußdorfer Str.-Fuchsthallerg.,51,
AKUSTISCHEAMPELOGD.52,POINT (16.345585746107606 48.18478659904082),5,Margaretengürtel-Gießaufgasse,52,
AKUSTISCHEAMPELOGD.54,POINT (16.47028849239197 48.21867276628541),22,Langobardenstr.-Kapellenweg,54,
AKUSTISCHEAMPELOGD.55,POINT (16.392827360561412 48.202642802146705),3,Erdbergstr.-Kundmanngasse,55,
AKUSTISCHEAMPELOGD.56,POINT (16.433846276084342 48.26511010028594),21,Julius-Ficker-Straße-Siemensstraße,56,
AKUSTISCHEAMPELOGD.57,POINT (16.460923537816548 48.16885766059292),,Jedletzbergerstrasse-Ausfahrt Metro,57,
AKUSTISCHEAMPELOGD.58,POINT (16.303548858588453 48.2046003241796),14,Maroltingergasse-Steinbruchstraße,58,
AKUSTISCHEAMPELOGD.59,POINT (16.434126931677316 48.24489793487997),22,Prandaugasse-Attemsgasse,59,
AKUSTISCHEAMPELOGD.60,POINT (16.42999112961 48.248380203053976),22,Tokiostraße-Arakawastraße,60,
AKUSTISCHEAMPELOGD.61,POINT (16.404770858263678 48.26942737753949),21,Brünner Straße-Martha-Steffy-Browne-Gasse,61,
AKUSTISCHEAMPELOGD.63,POINT (16.354776772552 48.19457462826996),5,Rechte Wienzeile-ON 71,63,
AKUSTISCHEAMPELOGD.65,POINT (16.368009209225935 48.199167315004836),4,Wiedner Hauptstr.-Resselg.,65,
AKUSTISCHEAMPELOGD.66,POINT (16.3841671618159 48.195333733890195),3,Rennweg-Praetoriusgasse,66,
AKUSTISCHEAMPELOGD.67,POINT (16.406511614308194 48.185130654775655),3,Litfaßstr.-Marianne Heinischg.,67,
AKUSTISCHEAMPELOGD.68,POINT (16.392814287925052 48.200601607704975),3,Landstr. Hptstr.-Hintzerstrasse,68,
AKUSTISCHEAMPELOGD.71,POINT (16.456290846109102 48.18720226739463),2,Seitenhafenstr.-Hellingstraße,71,
AKUSTISCHEAMPELOGD.72,POINT (16.455739941303573 48.189983493228794),2,Seitenhafenstr.-Hafenzufahrtsstr.,72,
AKUSTISCHEAMPELOGD.73,POINT (16.399270837257607 48.227782644849526),2,Engerthstrasse-Haussteinstrasse,73,
AKUSTISCHEAMPELOGD.74,POINT (16.36967728559552 48.22173660406763),2,Obere Donaustrasse-ON 29,74,
AKUSTISCHEAMPELOGD.77,POINT (16.37321412766912 48.217678173301536),2,Obere Donaustrasse-Herminengasse,77,
AKUSTISCHEAMPELOGD.78,POINT (16.312755416619417 48.18702837268366),13,Schönbrunner Schloßbr.-Schönbrunner Schloßstr.,78,
AKUSTISCHEAMPELOGD.79,POINT (16.31388090478882 48.186725757881995),13,Schönbrunner Schloßstr.-Vorplatz,79,
AKUSTISCHEAMPELOGD.80,POINT (16.363810628277445 48.19846232746791),4,Rechte Wienzeile-Schleifmühlg.,80,
AKUSTISCHEAMPELOGD.81,POINT (16.3347788295592 48.197299101621496),15,Felberstrasse-Hackengasse,81,
AKUSTISCHEAMPELOGD.82,POINT (16.35218871272718 48.20934234159699),8,Josefstädter Str.-Lange G.,82,
AKUSTISCHEAMPELOGD.83,POINT (16.32985523001217 48.17427485230118),12,Edelsinnstr.-Koppreiterg.,83,
AKUSTISCHEAMPELOGD.172,POINT (16.367068287445086 48.19584051814044),4,Wiedner Hauptstr.-Paulanerg.,172,
AKUSTISCHEAMPELOGD.173,POINT (16.383482882093897 48.23886378828576),20,Allerheiligenpl.-Hellwagstr.,173,
AKUSTISCHEAMPELOGD.174,POINT (16.375628890116783 48.19919981550714),3,Am Heumarkt-Schwarzenbergpl.,174,
AKUSTISCHEAMPELOGD.175,POINT (16.28709520401949 48.19686453863315),14,Hütteldorfer Str.-Zehetnerg.,175,
AKUSTISCHEAMPELOGD.176,POINT (16.39463723428642 48.21239072258004),2,Schüttelstr.-Laufbergerg.,176,
AKUSTISCHEAMPELOGD.177,POINT (16.408698973513527 48.1864876929168),3,Litfaßstr.-Maria Jakobi G.,177,
