FID,SHAPE,BEZIRK,STRASSE,BEZUG,ONR,BIS,STIEGE,FRAKTION_PA,FRAKTION_BI,FRAKTION_DO,FRAKTION_G,FRAKTION_KV,FRAKTION_TEXT,URL_TEXT,SE_SDO_ROWID,SE_ANNO_CAD_DATA
ALTSTOFFSAMMLUNGOGD.67,POINT (16.401447356808877 48.221720965185185),2,Ennsgasse,gegenüber,7,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,67,
ALTSTOFFSAMMLUNGOGD.68,POINT (16.39465018281431 48.22597857155905),2,Ernst-Melchior-Gasse,neben,9,,,0,1,0,1,0," Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,68,
ALTSTOFFSAMMLUNGOGD.69,POINT (16.378386127772316 48.21353971791347),2,Gredlerstraße,vor,2,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,69,
ALTSTOFFSAMMLUNGOGD.70,POINT (16.38124253940636 48.21402210337392),2,Große Mohrengasse,vor,5,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,70,
ALTSTOFFSAMMLUNGOGD.71,POINT (16.379517267267563 48.21868311629667),2,Große Pfarrgasse,vor,15,,,0,0,1,0,1," Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,71,
ALTSTOFFSAMMLUNGOGD.72,POINT (16.375484728529216 48.21730879620779),2,Große Schiffgasse,gegenüber,18,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,72,
ALTSTOFFSAMMLUNGOGD.73,POINT (16.446639971026308 48.19597101663353),2,Hafenzufahrtsstraße,neben,12,,,0,1,0,0,0, Biomüll,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,73,
ALTSTOFFSAMMLUNGOGD.74,POINT (16.39138824142056 48.2164789175364),2,Hedwiggasse,gegenüber,2,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,74,
ALTSTOFFSAMMLUNGOGD.75,POINT (16.38635793249805 48.2203401041729),2,Heinestraße,neben,25,,,0,0,1,1,1," Altglas, Altmetall, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,75,
ALTSTOFFSAMMLUNGOGD.76,POINT (16.389898293666466 48.21836603084107),2,Heinestraße,vor,40,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,76,
ALTSTOFFSAMMLUNGOGD.77,POINT (16.375862008571737 48.21481755953378),2,Hollandstraße,vor,1,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,77,
ALTSTOFFSAMMLUNGOGD.78,POINT (16.39082495346262 48.23237530261442),2,Innstraße,neben,20,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,78,
ALTSTOFFSAMMLUNGOGD.79,POINT (16.398879528009015 48.21474415324728),2,Jantschweg,vor,108,,,1,0,0,0,1," Kunststoff, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,79,
ALTSTOFFSAMMLUNGOGD.80,POINT (16.424596707045374 48.20907096778072),2,Josef-Fritsch-Weg,gegenüber,1,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,80,
ALTSTOFFSAMMLUNGOGD.81,POINT (16.405497133250705 48.22094041252611),2,Jungstraße,bei,11,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,81,
ALTSTOFFSAMMLUNGOGD.82,POINT (16.38030566756535 48.216280382069876),2,Karmelitergasse,gegenüber,13,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,82,
ALTSTOFFSAMMLUNGOGD.83,POINT (16.381354552445735 48.222936530208095),2,Klanggasse,gegenüber,3,,,0,0,0,1,0," Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,83,
ALTSTOFFSAMMLUNGOGD.84,POINT (16.401107783964978 48.223503061531034),2,Lassallestraße,vor,40,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,84,
ALTSTOFFSAMMLUNGOGD.85,POINT (16.376205904771204 48.22009867469494),2,Malzgasse,vor,12A,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,85,
ALTSTOFFSAMMLUNGOGD.86,POINT (16.39999566917734 48.21957394581835),2,Max-Winter-Platz,gegenüber,20,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,86,
ALTSTOFFSAMMLUNGOGD.87,POINT (16.399398790022847 48.22062773485109),2,Max-Winter-Platz,gegenüber,5,,,0,1,1,1,1," Biomüll, Altmetall, Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,87,
ALTSTOFFSAMMLUNGOGD.88,POINT (16.401731022367183 48.226012695775346),2,Mexikoplatz,gegenüber,1,,,0,1,1,1,1," Biomüll, Altmetall, Kunststoff, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,88,
ALTSTOFFSAMMLUNGOGD.89,POINT (16.389352200619143 48.22276726698136),2,Nordbahnstraße,vor,36,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,89,
ALTSTOFFSAMMLUNGOGD.90,POINT (16.390043937705766 48.221346475298226),2,Nordbahnstraße,bei,5,,,0,1,1,1,1," Kunststoff, Altglas, Biomüll, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,90,
ALTSTOFFSAMMLUNGOGD.91,POINT (16.37405673648119 48.22354297448078),2,Obere Augartenstraße,vor,24,,,0,0,0,1,1," Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,91,
ALTSTOFFSAMMLUNGOGD.92,POINT (16.376041738172788 48.222190989851846),2,Obere Augartenstraße,vor,38,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,92,
ALTSTOFFSAMMLUNGOGD.93,POINT (16.377549361133017 48.22109185163772),2,Obere Augartenstraße,vor,48,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,93,
ALTSTOFFSAMMLUNGOGD.94,POINT (16.37960730442336 48.21964562013547),2,Obere Augartenstraße,vor,68,,,0,0,1,1,1," Altglas, Altmetall, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,94,
ALTSTOFFSAMMLUNGOGD.95,POINT (16.369351121206776 48.22454447218359),2,Obere Donaustraße,neben,12,,,0,0,1,1,1," Altglas, Altmetall, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,95,
