FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AMPELOGD.fid-7d8850_14a347986c2_339a,POINT (16.426463304723512 48.16443348504216),11,Simmeringer Hptstr.-Gattergasse,46,
AMPELOGD.fid-7d8850_14a347986c2_339b,POINT (16.377819669716864 48.221062413581464),2,Ob.Augartenstr.-Malzg.,53,
AMPELOGD.fid-7d8850_14a347986c2_339c,POINT (16.35129020352471 48.18959431571205),5,Reinprechtsd.Br.-,62,
AMPELOGD.fid-7d8850_14a347986c2_339d,POINT (16.368103885278053 48.19073182637874),4,Schaumburgerg.-Walterg.,64,
AMPELOGD.fid-7d8850_14a347986c2_339e,POINT (16.39811257337589 48.214592059177654),2,Hauptallee-,69,
AMPELOGD.fid-7d8850_14a347986c2_339f,POINT (16.410757993657207 48.219017084049234),2,Engerthstr.-,70,
AMPELOGD.fid-7d8850_14a347986c2_33a0,POINT (16.38553981684793 48.215302239778566),2,Praterstr.-ON 39,75,
AMPELOGD.fid-7d8850_14a347986c2_33a1,POINT (16.4446519537366 48.19738332381772),2,Hafenzufahrtstrasse-Aspernallee,76,
AMPELOGD.fid-7d8850_14a347986c2_33a2,POINT (16.37174427360544 48.24109517585105),20,Adalbert Stifter Str.-Jägerstr.,84,
AMPELOGD.fid-7d8850_14a347986c2_33a3,POINT (16.311096898369982 48.21274971796925),16,Thaliastr.-Hutteng./Weinheimerg.,85,
AMPELOGD.fid-7d8850_14a347986c2_33a4,POINT (16.370164418087967 48.24581276362492),20,Brigittenauer Lände-Forsthausg.,86,
AMPELOGD.fid-7d8850_14a347986c2_33a5,POINT (16.34845465108848 48.19212030898429),6,Gumpendorfer Str.-Webg./Grabnerg.,171,
AMPELOGD.fid-7d8850_14a347986c2_33a6,POINT (16.495266281879864 48.27768610973805),22,Süßenbrunner Pl.-,179,
AMPELOGD.fid-7d8850_14a347986c2_33a7,POINT (16.354838729344312 48.22805796526484),9,Nußdorfer Str.-Canisiusg.,180,
AMPELOGD.fid-7d8850_14a347986c2_33a8,POINT (16.378882686394654 48.21003894196832),1,Fleischmarkt-Postg.,181,
AMPELOGD.fid-7d8850_14a347986c2_33a9,POINT (16.413006171463955 48.28414495091011),21,Brünner Str.-Hanreiterg.,188,
AMPELOGD.fid-7d8850_14a347986c2_33aa,POINT (16.315320731758177 48.209422004094776),16,Koppstr.-Sulmg.,189,
AMPELOGD.fid-7d8850_14a347986c2_33ab,POINT (16.366871484279276 48.24626124492823),19,Muthg.-A.Raupenstrauch-G.,192,
AMPELOGD.fid-7d8850_14a347986c2_33ac,POINT (16.39253087564037 48.13952175458037),10,Oberlaaer Str.-Grundäckerg.,195,
AMPELOGD.fid-7d8850_14a347986c2_33ad,POINT (16.437409941854714 48.23961705070247),22,Donaustadtstr.-Bernoullistr.,200,
AMPELOGD.fid-7d8850_14a347986c2_33ae,POINT (16.337231469167687 48.21711356622733),17,Hernalser Hptstr.-Palffyg.,201,
AMPELOGD.fid-7d8850_14a347986c2_33af,POINT (16.35408051171625 48.197664410516545),6,Gumpendorfer Str.-Kaunitzg.,211,
AMPELOGD.fid-7d8850_14a347986c2_33b0,POINT (16.381465082649992 48.16635595804244),10,Favoritenstr.-Schleierg.,212,
AMPELOGD.fid-7d8850_14a347986c2_33b1,POINT (16.28866549288462 48.14770406081662),23,Endresstr.-Gatterederstr.,89,
AMPELOGD.fid-7d8850_14a347986c2_33b2,POINT (16.368889583464345 48.20091172327514),1,Wiedner Hauptstr.-Friedrichstr./Karlspl.,93,
AMPELOGD.fid-7d8850_14a347986c2_33b3,POINT (16.386346910441706 48.22474954269934),2,Am Tabor-Trunnerstr.,94,
AMPELOGD.fid-7d8850_14a347986c2_33b4,POINT (16.362604386767885 48.22601705800278),9,Julius Tandler-Pl.-Rotenlöweng./Alserb.St,95,
AMPELOGD.fid-7d8850_14a347986c2_33b5,POINT (16.39718407984042 48.25702116043128),21,Floridsdorfer Hauptstr.-Am Spitz,96,
AMPELOGD.fid-7d8850_14a347986c2_33b6,POINT (16.315212901284706 48.1903282725362),14,Penzinger Str.-Schloßallee/Mariah.St.,99,
AMPELOGD.fid-7d8850_14a347986c2_33b7,POINT (16.409607687206996 48.23483487591145),22,Donau City-L. Bernst. S-Portal,100,
AMPELOGD.fid-7d8850_14a347986c2_33b8,POINT (16.389815010077125 48.173766740554484),10,Absbergg.-Quellenstr.,101,
AMPELOGD.fid-7d8850_14a347986c2_33b9,POINT (16.354452646634897 48.23314068169673),19,Döblinger Gürtel-Glatzg.,102,
AMPELOGD.fid-7d8850_14a347986c2_33ba,POINT (16.21724062843893 48.210106668231404),14,Hauptstr.-Bahnstr,107,
AMPELOGD.fid-7d8850_14a347986c2_33bb,POINT (16.415976372346016 48.186343477924574),3,Modecenterstr.-Guglg.,112,
AMPELOGD.fid-7d8850_14a347986c2_33bc,POINT (16.309576370413314 48.12762253537629),23,Ketzerg.-Porschestr.,113,
AMPELOGD.fid-7d8850_14a347986c2_33bd,POINT (16.298065129560875 48.13489991244977),,Brunner Str.-Ausfahrt  Fa.Duropack,115,
AMPELOGD.fid-7d8850_14a347986c2_33be,POINT (16.362315420796 48.234617590150435),20,Brigittenauer Lände-Leipzigerstr.,126,
AMPELOGD.fid-7d8850_14a347986c2_33bf,POINT (16.338349230556183 48.20012651828833),7,Neubaugürtel-Seideng.,127,
AMPELOGD.fid-7d8850_14a347986c2_33c0,POINT (16.337165577187964 48.1757803006866),12,Eichenstr.-Steinackerg.,129,
AMPELOGD.fid-7d8850_14a347986c2_33c1,POINT (16.47865175503526 48.211049176739145),22,Biberhaufenweg-Plattensteinerg.,131,
AMPELOGD.fid-7d8850_14a347986c2_33c2,POINT (16.32692794504611 48.1867741546203),15,Sechshauser Str.-Braunhirscheng/Heinickeng.,132,
AMPELOGD.fid-7d8850_14a347986c2_33c3,POINT (16.392557386218 48.23351164662454),20,Engerthstr.-Innstr.,135,
AMPELOGD.fid-7d8850_14a347986c2_33c4,POINT (16.39180308498173 48.15693655499478),10,Endlicherg.-Florian Geyer G.,137,
AMPELOGD.fid-7d8850_14a347986c2_33c5,POINT (16.36428155575879 48.217519834921376),9,Hörlg.-Schlickpl./Türkenstr.,140,
AMPELOGD.fid-7d8850_14a347986c2_33c6,POINT (16.29173518998633 48.14171484546569),23,Breitenfurter Str.-Carlbergerg.,149,
AMPELOGD.fid-7d8850_14a347986c2_33c7,POINT (16.280886061333142 48.19170358727692),13,Hietzinger Kai-Guldenbr./Mantlerg.,151,
AMPELOGD.fid-7d8850_14a347986c2_33c8,POINT (16.424520857800914 48.2091692316596),2,Engerthstr.-Marathonweg,154,
AMPELOGD.fid-7d8850_14a347986c2_33c9,POINT (16.382562998292265 48.24510089209749),20,Handelskai-Fr.Engels Platz (Süd),155,
AMPELOGD.fid-7d8850_14a347986c2_33ca,POINT (16.399050143654097 48.20409721923372),2,Schüttelstr.-Halmg.,156,
AMPELOGD.fid-7d8850_14a347986c2_33cb,POINT (16.413491037338172 48.23689911015295),22,Donau City-L. Bernst. N-Portal,157,
AMPELOGD.fid-7d8850_14a347986c2_33cc,POINT (16.3587560779167 48.13960975897698),23,Laxenburger Str.-Heizwerkstr./Tenschert,160,
AMPELOGD.fid-7d8850_14a347986c2_33cd,POINT (16.315964844282792 48.20932876927331),16,Koppstr.-Zagorskig.Pfenniggeldg,164,
AMPELOGD.fid-7d8850_14a347986c2_33ce,POINT (16.311263617411445 48.17090941689675),12,Edelsinnstr.-Schönbrunner Allee,166,
AMPELOGD.fid-7d8850_14a347986c2_33cf,POINT (16.3874484390794 48.20505348075695),3,Landstr. Hptstr.-Beatrixg./Gärtnerg.,167,
AMPELOGD.fid-7d8850_14a347986c2_33d0,POINT (16.384695265867446 48.18383801380077),3,Arsenalstr.-Ghegastr.,170,
AMPELOGD.fid-7d8850_14a347986c2_33d1,POINT (16.418374050710675 48.207609846903395),2,Meiereistraße-Zufahrt Parkplatz Trabrennbahn Krieau,1,
