FID,OBJECTID,SHAPE,NAME,ADRESSE,SE_ANNO_CAD_DATA
AMTOGD.482279,482279,POINT (16.41089241416344 48.19403431050959),"Magistratsabteilung 40 - Soziales, Sozial- und Gesundheitsrecht","3., Thomas-Klestil-Platz 8",
AMTOGD.482280,482280,POINT (16.411006498777336 48.193948629913365),Magistratsabteilung 15 - Gesundheitsdienst der Stadt Wien,"3., Thomas-Klestil-Platz 8",
AMTOGD.479649,479649,POINT (16.40666244754924 48.18414426019803),"Magistratsabteilung 39 - Prüf-, Überwachungs- und Zertifizierungsstelle der Stadt Wien","11., Rinnböckstraße 13-15",
AMTOGD.479650,479650,POINT (16.371276137185788 48.23301406499179),Magistratisches Bezirksamt für den 20. Bezirk,"20., Brigittaplatz 10",
AMTOGD.479651,479651,POINT (16.346767573381488 48.2126449079792),Bezirksvorstehung des 8. Bezirks,"8., Schlesingerplatz 4",
AMTOGD.479652,479652,POINT (16.35377512463152 48.238886806810775),Magistratisches Bezirksamt für den 19. Bezirk,"19., Gatterburggasse 14",
AMTOGD.479653,479653,POINT (16.37952921464093 48.216534546351134),Magistratisches Bezirksamt für den 2. Bezirk,"2., Karmelitergasse 9",
AMTOGD.479654,479654,POINT (16.38869079118242 48.20125667932199),Magistratisches Bezirksamt für den 3. Bezirk,"3., Karl-Borromäus-Platz 3",
AMTOGD.479655,479655,POINT (16.300462066401067 48.18821952232483),Bezirksvorstehung des 13. u. 14. Bezirks,"13., Hietzinger Kai 1",
AMTOGD.479656,479656,POINT (16.37399259736021 48.178806111232156),Magistratisches Bezirksamt für den 10. Bezirk,"10., Laxenburger Straße 43-45",
AMTOGD.479657,479657,POINT (16.331802261224208 48.218320349158574),Bezirksvorstehung des 17. Bezirks,"17., Elterleinplatz 14",
AMTOGD.479658,479658,POINT (16.386188491991433 48.21137129448222),Magistratsabteilung 70 - Rettungs- u. Krankenbeförderungsdienst d. Stadt Wien,"3., Radetzkystraße 1",
AMTOGD.479659,479659,POINT (16.382975211561515 48.20071878949797),Magistratsabteilung 59 - Marktamt,"3., Am Modenapark 1-2",
AMTOGD.479660,479660,POINT (16.354982184485515 48.210254201174706),Magistratsabteilung 57 - Frauenförderung und Koordinierung von Frauenangelegenheiten,"8., Friedrich-Schmidt-Platz 3",
AMTOGD.479661,479661,POINT (16.334106211171026 48.19416025972892),Magistratisches Bezirksamt für den 15. Bezirk,"15., Gasgasse 8-10",
AMTOGD.479663,479663,POINT (16.419688539332373 48.207378979442325),Magistratsabteilung 51 - Sportamt,"2., Meiereistraße 7",
AMTOGD.479664,479664,POINT (16.43792597139567 48.24127535007339),Magistratisches Bezirksamt für den 22. Bezirk,"22., Schrödingerplatz 1",
AMTOGD.479665,479665,POINT (16.398933888382622 48.178137229615),Magistratsabteilung 33 - Wien leuchtet,"11., Senngasse 2",
AMTOGD.479666,479666,POINT (16.350961752420936 48.22180196245985),Magistratisches Bezirksamt für den 9. Bezirk,"9., Wilhelm-Exner-Gasse 5",
AMTOGD.479667,479667,POINT (16.421707677661367 48.18471397996212),Magistratsabteilung 8 - Wiener Stadt- und Landesarchiv,"11., Guglgasse 14",
AMTOGD.479668,479668,POINT (16.347040888205996 48.20267362424499),Bezirksvorstehung des 7. Bezirks,"7., Hermanngasse 24-26",
AMTOGD.479669,479669,POINT (16.3699914407469 48.25195444566032),Magistratsabteilung 34 - Bau- und Gebäudemanagement,"19., Muthgasse 62",
AMTOGD.479670,479670,POINT (16.437731361815537 48.24079238458527),Bezirksvorstehung des 22. Bezirks,"22., Schrödingerplatz 1",
AMTOGD.479671,479671,POINT (16.35477237912968 48.221061034536454),Bezirksvorstehung des 9. Bezirks,"9., Währinger Straße 43",
AMTOGD.479672,479672,POINT (16.40587373841523 48.18940711947826),Magistratsabteilung 60 - Veterinäramt und Tierschutz,"3., Karl-Farkas-Gasse 16",
AMTOGD.479673,479673,POINT (16.38203095602117 48.23500897377302),"Magistratsabteilung 36 - Technische Gewerbeangelegenheiten, ...","20., Dresdner Straße 73-75",
AMTOGD.479674,479674,POINT (16.347036463921256 48.202807542194826),Magistratisches Bezirksamt für den 6. u. 7. Bezirk,"7., Hermanngasse 24-26",
