FID,SHAPE,BEZEICHNUNG,WEITERE_INFO,BEZIRK,BADEQUALITAET,SE_SDO_ROWID,SE_ANNO_CAD_DATA
BADESTELLENOGD.50949,POINT (16.506384879658718 48.167043625224835),"Neue Donau stromauf Wehr 2, links",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50949,
BADESTELLENOGD.50941,POINT (16.36180150996654 48.27956336909499),"Neue Donau, Höhe Segelhafen, rechts",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,21,0,50941,
BADESTELLENOGD.50942,POINT (16.374603362198844 48.264856109455195),"Neue Donau, Höhe Grundwasserwerk, rechts",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,21,0,50942,
BADESTELLENOGD.50943,POINT (16.392283147424635 48.247725956999865),"Neue Donau oberhalb Nordbahnbrücke, links",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,21,0,50943,
BADESTELLENOGD.50944,POINT (16.416647445647214 48.226208880557124),"Neue Donau stromab Reichsbrücke, links",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50944,
BADESTELLENOGD.50945,POINT (16.433020296305113 48.215449413530074),"Neue Donau stromauf Wasserschilift, links",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50945,
BADESTELLENOGD.50946,POINT (16.45554975584976 48.19967215337152),"Neue Donau stromab Ostbahnbrücke, links",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50946,
BADESTELLENOGD.50947,POINT (16.47170518918172 48.18925808546042),"Neue Donau stromab Steinspornbrücke, links",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50947,
BADESTELLENOGD.50948,POINT (16.492054797786412 48.176174115977005),"Neue Donau, Höhe Lobgrundstraße, links",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50948,
BADESTELLENOGD.50950,POINT (16.40208838593735 48.24998700842781),"Alte Donau, Angelibad",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50950,
BADESTELLENOGD.50951,POINT (16.417912904353063 48.24327695889199),"Alte Donau, Strandbad Alte Donau",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50951,
BADESTELLENOGD.50952,POINT (16.42835389167553 48.23204562298513),"Alte Donau, Gänsehäufel - Weststrand",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50952,
BADESTELLENOGD.50953,POINT (16.433878399428036 48.22794917480108),"Alte Donau, Gänsehäufel - Oststrand",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50953,
BADESTELLENOGD.50954,POINT (16.432729292207362 48.225270188290374),"Alte Donau, Gänsehäufel -Südstrand",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50954,
BADESTELLENOGD.50955,POINT (16.42194641807878 48.23191569113131),"Alte Donau, Kaiserwasser",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50955,
BADESTELLENOGD.50956,POINT (16.436068870447993 48.21927788970095),Untere Alte Donau (Badestege),http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50956,
BADESTELLENOGD.50957,POINT (16.45739567570266 48.212323627397105),"Mühlwasser, Strandbad Stadlau",http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/index.html,22,0,50957,
BADESTELLENOGD.50958,POINT (16.46563071141239 48.20177463278332),Schillerwasser,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50958,
BADESTELLENOGD.50959,POINT (16.474801773803236 48.19543272119805),Alte Naufahrt,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50959,
BADESTELLENOGD.50960,POINT (16.487105075358237 48.276256519035755),Badeteich Süßenbrunn,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50960,
BADESTELLENOGD.50961,POINT (16.4788104167077 48.243918940882864),Teich Hirschstetten,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50961,
BADESTELLENOGD.50962,POINT (16.477438084473885 48.19051022685211),Dechantlacke,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50962,
BADESTELLENOGD.50963,POINT (16.48757723585773 48.180721684699776),Panozzalacke,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50963,
BADESTELLENOGD.50964,POINT (16.47011862956131 48.21006120145437),Mühlwasser beim Schilfweg,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50964,
BADESTELLENOGD.50965,POINT (16.478309256014093 48.20398096099459),Mühlwasser beim Biberhaufenweg,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50965,
BADESTELLENOGD.50966,POINT (16.540993892784215 48.181834963835804),Donau-Oder-Kanal Becken III,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50966,
BADESTELLENOGD.50967,POINT (16.52753040998679 48.17392614939254),Donau-Oder-Kanal Becken II,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50967,
BADESTELLENOGD.50968,POINT (16.535554176108608 48.200838190050874),Stadler Furt,http://www.wien.gv.at/forschung/laboratorien/umweltmedizin/wasserhygiene/badewasserqualitaet/natur.html,22,0,50968,
