FID,SHAPE,STRNAM,ZEITRAUM,STELLPL_ANZ,BESCHREIBUNG,WEBLINK2,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA,KATEGORIE,KATEGORIE_TXT
BEHINDERTENPARKPLATZOGD.475817,POINT (16.47455098961973 48.20884203254509),M¸hlwasserpromenade,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475817,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475818,POINT (16.3914774284268 48.209034354152095),Kolonitzplatz,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475818,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475819,POINT (16.454416540341732 48.23938341273107),Polgarstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475819,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475820,POINT (16.37203276309981 48.20969955592319),Bauernmarkt,,1,"Polizei, Fuﬂg‰ngerzone zum Stephansplatz",http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475820,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475821,POINT (16.33354928702847 48.21438790330035),Ottakringer Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475821,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475822,POINT (16.33865039055139 48.176896227164775),Aﬂmayergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475822,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475823,POINT (16.355818441317812 48.20411974583276),Kirchberggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,7,475823,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475824,POINT (16.40674724015826 48.182593547095784),Dampfm¸hlgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,11,475824,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475825,POINT (16.350892104481673 48.181318303934894),Siebenbrunnenfeldgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,5,475825,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475826,POINT (16.362853306953735 48.204257143212324),Burgring,Mo.- Fr.(w.) v. 7-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475826,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475827,POINT (16.362911330315896 48.20421363526406),Burgring,Mo.- Fr.(w.) v. 9-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475827,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475828,POINT (16.326427287693647 48.204488126043024),Hagengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475828,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475829,POINT (16.366890620698513 48.25484955810903),Boschstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475829,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475830,POINT (16.363161161988355 48.20979992468002),Abraham-a-Sancta-Clara-Gasse,v. 0-24h,1,Bundesbehˆrde f¸r Bildung und Kultur,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475830,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475831,POINT (16.37745876048272 48.20953550073069),Schˆnlaterngasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475831,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475832,POINT (16.35033404582644 48.225454496504824),Achamergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,9,475832,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475833,POINT (16.32972515735703 48.23342631636552),Severin-Schreiber-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475833,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475834,POINT (16.375466096954145 48.230998399069534),Wallensteinstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475834,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475835,POINT (16.40005763736181 48.19600872701161),Rabengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475835,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475836,POINT (16.34313367906849 48.18117912039488),Koflergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475836,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475837,POINT (16.373930382493477 48.17417333383356),Muhrengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475837,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475838,POINT (16.365570133170785 48.17094743534268),Hardtmuthgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475838,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475839,POINT (16.32190901900742 48.21262523152188),Eisnergasse,,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475839,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475840,POINT (16.35527923819573 48.24379898882083),Dˆblinger Hauptstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475840,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475841,POINT (16.335466861407905 48.19535873077882),Kohlenhofgasse,Mo.-Fr. (w.) v. 8-15h,1,Bezirksgericht F¸nfhaus,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475841,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475842,POINT (16.439287384827576 48.23872532583302),Donaustadtstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475842,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475843,POINT (16.45317713680944 48.24535176769129),Hirschstettner Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475843,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475844,POINT (16.368038107764338 48.19457125939347),Floragasse,Mo.-Fr. (w.) v. 8-12h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475844,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475845,POINT (16.367887688593683 48.19513766016034),Mozartgasse,Mo.-Sa. (w.) v. 9-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475845,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475846,POINT (16.362690945790323 48.24998987021752),Heiligenst‰dter Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475846,,3,Privat mit Kennzeichen
