FID,SHAPE,NAME,ADRESSE,OEFFNUNGSZEITEN1,OEFFNUNGSZEITEN2,OEFFNUNGSZEITEN3,OEFFNUNGSZEITEN4,OEFFNUNGSZEITEN5,OEFFNUNGSZEITEN6,TELEFON,EMAIL,WEBLINK1,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
BUECHEREIOGD.138121,POINT (16.41184759688117 48.174121162232446),Bücherei im Bildungszentrum Simmering,"11., Gottschalkgasse 10",Mo bis Fr 11:00 bis 19:00 Uhr,,,,,,01 4000-11 165/66,bildungszentrumsimmering@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/gottschalkgasse,11,138121,
BUECHEREIOGD.138122,POINT (16.368501636459733 48.19551481608596),Bücherei Wieden,"4., Favoritenstraße 8",Mo 11.00 bis 18.00 Uhr,Di 11.00 bis 18.00 Uhr,Mi 14.00 bis 18.00 Uhr,Do 11.00 bis 18.00 Uhr,Fr 11.00 bis 18.00 Uhr,,"01 4000-04 161, 0676 8118 63806",wieden@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/favoritengasse,4,138122,
BUECHEREIOGD.138123,POINT (16.35477414105887 48.18861003510533),Bücherei Margareten,"5., Pannaschgasse 6",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 4000-05 161, 0676 8118 63808",margareten@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/pannaschgasse,5,138123,
BUECHEREIOGD.138124,POINT (16.35438274696463 48.197601410367284),Bücherei Mariahilf,"6., Gumpendorferstraße 59-61",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 587 28 30, 0676 8118 63810",mariahilf@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/gumpendorferstrasse,6,138124,
BUECHEREIOGD.138125,POINT (16.337296778791995 48.202305224234586),Hauptbücherei am Gürtel,"7., Urban-Loritz-Platz 2a",Mo 11.00 bis 19.00 Uhr,Di 11.00 bis 19.00 Uhr,Mi 11.00 bis 19.00 Uhr,Do 11.00 bis 19.00 Uhr,Fr 11.00 bis 19.00 Uhr,Sa 11.00 bis 17.00 Uhr,01 4000-84 500,amguertel@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/urbanloritzplatz,7,138125,
BUECHEREIOGD.138126,POINT (16.35961268614389 48.22566886574378),Bücherei Alsergrund,"9., Simon-Denk-Gasse 4-6",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 315 48 66, 0676 8118 63813",alsergrund@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/simondenkgasse,9,138126,
BUECHEREIOGD.138127,POINT (16.382706643261706 48.2145790949573),Bücherei Zirkusgasse,"2., Zirkusgasse 3",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 214 64 80, 0676 8118 63804",zirkusgasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/zirkusgasse,2,138127,
BUECHEREIOGD.138128,POINT (16.407672004089875 48.22149800302245),Bücherei Engerthstraße,"2., Engerthstraße 197/5",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 4000-02 161, 0676 8118 63840",engerthstrasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/engerthstrasse,2,138128,
BUECHEREIOGD.138129,POINT (16.385827399441673 48.19072776704581),Bücherei Fasanviertel,"3., Fasangasse 35-37",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 798 99 70, 0676 8118 63805",fasanviertel@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/fasangasse,3,138129,
BUECHEREIOGD.138130,POINT (16.400446205034907 48.1961644520473),Bücherei Rabenhof,"3., Rabengasse 6",Mo 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 19.30 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 4000-03165, 0676 8118 63807",rabenhof@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/rabenhof,3,138130,
