FID,OBJECTID,SHAPE,BEZEICHNUNG,ADRESSE,STELLPL_ANZ,ZEITRAUM,TYP,AUSN_TXT,WEITERE_INF,SE_ANNO_CAD_DATA
BUSHALTEZONEOGD.61243,61243,"LINESTRING (16.383920679820303 48.18680413517932, 16.384674358843448 48.18723551456925, 16.384738323301356 48.187275511779454, 16.384796992769864 48.187315239604104, 16.38485130276348 48.18735840375611)",Busparkplatz Schweizer-Garten-Straße,"3., Schweizer-Garten-Straße ",,v.9-18h,Halte- und Parkverbot,ausg. Omnibusse mit Wagenkarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61244,61244,"LINESTRING (16.38338434467757 48.186499374085244, 16.38381892203091 48.18674730264138)",Busparkplatz Schweizer-Garten-Straße,"3., Schweizer-Garten-Straße ",,v.9-18h,Halte- und Parkverbot,ausg. Omnibusse mit Wagenkarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61235,61235,"LINESTRING (16.36166087505417 48.20516331380638, 16.361331319740323 48.20541369127021)",Busparkplatz Museum,"1., Burgring 7",2,,Halte- und Parkverbot,Omnibusse mit Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61236,61236,"LINESTRING (16.360795781886974 48.205814090675176, 16.361094828581443 48.20558956691724)",Busparkplatz Museum,"1., Burgring 7",2,,Halte- und Parkverbot,Omnibusse mit Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61237,61237,"LINESTRING (16.360423493717217 48.20609168266535, 16.360679824096273 48.20590117945618)",Busparkplatz Museum,"1., Burgring 7",2,,Halte- und Parkverbot,Omnibusse mit Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61238,61238,"LINESTRING (16.358351982047232 48.20526659657244, 16.35961134506592 48.20601363197817)",Busparkplatz Museum,"1., Bellariastraße 1",19,,Halte- und Parkverbot,Omnibusse mit Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61239,61239,"LINESTRING (16.39167074007285 48.19038320462986, 16.391670909534064 48.19033224005308, 16.391670857517042 48.19028416959648, 16.39166729021797 48.1902290672541, 16.391665492058884 48.19018686031218, 16.391661934919757 48.190141136978, 16.391660104980378 48.190070791209095, 16.391651263693383 48.19000162154448, 16.3916389350674 48.18995121339238, 16.391631866592892 48.18990080179625, 16.391623058330456 48.18986211548308, 16.39161598608167 48.18980818664402)",Busparkplatz Blamauergasse,"3., Adolf-Blamauer-Gasse ggü 3",8,,Halte- und Parkverbot,Omnibusse,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61240,61240,"LINESTRING (16.34335465305601 48.22133613331821, 16.34310824722437 48.22071925771374)",Busparkplatz Währinger Gürtel,"18., Währinger Gürtel ggü. 33",5,von 19-6h,Halte- und Parkverbot,ausgen. Omnibusse,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61241,61241,"LINESTRING (16.343116227528096 48.22073821120209, 16.342886049535586 48.220175188687605)",Busparkplatz Währinger Gürtel,"18., Währinger Gürtel ggü. 31",5,von 18-6h,Halte- und Parkverbot,ausg. Omnibusse,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61242,61242,"LINESTRING (16.35799430715837 48.23315026932925, 16.357494698049905 48.233064871227306, 16.357323112336097 48.23302644844246)",Wirtschaftsuniversität,"9., Josef-Holaubek-Platz ",4,v. 1.4.-31.10. von 18-8h,Halte- und Parkverbot,ausg. Omnibusse,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61217,61217,"LINESTRING (16.358697629313205 48.21162335144601, 16.358900675765724 48.212309304071596)",Busparkplatz Rathauspark,"1., Rathausplatz ggü. 2-4",6,,Halte- und Parkverbot,Omnibusse mit gültiger Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61218,61218,"LINESTRING (16.358477705921796 48.21168559133018, 16.35866691463826 48.21231317418804)",Busparkplatz Rathauspark,"1., Rathausplatz 2-4",6,,Halte- und Parkverbot,Omnibusse mit gültiger Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61219,61219,"LINESTRING (16.359039161654007 48.212350795235984, 16.36076542169118 48.212121719202834)",Busparkplatz Rathauspark,"1., Rathausplatz ggü. 5",9,,Halte- und Parkverbot,Omnibusse mit gültiger Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61220,61220,"LINESTRING (16.3729230015962 48.215773424120435, 16.37360832740601 48.21468101554268)",Busparkplatz beim Ringturm,"1., Franz-Josefs-Kai 39-47",7,,Halte- und Parkverbot,Omnibusse mit Buskarte,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61221,61221,"LINESTRING (16.371411294955365 48.25110780039902, 16.371376038263882 48.250895210520234, 16.3713197016467 48.2506591802529)",Busparkplatz Nußdorfer Lände,"19., Nußdorfer Lände 39",2,v. 1.3.-10.11. von 18-24h,Halte- und Parkverbot,Omnibusse,http://b2b.wien.info/de/reisebranche/busguide,
BUSHALTEZONEOGD.61222,61222,"LINESTRING (16.37127278978791 48.25051693981095, 16.371221194391456 48.250370011770926, 16.371155548747986 48.25021214517677)",Busparkplatz Nußdorfer Lände,"19., Nußdorfer Lände 35",2,v. 1.3.-10.11. von 18-24h,Halte- und Parkverbot,Omnibusse,http://b2b.wien.info/de/reisebranche/busguide,
