FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STOCK,INFO,HINWEIS,SE_ANNO_CAD_DATA
DEFIBRILLATOROGD.21968,21968,POINT (16.332280242980758 48.18098348700173),"12., Niederhofstraﬂe 21-23",12,Stock 5,"Front Ignazgasse, zw Stg 3 u 4Stg neben Zi 516",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21969,21969,POINT (16.329154744426667 48.1831126446298),"12., Schˆnbrunner Straﬂe 259",12,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21970,21970,POINT (16.30384933543462 48.16099847495994),"12., J‰gerhausgasse ",12,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21971,21971,POINT (16.294642583673706 48.16890002746661),"13., Atzgersdorfer Straﬂe 14",13,,Hietzingerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21972,21972,POINT (16.30104723048387 48.18802394501922),"13., Hietzinger Kai 1-3",13,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21973,21973,POINT (16.299871329932166 48.18833671278438),"13., Hietzinger Kai 1-3",13,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21974,21974,POINT (16.22312648056667 48.20905953319448),"14., Hauptstraﬂe 41",14,,Bad Hadersdorf-Weidlingau,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21975,21975,POINT (16.295486422332782 48.19741978557318),"14., H¸tteldorfer Straﬂe 136",14,,Penzinger Bad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21976,21976,POINT (16.31145681380706 48.19677567735343),"14., M‰rzstraﬂe ",14,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21977,21977,POINT (16.28569349446121 48.19295865921667),"14., Zehetnergasse 7-9",14,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21978,21978,POINT (16.333995661970643 48.19414237932474),"15., Gasgasse 8-10",15,,Frontoffice,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21979,21979,POINT (16.33403302962356 48.19420345729878),"15., Gasgasse 8-10",15,Stock 2,MBA,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21980,21980,POINT (16.336177504075117 48.20250753263056),"15., Sorbaitgasse 3",15,,Arztzimmer,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21981,21981,POINT (16.32896640648599 48.201171545499584),"15., Tellgasse 3",15,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21982,21982,POINT (16.33313038852365 48.20791155516682),"16., Hasnerstraﬂe 27",16,,PSD,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21983,21983,POINT (16.333585700755403 48.209143900817125),"16., Hofferplatz ",16,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21984,21984,POINT (16.291574300248058 48.212193013860855),"16., Johann Staud Straﬂe 11",16,,Ottakringerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21985,21985,POINT (16.312322256923157 48.22157454122684),"16., Julius Meinl Gasse 7A",16,,Kongressbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21986,21986,POINT (16.30967462330846 48.204672988423134),"16., Kendlerstraﬂe 38a",16,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21987,21987,POINT (16.311221926404933 48.22104539884946),"16., Lobmeyrgasse 4",16,,Familienbad Zentrale,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21988,21988,POINT (16.32726043852983 48.20934060915458),"16., Richard Wagner Platz 19",16,,Frontoffice,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21989,21989,POINT (16.30714371783404 48.21862914321912),"16., Sandleitengasse 39",16,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21990,21990,POINT (16.310133951632853 48.20781283697014),"16., Spetterbr¸cke 4",16,Stock 3,bei Kassa,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21991,21991,POINT (16.305580171720884 48.217860768444),"16., Wilhelminenstraﬂe 93",16,Erdgesch.,EG li neben Eingang,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21992,21992,POINT (16.33199375696876 48.21829104286673),"17., Elterleinplatz 14",17,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21993,21993,POINT (16.319901960069107 48.22127430435994),"17., Wurlitzergasse 89",17,,Portier,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21994,21994,POINT (16.33499790427671 48.21812810858182),"17., Jˆrgerstraﬂe 42-44",17,,Jˆrgerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21995,21995,POINT (16.323495232990204 48.22550827980826),"17., Lidlgasse 5",17,,MA-48 Portier,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21996,21996,POINT (16.318085695134123 48.22204547862476),"17., Lienfeldergasse 96",17,Stock 2,2.Stk Zi 209,Bitte ÷ffnungszeiten beachten,
