FID,OBJECTID,SHAPE,DIRECTION_NAME,SE_ANNO_CAD_DATA
EINBAHNOGD.1632697,1632697,"LINESTRING (16.35089741436225 48.19508712078191, 16.350806508883352 48.195063665634805, 16.35072927847361 48.19509002289192, 16.34999352475988 48.195676920586784)",gegen Richtung,
EINBAHNOGD.1632698,1632698,"LINESTRING (16.34697721944049 48.18924092471379, 16.346946222576896 48.18924085750834, 16.345890095535292 48.189064039270846, 16.345522644991544 48.189009970591705, 16.345215193753504 48.18896938578186, 16.344761062656268 48.18893288617699, 16.3446871940099 48.188919472085225)",in Richtung,
EINBAHNOGD.1632699,1632699,"LINESTRING (16.337013750449298 48.20153120583569, 16.336904992431258 48.20264861013634)",gegen Richtung,
EINBAHNOGD.1632700,1632700,"LINESTRING (16.345006297348252 48.2003639949301, 16.345015381533624 48.20182812752947)",in Richtung,
EINBAHNOGD.1632701,1632701,"LINESTRING (16.344054478263928 48.20036226468962, 16.343223864657354 48.20036074749836)",gegen Richtung,
EINBAHNOGD.1632702,1632702,"LINESTRING (16.345006297348252 48.2003639949301, 16.344054478263928 48.20036226468962)",gegen Richtung,
EINBAHNOGD.1632703,1632703,"LINESTRING (16.343223864657354 48.20036074749836, 16.340791516396617 48.20034963202236)",gegen Richtung,
EINBAHNOGD.1632704,1632704,"LINESTRING (16.349071877957844 48.20175741026581, 16.34906524604158 48.20213020649135)",gegen Richtung,
EINBAHNOGD.1632705,1632705,"LINESTRING (16.357254909599853 48.22827493187322, 16.356890586857066 48.2291365840292)",in Richtung,
EINBAHNOGD.1632706,1632706,"LINESTRING (16.351394267300268 48.227492897546746, 16.351530203129546 48.2281032189822)",in Richtung,
EINBAHNOGD.1632707,1632707,"LINESTRING (16.35927086195183 48.22747077997839, 16.359987111353792 48.22760264979353)",in Richtung,
EINBAHNOGD.1632708,1632708,"LINESTRING (16.389131857030446 48.192691573500944, 16.388754055409525 48.1916305494232)",in Richtung,
EINBAHNOGD.1632696,1632696,"LINESTRING (16.363791784722466 48.18976750197683, 16.36272690364631 48.190672203354346)",in Richtung,
EINBAHNOGD.1632709,1632709,"LINESTRING (16.39685259166046 48.20427653221452, 16.396130144176666 48.20359068980012)",gegen Richtung,
EINBAHNOGD.1632710,1632710,"LINESTRING (16.387643535705784 48.19105548811659, 16.38954894304125 48.19099616140232)",in Richtung,
EINBAHNOGD.1632711,1632711,"LINESTRING (16.390991424539084 48.19156935992106, 16.391186194557598 48.190940234328295)",in Richtung,
EINBAHNOGD.1632712,1632712,"LINESTRING (16.38954894304125 48.19099616140232, 16.391186194557598 48.190940234328295)",gegen Richtung,
EINBAHNOGD.1632713,1632713,"LINESTRING (16.359729624781355 48.2007637884906, 16.35969780171002 48.200810517353645, 16.35932037345979 48.20098877191123, 16.35925294891219 48.20109445550055)",gegen Richtung,
EINBAHNOGD.1632714,1632714,"LINESTRING (16.382496716602986 48.197299525016774, 16.382403589442692 48.19623070696443, 16.382309763977126 48.196134629971944)",gegen Richtung,
EINBAHNOGD.1632715,1632715,"LINESTRING (16.340307330408887 48.202791863434946, 16.33865597668691 48.20272165343992)",gegen Richtung,
EINBAHNOGD.1632716,1632716,"LINESTRING (16.38887101119437 48.20972928884611, 16.388271944774836 48.20930238668671)",gegen Richtung,
EINBAHNOGD.1632717,1632717,"LINESTRING (16.352827331058553 48.19322582522811, 16.352755353740417 48.19323433698099, 16.35261928886444 48.1932841007599, 16.35258566785555 48.193300124288776, 16.352540071080316 48.19332626777578, 16.3521906423998 48.19356154530394)",in Richtung,
EINBAHNOGD.1632718,1632718,"LINESTRING (16.351096038985133 48.198721539951926, 16.350108152449415 48.19828879745683)",gegen Richtung,
EINBAHNOGD.1632719,1632719,"LINESTRING (16.356986879260212 48.19760201964998, 16.355010245786445 48.19679030503358)",in Richtung,
EINBAHNOGD.1632720,1632720,"LINESTRING (16.352364617374533 48.19243961893447, 16.35234444728737 48.1924562736072, 16.35135797985106 48.19288773121157, 16.35133497044067 48.19290171600243)",gegen Richtung,
EINBAHNOGD.1632721,1632721,"LINESTRING (16.367348864297885 48.16627628622188, 16.366565227121374 48.16639685167079)",gegen Richtung,
EINBAHNOGD.1632722,1632722,"LINESTRING (16.371806879187833 48.17421552217805, 16.371693446094916 48.173475864145736)",in Richtung,
EINBAHNOGD.1632723,1632723,"LINESTRING (16.376870049888222 48.171307265283936, 16.37728129315627 48.17212276262403)",gegen Richtung,
EINBAHNOGD.1632724,1632724,"LINESTRING (16.37506673922223 48.17084249152222, 16.37470656799354 48.17013952467456)",in Richtung,
EINBAHNOGD.1632725,1632725,"LINESTRING (16.35314640463022 48.170925477907765, 16.35228955447817 48.17003808212159)",in Richtung,
EINBAHNOGD.1632533,1632533,"LINESTRING (16.3385061761099 48.2042538705374, 16.338328211336712 48.2061059075759)",gegen Richtung,
EINBAHNOGD.1632534,1632534,"LINESTRING (16.362633502391464 48.19841536892202, 16.36203916745625 48.198132641017516, 16.361822200507252 48.198017534719334, 16.361791401745883 48.19800194382497, 16.361760495996922 48.19798487806259, 16.361718027043107 48.19796212308195, 16.36167335278681 48.19794084436009, 16.361447878768374 48.197832835776175, 16.361310707173175 48.19777602631582, 16.361201180815037 48.197731224654184, 16.36112886549056 48.19770496413814, 16.361055500694178 48.19768081090997, 16.360971521983636 48.197658064672886, 16.360885126773653 48.19763672453259)",in Richtung,
EINBAHNOGD.1632535,1632535,"LINESTRING (16.393193015757333 48.194303063480504, 16.391999908832812 48.19315891396892)",in Richtung,
EINBAHNOGD.1632536,1632536,"LINESTRING (16.345534540455247 48.21418260355694, 16.345565138421374 48.21422166555053, 16.34566425322343 48.215247650831955, 16.345700864668608 48.215396807514566)",gegen Richtung,
EINBAHNOGD.1632537,1632537,"LINESTRING (16.345534540455247 48.21418260355694, 16.344094752709275 48.21416746718446)",in Richtung,
EINBAHNOGD.1632538,1632538,"LINESTRING (16.344094752709275 48.21416746718446, 16.34383467312978 48.21416355057494)",in Richtung,
EINBAHNOGD.1632539,1632539,"LINESTRING (16.313244995076204 48.17090200299159, 16.311019891650375 48.17051258250076)",in Richtung,
EINBAHNOGD.1632540,1632540,"LINESTRING (16.37982583088839 48.17864029660954, 16.379775998053084 48.1784715523344, 16.379888688560587 48.177820132871155)",in Richtung,
