FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.4735153,POINT (16.350758012098986 48.20629375635743),4735153,,7,Lerchenfelder Straﬂe 33,8,0
FAHRRADABSTELLANLAGEOGD.4735154,POINT (16.343353089995833 48.21676131202291),4735154,,9,Zimmermannplatz 1,12,0
FAHRRADABSTELLANLAGEOGD.4735155,POINT (16.344309061978805 48.21676555505944),4735155,,9,Zimmermannplatz 10,16,0
FAHRRADABSTELLANLAGEOGD.4735156,POINT (16.342389393529956 48.21620754316842),4735156,,9,Kinderspitalgasse 15,8,0
FAHRRADABSTELLANLAGEOGD.4735157,POINT (16.349719918896728 48.225381112858926),4735157,,9,W‰hringer G¸rtel gg¸. 106-108 - U6,16,0
FAHRRADABSTELLANLAGEOGD.4735158,POINT (16.39687258659321 48.19093125837351),4735158,,3,Rennweg 89B,24,0
FAHRRADABSTELLANLAGEOGD.4735159,POINT (16.349723466817537 48.225412039880055),4735159,,9,W‰hringer Straﬂe U6,16,0
FAHRRADABSTELLANLAGEOGD.4735160,POINT (16.32116372069854 48.22174539858705),4735160,,17,Hernalser Hauptstraﬂe 138,6,0
FAHRRADABSTELLANLAGEOGD.4735161,POINT (16.349802257350362 48.22577210720546),4735161,,9,W‰hringer G¸rtel gg¸. 102 - U6,22,0
FAHRRADABSTELLANLAGEOGD.4735162,POINT (16.3495417890491 48.226245402533166),4735162,,18,W‰hringer G¸rtel gg¸. 97,12,0
FAHRRADABSTELLANLAGEOGD.4735163,POINT (16.35854923882372 48.21623588654789),4735163,,9,"Rooseveltplatz gg¸. 11, G¸nthergasse",8,0
FAHRRADABSTELLANLAGEOGD.4735164,POINT (16.349106948818957 48.22617819297434),4735164,,18,"W‰hringer G¸rtel, Gentzgasse",8,0
FAHRRADABSTELLANLAGEOGD.4735165,POINT (16.356816098455692 48.21553687714171),4735165,,9,Frankgasse†4,8,0
FAHRRADABSTELLANLAGEOGD.4735166,POINT (16.349037878046826 48.22618308407676),4735166,,18,Gentzgasse gg¸. 1,8,0
FAHRRADABSTELLANLAGEOGD.4735167,POINT (16.388120536563722 48.19837518803609),4735167,,3,Engelsberggasse 4,8,0
FAHRRADABSTELLANLAGEOGD.4735168,POINT (16.35112962516941 48.22582902929905),4735168,,9,"Sechsschimmelgasse 21, Lustkandlgasse",6,0
FAHRRADABSTELLANLAGEOGD.4735169,POINT (16.443869631454103 48.25102301276814),4735169,,22,"Kagraner Platz U1-Station, Doningasse",42,0
FAHRRADABSTELLANLAGEOGD.4735170,POINT (16.3587539831412 48.19657905733855),4735170,,5,Rechte Wienzeile gg¸. 43,6,0
FAHRRADABSTELLANLAGEOGD.4735171,POINT (16.35643317276054 48.20834894675695),4735171,,1,"Doblhoffgasse 6, Einfahrt Tiefgarage",10,0
FAHRRADABSTELLANLAGEOGD.4735172,POINT (16.3509275167322 48.22482532114646),4735172,,9,Fuchsthallergasse 17,6,0
FAHRRADABSTELLANLAGEOGD.4735173,POINT (16.350702156861985 48.224235120565524),4735173,,9,Bleichergasse 22,5,0
