FID,OBJECTID,SHAPE,NAME,BEZIRK,ADRESSE,MK_TEXT,WEBLINK1,SE_ANNO_CAD_DATA
FAHRSCHULEOGD.482409,482409,POINT (16.30966322297807 48.14774432684375),Fahrschule Alterlaa,23,"23., Erlaaer Platz 3",Fahrschule,http://www.fahrschule-alterlaa.at,
FAHRSCHULEOGD.482410,482410,POINT (16.35220152568633 48.21500363075265),Fahrschule Am Campus Vereby,9,"9., Alser Straﬂe 4, Hof 1/3/4,5",Fahrschule,http://www.amcampus.at,
FAHRSCHULEOGD.482411,482411,POINT (16.38337355158884 48.20657624694605),Fahrschule Am Stadtpark (Wien Mitte),3,"3., Landstraﬂer Hauptstraﬂe 1",Fahrschule,http://www.stadtpark.at,
FAHRSCHULEOGD.482412,482412,POINT (16.476939135853772 48.22257602151934),Fahrschule Aspern,22,"22., Leutholdgasse 9",Fahrschule,http://www.fahrschule-aspern.at,
FAHRSCHULEOGD.482413,482413,POINT (16.3605521424297 48.18452908879704),Fahrschule Avia,5,"5., Ramperstorffergasse 5",Fahrschule,http://www.fahrschule-avia.at,
FAHRSCHULEOGD.482414,482414,POINT (16.3569652549118 48.23081669460051),Fahrschule Bei der WU,9,"9., Augasse 9",Fahrschule,http://www.easydrivers.at,
FAHRSCHULEOGD.482415,482415,POINT (16.343321965727576 48.22180426423554),Fahrschule Beim AKH,18,"18., W‰hringer G¸rtel 41",Fahrschule,http://www.akh.drivecompany.cc,
FAHRSCHULEOGD.482416,482416,POINT (16.37747940456149 48.23846429149371),Fahrschule Brigittenau,20,"20., Dresdner Straﬂe 34-44",Fahrschule,http://www.easydrivers.at,
FAHRSCHULEOGD.482417,482417,POINT (16.374643256341944 48.17518827948868),Fahrschule Columbus (Wien 10),10,"10., Columbusgasse 54",Fahrschule,http://www.fahrschule-columbus.at,
FAHRSCHULEOGD.482418,482418,POINT (16.400366773665173 48.223509593774544),Fahrschule Columbus (Wien 2),2,"2., Lassallestraﬂe 11",Fahrschule,http://www.fahrschule-columbus.at,
FAHRSCHULEOGD.482419,482419,POINT (16.45257843487886 48.22534549335728),Fahrschule Donaustadt,22,"22., Stadlauer Straﬂe 26",Fahrschule,http://www.fsd.at,
FAHRSCHULEOGD.482420,482420,POINT (16.380393685070803 48.17233256299018),Fahrschule Favoriten,10,"10., B¸rgergasse 15",Fahrschule,http://fahrschule-favoriten.at,
FAHRSCHULEOGD.482421,482421,POINT (16.38674718124092 48.19531344803475),Fahrschule Grand,3,"3., Ungargasse 71",Fahrschule,http://www.fahrschulegrand.com,
FAHRSCHULEOGD.482422,482422,POINT (16.35815218056604 48.23831009278976),Fahrschule Heiligenstadt,19,"19., Heiligenst‰dter Straﬂe 47",Fahrschule,http://www.smirz.at,
FAHRSCHULEOGD.482423,482423,POINT (16.35866438076741 48.174588970506434),Fahrschule Heinrich,10,"10., Davidgasse 82",Fahrschule,http://www.fahrschule-heinrich.at,
FAHRSCHULEOGD.482424,482424,POINT (16.336151702631536 48.21689081158943),Fahrschule Hernals,17,"17., Hernalser Hauptstraﬂe 41",Fahrschule,http://www.fahrschule-hernals.at,
FAHRSCHULEOGD.482425,482425,POINT (16.271338719888185 48.18760912833697),Fahrschule Hietzing,13,"13., Hietzinger Hauptstraﬂe 123",Fahrschule,http://www.fahrschule-hietzing.at,
FAHRSCHULEOGD.482426,482426,POINT (16.421678822458446 48.253211877978764),Fahrschule in trans danubia,21,"21., Donaufelder Straﬂe 101/2/Top 3,4",Fahrschule,http://www.fahrschule-transdanubia.at,
FAHRSCHULEOGD.482427,482427,POINT (16.363800957142146 48.21343219840506),Fahrschule Ing. Mohaupt,1,"1., Schottenbastei 4",Fahrschule,http://www.mohaupt.at,
FAHRSCHULEOGD.482428,482428,POINT (16.444384712830015 48.249592695723194),Fahrschule Kagran,22,"22., Kagraner Platz 50",Fahrschule,http://www.fahrschule-kagran.at,
FAHRSCHULEOGD.482429,482429,POINT (16.369894351827377 48.20091772712225),Fahrschule Karlsplatz,1,"1., Karlsplatz 2",Fahrschule,http://www.fahrschule-karlsplatz.at,
FAHRSCHULEOGD.482430,482430,POINT (16.288179569484424 48.13830991086878),Fahrschule Liesing,23,"23., Breitenfurter Straﬂe 334",Fahrschule,http://www.fahrschule-liesing.at,
FAHRSCHULEOGD.482431,482431,POINT (16.36029704272121 48.20137691573491),Fahrschule Mariahilf,6,"6., Mariahilfer Straﬂe 1d",Fahrschule,http://www.fahrschule-mariahilf.at,
