FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
FRIEDHOFOGD.482401,POINT (16.438176339824608 48.14136855464175),Zentralfriedhof Tor 9,"11., Mylius-Bluntschli-Straﬂe",482401,
FRIEDHOFOGD.482402,POINT (16.3462897281052 48.271135511434544),Pfarrfriedhof Kahlenbergerdorf,"19., Eisernenhandgasse",482402,
FRIEDHOFOGD.482403,POINT (16.50237251034879 48.15952035082255),Friedhof der Namenlosen,"11., Alberner Hafen",482403,
FRIEDHOFOGD.482062,POINT (16.4337121330552 48.15848960335504),Zentralfriedhof Tor 1,"11., Simmeringer Hauptstraﬂe 230B",482062,
FRIEDHOFOGD.482063,POINT (16.233889421579512 48.20780584534566),Friedhof Hadersdorf-Weidlingau,"14., Friedhofstraﬂe 12",482063,
FRIEDHOFOGD.482064,POINT (16.348975921638214 48.145334634139786),Friedhof Inzersdorf,"23., Kolbegasse 34",482064,
FRIEDHOFOGD.482065,POINT (16.449093456757836 48.15033354538072),Evangelischer Pfarrfriedhof Simmering,"11., Simmeringer Hauptstraﬂe 242",482065,
FRIEDHOFOGD.482066,POINT (16.40567869472575 48.13932564719207),Friedhof Oberlaa,"10., Friedhofstraﬂe 33",482066,
FRIEDHOFOGD.482067,POINT (16.246068512959493 48.20541520308167),Friedhof H¸tteldorf,"14., Samptwandnergasse 6",482067,
FRIEDHOFOGD.482068,POINT (16.269730136126313 48.1341798395509),Friedhof Rodaun,"23., Leinm¸llergasse 1",482068,
FRIEDHOFOGD.482069,POINT (16.31425185842795 48.14130754124508),Friedhof Erlaa,"23., Erlaaer Straﬂe 82-90",482069,
FRIEDHOFOGD.482070,POINT (16.3050316597989 48.1699777335764),Friedhof Hetzendorf,"12., Elisabethallee 2",482070,
FRIEDHOFOGD.482071,POINT (16.358078845533043 48.260963216368225),Pfarrfriedhof Nuﬂdorf,"19., Nuﬂberggasse",482071,
FRIEDHOFOGD.482072,POINT (16.30020791687859 48.24792612420598),Friedhof Neustift,"18., Pˆtzleinsdorfer Hˆhe 2",482072,
FRIEDHOFOGD.482073,POINT (16.33318847011883 48.27382072480694),Friedhof Kahlenberg (Josefsdorf),"19., Kahlenberger Straﬂe",482073,
FRIEDHOFOGD.482074,POINT (16.346308161301707 48.260257472061404),Friedhof Heiligenstadt,"19., Wildgrubgasse 20",482074,
FRIEDHOFOGD.482075,POINT (16.448017006990078 48.15232588834679),Zentralfriedhof Tor 3,"11., Simmeringer Hauptstraﬂe 240",482075,
FRIEDHOFOGD.482076,POINT (16.46969859548766 48.23592079139629),Friedhof Hirschstetten,"22., Quadenstraﬂe 11",482076,
FRIEDHOFOGD.482077,POINT (16.441733728678017 48.15406582838073),Zentralfriedhof Tor 2,"11., Simmeringer Hauptstraﬂe 234",482077,
FRIEDHOFOGD.482078,POINT (16.362967895446488 48.22366877183403),J¸discher Friedhof Seegasse,"9., Seegasse 9",482078,
FRIEDHOFOGD.482079,POINT (16.452133746130833 48.158466000950035),Friedhof Kaiserebersdorf,"11., Th¸rnlhofstraﬂe 27",482079,
FRIEDHOFOGD.482080,POINT (16.35135237413414 48.232384723212206),Israelischer Friedhof W‰hring,"18., Semperstraﬂe 64",482080,
FRIEDHOFOGD.482081,POINT (16.256635221099927 48.13997256877705),Friedhof Kalksburg,"23., Zemlinskygasse 26",482081,
FRIEDHOFOGD.482082,POINT (16.437015538533515 48.295034768659704),Friedhof Stammersdorf-Zentral,"21., Stammersdorfer Straﬂe 244-260",482082,
FRIEDHOFOGD.482083,POINT (16.440956429159666 48.15740304014806),Urnenhain der Feuerhalle Simmering,"11., Simmeringer Hauptstraﬂe 33",482083,
FRIEDHOFOGD.482084,POINT (16.33813977400998 48.173510036207276),Friedhof Meidling,"12., Haidackergasse 6",482084,
FRIEDHOFOGD.482085,POINT (16.299904104493166 48.16176135684728),Friedhof S¸dwest,"12., Hervicusgasse 44",482085,
FRIEDHOFOGD.482086,POINT (16.33582615714249 48.254397126252925),Friedhof Grinzing,"19., An den langen L¸ssen 33",482086,
FRIEDHOFOGD.482087,POINT (16.450036250997297 48.25373413536369),Friedhof Kagran,"22., Goldemundweg 11",482087,
FRIEDHOFOGD.482088,POINT (16.301568269377192 48.195620096364166),Pfarrfriedhof Penzing,"14., Einwanggasse 55",482088,
FRIEDHOFOGD.482089,POINT (16.532577558655674 48.215820472368485),Friedhof Eﬂling,"22., Gartenheimstraﬂe 34A",482089,
