FID,OBJECTID,SHAPE,BEZEICHNUNG,STANDORT_FUNDBOX,ADRESSE,FUNDBOX_TYP,OEFFNUNGSZEIT,WEBLINK1,SE_ANNO_CAD_DATA
FUNDBOXENOGD.34567,34567,POINT (16.379702525129666 48.2165006969609),MBA 2,im Amtshaus,"2., Karmelitergasse 9",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34568,34568,POINT (16.35407925816508 48.19101577299957),MBA 4/5,im Amtshaus,"5., Rechte Wienzeile 105",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34569,34569,POINT (16.38862970837595 48.20132226671596),MBA 3,im Amtshaus,"3., Karl-Borromäus-Platz 3",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34570,34570,POINT (16.347028165340152 48.2028227054982),MBA 6/7,im Amtshaus,"7., Hermanngasse 24-26",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34571,34571,POINT (16.35082326195149 48.22157192192028),MBA 9,im Amtshaus,"9., Wilhelm-Exner-Gasse 5",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34572,34572,POINT (16.373983253935652 48.17876509622374),MBA 10,im Amtshaus,"10., Laxenburger Straße 43-45",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34573,34573,POINT (16.413691451969935 48.175613402334704),MBA 11,im Amtshaus,"11., Enkplatz 2",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34574,34574,POINT (16.32910576343178 48.183123021650815),MBA 12,im Amtshaus,"12., Schönbrunner Straße 259",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34575,34575,POINT (16.300431645080465 48.188234131363515),MBA 13/14,im Amtshaus,"13., Hietzinger Kai 1",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34576,34576,POINT (16.334062004135514 48.19412505509412),MBA 15,im Amtshaus,"15., Gasgasse 8-10",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34577,34577,POINT (16.327344726191047 48.20934333690346),MBA 16,im Amtshaus,"16., Richard-Wagner-Platz 19",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34578,34578,POINT (16.331964348525723 48.218301455905866),MBA 17,im Amtshaus,"17., Elterleinplatz 14",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34579,34579,POINT (16.342438843748653 48.22683253081711),MBA 18,im Amtshaus,"18., Martinstraße 100",persönliche Abgabestelle,"Mo bis Mi & Fr von 8 - 15:30 Uhr, Do von 8 - 17:30 Uhr",http://www.fundservice.wien.at,
FUNDBOXENOGD.34580,34580,POINT (16.35333359925876 48.23899506496186),MBA 19,Gatterburggasse vor 12,"19., Gatterburggasse 14",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34581,34581,POINT (16.37102178216887 48.232933555123886),MBA 20,"direkt beim Amtshaus, links vom Eingang in Hausnische","20., Brigittaplatz 10",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34582,34582,POINT (16.397051267380277 48.25814936947756),MBA 21,"gegenüber Am Spitz 15, neben Stromverteilerkasten","21., Am Spitz 1",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34583,34583,POINT (16.43765044170852 48.24101883200565),MBA 22,rechts vom Eingang des Amtshauses,"22., Schrödingerplatz 1",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34584,34584,POINT (16.282044553187614 48.13518307296785),MBA 23,zwischen Lehmanngasse 1 und 3,"23., Perchtoldsdorfer Straße 2",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34585,34585,POINT (16.37107294447935 48.21161091916322),MBA 1/8,Jordangasse geg. 1,"1., Wipplingerstraße 8",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34586,34586,POINT (16.379404935158274 48.216398915211634),MBA 2,Ecke Karmelitergasse 8 und Karmeliterplatz 4,"2., Karmelitergasse 9",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34587,34587,POINT (16.388749863896567 48.20134311097149),MBA 3,direkt vor dem Amtshaus,"3., Karl-Borromäus-Platz 3",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34588,34588,POINT (16.35415228019974 48.19112650383923),MBA 4/5,Ramperstorffergasse 67-69,"5., Rechte Wienzeile 105",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34589,34589,POINT (16.34695495806524 48.20294812603195),MBA 6/7,Ecke des Amtsgebäude Hermanngasse,"7., Hermanngasse 24-26",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34590,34590,POINT (16.351055139630216 48.22182006612351),MBA 9,vor dem Amtshaus im Eckbereich Wilhelm-Exner-Gasse/Michelbeuerngasse,"9., Wilhelm-Exner-Gasse 5",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
FUNDBOXENOGD.34591,34591,POINT (16.374936073720562 48.17829524706642),MBA 10,Keplerplatz/Ecke Gudrunstraße,"10., Laxenburger Straße 43-45",Fundbox ohne Öffnungszeit,0-24h,http://www.fundservice.wien.at,
