FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,AUSN_TEXT,WEBLINK1,SE_ANNO_CAD_DATA
FUSSGEHERZONEOGD.13953,13953,"MULTIPOLYGON (((16.38321519857 48.21485491473601, 16.38384075935713 48.21466637547201, 16.383926831435176 48.21476057905994, 16.38328674695087 48.21494510481152, 16.38321519857 48.21485491473601)), ((16.383285711101593 48.214945402011566, 16.38328674695087 48.21494510481152, 16.383288430903196 48.214947208520634, 16.383285711101593 48.214945402011566)))","2., Komödiengasse",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13954,13954,"POLYGON ((16.39693755439425 48.22171969171594, 16.396881970057446 48.22177382396536, 16.395512482428202 48.22103408882511, 16.395573131429206 48.22098333603615, 16.39693755439425 48.22171969171594))","2., Lassallestraße 5",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13955,13955,"POLYGON ((16.384279041774015 48.21501549605114, 16.38427904283817 48.21501662918966, 16.38426711793817 48.215028037526416, 16.38424324029747 48.215021203737805, 16.384210829338027 48.215012107241044, 16.38416137969665 48.21499959146979, 16.38411702995788 48.21498707354523, 16.38410508262741 48.21497454206515, 16.38409995756441 48.21496200773284, 16.38422253084209 48.21476253296846, 16.384234443936535 48.21473859715913, 16.384263430016944 48.214726048533, 16.384287301094865 48.21472603852042, 16.38452442557789 48.214855854080014, 16.384338683367638 48.214976719462705, 16.384279041774015 48.21501549605114))","2., Schrottgießergasse",Mo.-Fr. (werkt.) von 8-10h,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13956,13956,"POLYGON ((16.386854621060536 48.21108804987429, 16.386898268802923 48.21111453345887, 16.386957840620386 48.211201974694134, 16.386965858982343 48.2112960667073, 16.38641071223237 48.211324136089026, 16.386325442841958 48.211320198425014, 16.386250097703595 48.211324206329394, 16.385990367858636 48.21133360039423, 16.385821843602066 48.211349573400454, 16.385686996335416 48.2113363847538, 16.38546092439811 48.211296723317695, 16.38542324226103 48.21128878954138, 16.385359707501074 48.21120532419441, 16.385329914388794 48.21114569424759, 16.385306043627136 48.2110741458015, 16.385331804555822 48.211054250857316, 16.385466642070124 48.211058167964204, 16.38548259111167 48.21114695969538, 16.38567494701667 48.211176032696905, 16.38582168179652 48.211182597237524, 16.386678206779326 48.2111384894605, 16.386747588368625 48.21113183091924, 16.386805073346835 48.2111092776592, 16.386856597646858 48.21108671801128, 16.386854621060536 48.21108804987429))","3., Radetzkystraße",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13957,13957,"POLYGON ((16.42990432272841 48.25003815714677, 16.429410904350853 48.250056068411304, 16.42938906585508 48.24984275152522, 16.42988009592413 48.24982325052137, 16.429904319815677 48.25003656536827, 16.42990432272841 48.25003815714677))","22., Tokiostraße 9",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13958,13958,"POLYGON ((16.429838628075277 48.24931064093098, 16.42934284391316 48.249326962055235, 16.42932575918899 48.249113641273105, 16.42982393225817 48.249094134711115, 16.429838628075277 48.24931064093098))","22., Tokiostraße 7",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13959,13959,"POLYGON ((16.429704593763415 48.24773866378548, 16.429164668209417 48.24775929182211, 16.429144136660177 48.247545344227774, 16.42955309166146 48.24752618082212, 16.4295853358739 48.24753153248134, 16.429589353183587 48.247519415485726, 16.429690106899017 48.2475327961757, 16.429704593763415 48.24773866378548))","22., Tokiostraße 3",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13960,13960,"POLYGON ((16.46718255244954 48.157965873333296, 16.467337690214773 48.157960228347655, 16.46737418243561 48.158391827062275, 16.467396208389722 48.158490152158805, 16.467416739663786 48.15877167160223, 16.467207594322335 48.15878888070446, 16.467203641048872 48.15876720247294, 16.467260779480043 48.15875621045825, 16.467238307931396 48.15848304793682, 16.467221554236225 48.15831733031541, 16.467234868450525 48.15819892787794, 16.467229345831093 48.15816797938729, 16.467226464047986 48.15810788073392, 16.467185272200407 48.15796768686873, 16.46718255244954 48.157965873333296))","11., Mailergasse",,ausgen. Zufahrt zu den genehmigten Abstellplätzen sowie Fahrräder,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13961,13961,"MULTIPOLYGON (((16.34460453138251 48.22679720979956, 16.34463618473339 48.22678051615791, 16.34469168272588 48.22633372340406, 16.34464685963493 48.22630857292737, 16.3448619651743 48.22624147674812, 16.344795728726133 48.22676972134953, 16.344835167774963 48.22679007882985, 16.34460453138251 48.22679720979956)), ((16.344602122189784 48.22679728192396, 16.34460453138251 48.22679720979956, 16.34460212239053 48.226798487005745, 16.344602122189784 48.22679728192396)))","18., Kutschkergasse",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13962,13962,"MULTIPOLYGON (((16.35287403492192 48.20427424512194, 16.352843568428653 48.20429054522386, 16.35284358640085 48.20434552954298, 16.352770468711324 48.20434961411117, 16.352779665408548 48.204498288074404, 16.35281927155387 48.204496240852244, 16.352846738188973 48.20464491214024, 16.352868062555228 48.20464694148232, 16.352883341226597 48.204797646999, 16.35286201746225 48.20479765011892, 16.3528742676693 48.20498501228594, 16.35284379010144 48.20496872109558, 16.352792006163394 48.2049646637292, 16.35273411631468 48.20496670460314, 16.352548304003353 48.20507466758645, 16.35267021239163 48.20521720994772, 16.352758573370608 48.205251820890695, 16.352819524152036 48.20527014012144, 16.352429534826715 48.20523964650159, 16.352456948701033 48.2052253884, 16.35245385746926 48.20506653327696, 16.35230150746689 48.20501767696746, 16.352286229857537 48.204907710494716, 16.351625119047945 48.20493427787839, 16.35162508570835 48.20482430025701, 16.35182006645636 48.20482223222712, 16.351838354126357 48.2048364929046, 16.35186883003988 48.20484870145734, 16.3523197225509 48.2048445646276, 16.35232581375752 48.20483438348314, 16.35227388593962 48.20437412872491, 16.352246454521826 48.20437413259233, 16.352228160477424 48.20429673983393, 16.35287403492192 48.20427424512194), (16.352534567306442 48.20431798317691, 16.352512006032622 48.204317986409315, 16.352510606883865 48.20431798660964, 16.35249085917104 48.204323646147266, 16.352473954329447 48.204342498275075, 16.352472546245465 48.20435663576004, 16.352459859723574 48.20435663757138, 16.352454225471913 48.204365118947, 16.35238655563934 48.20436700815696, 16.352379508473483 48.20437455443862, 16.352399302146146 48.20455550345918, 16.352427583720775 48.20481655353776, 16.352403610811585 48.20482032509341, 16.352407857711402 48.20489101090215, 16.352517860341457 48.20495413633176, 16.352557333272774 48.20495507495558, 16.352555922773835 48.20496167615376, 16.352619368670254 48.204958834175805, 16.352620778859293 48.20495129768593, 16.352657423504667 48.20494281182807, 16.352739171326927 48.20487305786326, 16.35274762928999 48.20485986363686, 16.352740560981005 48.20480237124841, 16.35272223672795 48.20480048533867, 16.35271797962047 48.20469964540088, 16.352692592953844 48.20469964907829, 16.352685507641638 48.20458938469138, 16.352705240760198 48.20457995697914, 16.352691071365633 48.204363196343245, 16.352685432271194 48.204356605156065, 16.352612125194437 48.20435755103006, 16.352606485806447 48.204350015554816, 16.352589561173218 48.20434907370646, 16.352583918148746 48.204330224806235, 16.352566990191907 48.20431892280805, 16.352534567306442 48.20431798317691)))","7., St.-Ulrichs-Platz",Mo.-Fr.(werkt.) von 6-10.30h,Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
