FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.67156,67156,POINT (16.341679233366605 48.252764080763804),189-5-305,BOE Geb‰udemanagement GmbH,Parkgarage Grinzing,1190,Wien,An den langen L¸ssen,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-305.html,http://www.parkeninwien.at/en/garage-5-305.html,16.341911,48.252795,N,N,
GARAGENOGD.67157,67157,POINT (16.319025332578125 48.19780940856612),189-5-340,BOE Geb‰udemanagement GmbH,Meiselmarkt-Garage,1150,Wien,Johnstrasse 42,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-340.html,http://www.parkeninwien.at/en/garage-5-340.html,16.319034,48.197815,N,N,
GARAGENOGD.67158,67158,POINT (16.362818115231768 48.18446399967365),189-5-341,BOE Geb‰udemanagement GmbH,Klieberpark,1050,Wien,Kliebergasse,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-341.html,http://www.parkeninwien.at/en/garage-5-341.html,16.362827,48.18447,N,N,
GARAGENOGD.67159,67159,POINT (16.352665024248143 48.193333308549924),189-5-342,BOE Geb‰udemanagement GmbH,Hofm¸hlgasse,1060,Wien,Hofm¸hlgasse,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-342.html,http://www.parkeninwien.at/en/garage-5-342.html,16.352674,48.193339,N,N,
GARAGENOGD.67160,67160,POINT (16.334580793656183 48.205568638413574),189-5-343,BOE Geb‰udemanagement GmbH,Ludo Hartmann Platz,1160,Wien,Ludo Hartmann Platz,http://www.boe-parking.at,http://www.boe-parking.at,http://www.parkeninwien.at/garage-5-343.html,http://www.parkeninwien.at/en/garage-5-343.html,16.334589,48.205575,N,N,
GARAGENOGD.67161,67161,POINT (16.329907525296218 48.21585111324863),189-5-344,BOE Geb‰udemanagement GmbH,Parhamerplatz,1170,Wien,Parhamerplatz,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-344.html,http://www.parkeninwien.at/en/garage-5-344.html,16.329916,48.215857,N,N,
GARAGENOGD.67162,67162,POINT (16.329816541167425 48.216007870007736),189-5-345,BOE Geb‰udemanagement GmbH,Parhamerplatz,1170,Wien,Parhamerplatz,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-345.html,http://www.parkeninwien.at/en/garage-5-345.html,16.329825,48.216014,N,N,
GARAGENOGD.67163,67163,POINT (16.369785005989907 48.21340662795861),189-5-4,BOE Geb‰udemanagement GmbH,Garage Concordiaplatz,1010,Wien,Concordiaplatz 4,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-4.html,http://www.parkeninwien.at/en/garage-5-4.html,16.369794,48.213413,N,N,
GARAGENOGD.67164,67164,POINT (16.394956719615134 48.19842143659096),189-5-44,BOE Geb‰udemanagement GmbH,Parkgarage Galleria,1030,Wien,Landstrasser Hauptstrasse,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-44.html,http://www.parkeninwien.at/en/garage-5-44.html,16.39479,48.198498,N,Y,
GARAGENOGD.67165,67165,POINT (16.37422392291182 48.20852466923875),189-5-6,BOE Geb‰udemanagement GmbH,Parkhaus City,1010,Wien,Stephansplatz/Schulerstraﬂe,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-6.html,http://www.parkeninwien.at/en/garage-5-6.html,16.373142,48.209015,N,N,
GARAGENOGD.67166,67166,POINT (16.36421475657752 48.230015051791945),189-51-198,Pier 50 Liegenschaftsverwaltungs GmbH,Garage Pier 50,1200,Wien,Brigittenauer L‰nde 50-54,,,http://www.parkeninwien.at/garage-51-198.html,http://www.parkeninwien.at/en/garage-51-198.html,16.364224,48.230021,N,N,
GARAGENOGD.67167,67167,POINT (16.412164779281966 48.213047075528635),189-53-242,Reed Messe Wien GmbH,Parkhaus D,1020,Wien,Trabrennstraﬂe,,,http://www.parkeninwien.at/garage-53-242.html,http://www.parkeninwien.at/en/garage-53-242.html,16.41254,48.213071,N,Y,
GARAGENOGD.67168,67168,POINT (16.404470889654192 48.216855011308574),189-53-244,Reed Messe Wien GmbH,Parkhaus A,1020,Wien,Max Koppe Strasse,,,http://www.parkeninwien.at/garage-53-244.html,http://www.parkeninwien.at/en/garage-53-244.html,16.415049,48.209104,N,Y,
GARAGENOGD.67169,67169,POINT (16.403170083826694 48.216358033388474),189-53-30,Reed Messe Wien GmbH,Freiparkplatz Messeparkplatz A,1020,Wien,Perspektivstrasse / Messestrasse,,,http://www.parkeninwien.at/garage-53-30.html,http://www.parkeninwien.at/en/garage-53-30.html,16.403162,48.216529,N,N,
GARAGENOGD.67170,67170,POINT (16.358495573561157 48.18711969050748),189-55-241,Resag Business Immoverwaltung GmbH,Garage Siebenbrunnengasse,1050,Wien,Siebenbrunnengasse 21,,,http://www.parkeninwien.at/garage-55-241.html,http://www.parkeninwien.at/en/garage-55-241.html,16.358629,48.187182,N,N,
GARAGENOGD.67171,67171,POINT (16.36403534533221 48.22190899107496),189-56-107,Servitengarage,Serviten-Garage,1090,Wien,Pramergasse 16,http://servitengarage.wienwelt.at/servitengarage-diskonttankstelle-kyrer-and-stanisic-oeg.php,http://servitengarage.wienwelt.at/servitengarage-diskonttankstelle-kyrer-and-stanisic-oeg.php,http://www.parkeninwien.at/garage-56-107.html,http://www.parkeninwien.at/en/garage-56-107.html,16.364044,48.221915,N,Y,
GARAGENOGD.67172,67172,POINT (16.33422805539073 48.20140583305867),189-58-169,StH Garagenbetriebs GmbH,M‰rzpark-Garage,1150,Wien,Huetteldorfer Strasse 2e,,,http://www.parkeninwien.at/garage-58-169.html,http://www.parkeninwien.at/en/garage-58-169.html,16.333945,48.201309,N,N,
GARAGENOGD.67173,67173,POINT (16.302600801297288 48.187006249425714),189-59-150,Wessely,Parkgarage Hietzing,1130,Wien,Hietzinger Hauptstrasse 10,,,http://www.parkeninwien.at/garage-59-150.html,http://www.parkeninwien.at/en/garage-59-150.html,16.302338,48.186651,N,Y,
GARAGENOGD.67174,67174,POINT (16.358467525586438 48.20129209094211),189-61-335,Parkhaus Elbl,Leiner Garage,1070,Wien,Mariahilferstraﬂe 18 / Einfahrt Karl-Schweighofer-Gasse,http://www.parkhaus-elbl.at,http://www.parkhaus-elbl.at,http://www.parkeninwien.at/garage-61-335.html,http://www.parkeninwien.at/en/garage-61-335.html,16.358476,48.201298,N,N,
GARAGENOGD.67175,67175,POINT (16.355972162911772 48.23512206785096),189-61-336,Parkhaus Elbl,Skyline Garage,1190,Wien,Dˆblinger G¸rtel / Einfahrt gegen¸ber Nr. 28,http://www.parkhaus-elbl.at,http://www.parkhaus-elbl.at,http://www.parkeninwien.at/garage-61-336.html,http://www.parkeninwien.at/en/garage-61-336.html,16.356041,48.23506,N,N,
