FID,OBJECTID,SHAPE,BEZEICHNUNG,WL_NUMMER,SE_ANNO_CAD_DATA
HALTESTELLEWLOGD.1,1,POINT (16.389761049252105 48.17378422973464),Absberggasse,1,
HALTESTELLEWLOGD.2,2,POINT (16.448890913891596 48.28452366457244),Achengasse,2,
HALTESTELLEWLOGD.3,3,POINT (16.38580103970243 48.15292433094477),Ada-Christen-Gasse,3,
HALTESTELLEWLOGD.4,4,POINT (16.535110397873837 48.21563394032114),Adam-Betz-Gasse,4,
HALTESTELLEWLOGD.5,5,POINT (16.337981259028613 48.142284411572575),Adamovichgasse,5,
HALTESTELLEWLOGD.6,6,POINT (16.45418087843479 48.277533694620516),Adolf-Loos-Gasse,6,
HALTESTELLEWLOGD.7,7,POINT (16.385931033360347 48.1486043522781),Adolf-Unger-Gasse,7,
HALTESTELLEWLOGD.8,8,POINT (16.45168084859987 48.24704384167529),Afritschgasse,8,
HALTESTELLEWLOGD.9,9,POINT (16.507190583316827 48.25106378797939),Agavenweg,9,
HALTESTELLEWLOGD.10,10,POINT (16.307591557961874 48.25042391507428),Agnesgasse,10,
HALTESTELLEWLOGD.11,11,POINT (16.374971222045584 48.246103893794),Aignerstraﬂe,11,
HALTESTELLEWLOGD.12,12,POINT (16.31664144825459 48.20355413262602),Auf der Schmelz,12,
HALTESTELLEWLOGD.13,13,POINT (16.374371179948064 48.21305405166267),Morzinplatz,13,
HALTESTELLEWLOGD.14,14,POINT (16.382091060439038 48.15422432765629),Alaudagasse,14,
HALTESTELLEWLOGD.15,15,POINT (16.484920566779117 48.16003423570615),Albern Sendnergasse,15,
HALTESTELLEWLOGD.16,16,POINT (16.49468051626636 48.15853423700423),Alberner Hafen,16,
HALTESTELLEWLOGD.17,17,POINT (16.472440643204198 48.172104186362766),Alberner Hafenzufahrtsstraﬂe,17,
HALTESTELLEWLOGD.18,18,POINT (16.484560561878716 48.15582425636071),Alberner Straﬂe,18,
HALTESTELLEWLOGD.19,19,POINT (16.34389132535827 48.21059408181891),Albertgasse,19,
HALTESTELLEWLOGD.20,20,POINT (16.36896119502877 48.204984093222066),Albertinaplatz,20,
HALTESTELLEWLOGD.21,21,POINT (16.420981006847736 48.25307383150425),Carminweg,21,
HALTESTELLEWLOGD.22,22,POINT (16.53153046030884 48.2489437837865),Algenweg,22,
HALTESTELLEWLOGD.23,23,POINT (16.387151151891803 48.238083924112374),Allerheiligengasse,23,
HALTESTELLEWLOGD.24,24,POINT (16.430191007869585 48.2863236674307),Gerasdorfer Str./Ruthnergasse,24,
HALTESTELLEWLOGD.25,25,POINT (16.241051821024598 48.205584169909045),Alois-Behr-Straﬂe,25,
HALTESTELLEWLOGD.26,26,POINT (16.32436144972876 48.231683993545424),Alsegger Straﬂe,26,
HALTESTELLEWLOGD.27,27,POINT (16.341951344301496 48.217114052209055),Alser Straﬂe,27,
HALTESTELLEWLOGD.28,28,POINT (16.32431137815227 48.18031423860576),Aichholzgasse,28,
HALTESTELLEWLOGD.29,29,POINT (16.354391293587945 48.224704008602245),Nuﬂdorfer Str/Alserbachstraﬂe,29,
HALTESTELLEWLOGD.30,30,POINT (16.34962123868588 48.1686242791237),Triester Str/Altdorferstraﬂe,30,
HALTESTELLEWLOGD.31,31,POINT (16.424070971438038 48.23774390282895),Alte Donau,31,
HALTESTELLEWLOGD.32,32,POINT (16.32360137786976 48.17759425261275),Aichholzgasse/Ratschkygasse,32,
HALTESTELLEWLOGD.33,33,POINT (16.383291063717078 48.16128429264265),Altes Landgut,33,
HALTESTELLEWLOGD.34,34,POINT (16.35954127450891 48.228833985218934),Althanstraﬂe,34,
HALTESTELLEWLOGD.35,35,POINT (16.316541396548512 48.165584314345125),Breitenfurter St/Altmannsd Str,35,
HALTESTELLEWLOGD.36,36,POINT (16.26085170966633 48.19490420904195),Auhofstraﬂe,36,
HALTESTELLEWLOGD.37,37,POINT (16.304581462390736 48.17124429415386),Am Fasangarten,37,
HALTESTELLEWLOGD.38,38,POINT (16.484330678028194 48.23894386042499),Am Heidjˆchl,38,
HALTESTELLEWLOGD.39,39,POINT (16.48853065433387 48.2368638674282),Am Heidjˆchl/Hausfeldstraﬂe,39,
HALTESTELLEWLOGD.40,40,POINT (16.438050800305295 48.16391424682021),Am Himmelreich,40,
HALTESTELLEWLOGD.41,41,POINT (16.347421274083487 48.18676419333057),Am Hundsturm,41,
HALTESTELLEWLOGD.42,42,POINT (16.410380944255248 48.17022423366889),Am Kanal,42,
HALTESTELLEWLOGD.43,43,POINT (16.418370895349604 48.16351426065744),Am Kanal/Hasenleitengasse,43,
HALTESTELLEWLOGD.44,44,POINT (16.382611120156476 48.19909411266142),Am Modenapark,44,
HALTESTELLEWLOGD.45,45,POINT (16.301471498507293 48.18604422620523),Am Platz,45,
HALTESTELLEWLOGD.46,46,POINT (16.290891516205917 48.16187434759945),Am Rosenh¸gel,46,
HALTESTELLEWLOGD.47,47,POINT (16.409251030420076 48.228073958414974),Reichsbr¸cke,47,
HALTESTELLEWLOGD.48,48,POINT (16.32461135049188 48.1615343279231),Am Schˆpfwerk,48,
HALTESTELLEWLOGD.49,49,POINT (16.282191544671154 48.15227439913978),Am Spiegeln,49,
HALTESTELLEWLOGD.50,50,POINT (16.397831127065203 48.25832382123632),Am Spitz,50,
HALTESTELLEWLOGD.51,51,POINT (16.383461151298143 48.22509398886281),Am Tabor,51,
HALTESTELLEWLOGD.52,52,POINT (16.335361336298487 48.18902419015194),F¸nfhausgasse,52,
HALTESTELLEWLOGD.53,53,POINT (16.345081263196132 48.169904275180414),Gesundheitszentrum S¸d,53,
HALTESTELLEWLOGD.54,54,POINT (16.292271563639147 48.20115415945957),Ameisbachzeile,54,
HALTESTELLEWLOGD.55,55,POINT (16.29951151863266 48.193774189780996),Ameisgasse,55,
HALTESTELLEWLOGD.56,56,POINT (16.350191276597684 48.198314137274764),Neubaugasse,56,
HALTESTELLEWLOGD.57,57,POINT (16.260391744465466 48.21848409678464),Ammerweg,57,
HALTESTELLEWLOGD.58,58,POINT (16.469570737118204 48.22994391261507),Amongasse,58,
HALTESTELLEWLOGD.59,59,POINT (16.29811144666401 48.13734446062568),An den Steinfeldern,59,
HALTESTELLEWLOGD.60,60,POINT (16.48935063615806 48.22647391688672),An den alten Schanzen,60,
HALTESTELLEWLOGD.61,61,POINT (16.341891393573373 48.252643882699836),An den langen L¸ssen,61,
HALTESTELLEWLOGD.62,62,POINT (16.479420657524322 48.20712401475057),An der Bien,62,
HALTESTELLEWLOGD.63,63,POINT (16.270031677394364 48.20399415989914),An der Niederhaid,63,
HALTESTELLEWLOGD.64,64,POINT (16.291811586897996 48.21560409103849),An der Scheibenwiese,65,
HALTESTELLEWLOGD.65,65,POINT (16.26498167410101 48.18449425567123),Angermayergasse,66,
HALTESTELLEWLOGD.66,66,POINT (16.32267140088592 48.19032419173801),Ansch¸tzgasse,67,
HALTESTELLEWLOGD.67,67,POINT (16.387401193384687 48.269433774845275),Anton-Bosch-Gasse,68,
