FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.30999974,30999974,POINT (16.374666743902697 48.20821486559394),1,Domgasse,1,299,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999975,30999975,POINT (16.372762016260186 48.206306093857265),1,Ballgasse,2,1061,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999976,30999976,POINT (16.36529986207023 48.21149934742132),1,Freyung,3-3A,195,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999977,30999977,POINT (16.368737494691445 48.20857367935479),1,Habsburgergasse,1-1A,175,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999978,30999978,POINT (16.38244280468799 48.21095275085892),1,Julius-Raab-Platz,ggü. 3,191,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999979,30999979,POINT (16.370555059016947 48.208013044192576),1,Spiegelgasse,1,176,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999980,30999980,POINT (16.37748528613284 48.20888042264276),1,Dr.-Ignaz-Seipel-Platz,1,1063,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999986,30999986,POINT (16.37553159124786 48.206534520218185),1,Kumpfgasse,10,1062,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999987,30999987,POINT (16.366803603802026 48.20958602610845),1,Wallnerstraße,5-7,194,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999988,30999988,POINT (16.387362177091724 48.21374295918852),2,Untere Donaustraße,# Fruchtgasse,2249,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999989,30999989,POINT (16.391712047548168 48.2140965434458),2,Franzensbrückenstraße,# Vivariumstraße,2248,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999990,30999990,POINT (16.396910425446432 48.213228703453325),2,Laufbergergasse,# Sportklubstraße,1072,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999993,30999993,POINT (16.413491748764894 48.19861833669118),2,Stadionallee,# Sillerweg,1179,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999994,30999994,POINT (16.38699833627035 48.222766967151884),2,Volkertplatz,9,0016,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999995,30999995,POINT (16.38754511149677 48.21652329465701),2,Praterstraße,51,2556,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999996,30999996,POINT (16.38133042322187 48.20975247072854),1,Biberstraße,16-18,3411,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999997,30999997,POINT (16.38747862262695 48.21462865325922),2,Czerninplatz,# Fruchtgasse,0275,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999998,30999998,POINT (16.388928972521345 48.22504569776469),2,Nordbahnstraße,# Marinelligasse,1084,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999999,30999999,POINT (16.370779146861544 48.205395134122085),1,Marco-d'Aviano-Gasse,2,ohne,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000000,31000000,POINT (16.398821195239766 48.21176013455379),2,Rustenschacherallee,# Sportklubstraße,2250,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000001,31000001,POINT (16.38603477536474 48.22686366252725),2,Taborstraße,95,1086,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000002,31000002,POINT (16.388479791772305 48.22709437199393),2,Nordbahnstraße ,12,1083,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000003,31000003,POINT (16.40313965253069 48.20442885845018),2,Friedensgasse,# Rustenschacherallee,2245,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000005,31000005,POINT (16.383660141437623 48.2180077437525),2,Odeongasse,# Große Mohrengasse,0269,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000007,31000007,POINT (16.411873924372443 48.197436090652786),2,Stadionallee ,ggü. 2,1074,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000008,31000008,POINT (16.385787013061535 48.22502565117057),2,Trunnerstraße,ggü. 5,0265,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000009,31000009,POINT (16.390382886386572 48.213944637127184),2,Untere Donaustraße ,# Waschhausgasse 1B,2247,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000010,31000010,POINT (16.402392642663294 48.20281614842348),2,Schüttelstraße,ggü. 83,2853,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000011,31000011,POINT (16.412435955015052 48.21282552699969),2,Trabrennstraße,4,2854,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000012,31000012,POINT (16.40044655190576 48.20337522813896),2,Paffrathgasse,# Schüttelstraße,2999,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000013,31000013,POINT (16.39006514397579 48.21845228692485),2,Heinestraße,ggü. 40,3438,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000014,31000014,POINT (16.389565408645623 48.22181508958279),2,Nordbahnstraße,42,3427,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
