FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,SE_ANNO_CAD_DATA
HUNDEZONEOGD.34473,34473,POINT (16.285424648225042 48.19496852133036),Gustav-Klimt-Park,179 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 1 Schwingflügeltür, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34474,34474,POINT (16.4768767945364 48.2132579241964),Parkanlage Asperner Wies´n,1313 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34475,34475,POINT (16.423841545232424 48.27775169270404),Parkanlage Pfendlergasse,965 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 1 Tor,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34476,34476,POINT (16.309075583720777 48.187826626444),Hadikpark,17988 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m 3 Schwingflügeltüren 3 Tore, Wienflußgeländer",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34477,34477,POINT (16.339520020028186 48.17248224547935),Unter-Meidlinger Straße,2058 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34478,34478,POINT (16.31595802299036 48.14039090877973),PaN-Park,568 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34479,34479,POINT (16.287017100711346 48.15193378527592),Parkanlage Pölleritzergasse,4191 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m , Chestnutzaun",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34480,34480,POINT (16.41687229950378 48.215646820964245),Parkanlage Offenbachgasse,1608 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34481,34481,POINT (16.414924137507338 48.21462351499641),Parkanlage Engerthstraße,798 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34482,34482,POINT (16.267895068599547 48.19618900438983),Parkanlage Cossmanngasse,2058 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34483,34483,POINT (16.312684116299653 48.131027008336275),Parkanlage Siedlung Wienerflur ,1239 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34484,34484,POINT (16.276510828952024 48.13680100508418),Herbert-Mayr-Park,2676 m²,Hundeauslaufplatz,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34485,34485,POINT (16.282443473153318 48.145815897118666),Fridtjof-Nansen-Park,1610 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 3 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34486,34486,POINT (16.37726830871953 48.16686860828889),Hebbelpark,451 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34487,34487,POINT (16.406137199441964 48.164104807409224),Parkanlage Löwygrube,222433 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34488,34488,POINT (16.394214410536865 48.27333128900558),Denglerpark,2691 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34489,34489,POINT (16.38855470810531 48.257379010627616),Floridsdorfer Aupark,2502 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34490,34490,POINT (16.324641675697762 48.22516497336067),Lidlpark,1215 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34491,34491,POINT (16.359251122509985 48.1720784927551),Fortunapark,400 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1,3 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34492,34492,POINT (16.353903078355266 48.1748610262761),Martin-Luther-King-Park,734 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m,1,8 m, Ziegelmauer 2 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34493,34493,POINT (16.298527135479937 48.147696106756975),Parkanlage Riegermühle,704 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 4 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34494,34494,POINT (16.350294302590648 48.23265440061418),Währinger Park,4483 m²,Hundezone,01 4000 8042,"Maschendrahtzaun 1m, Ziegelmauer 2,5m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34495,34495,POINT (16.34836659701909 48.24527633913437),Saarpark,1292 m²,Hundezone,01 4000 8042,"Gitterzaun 1,6 m teilweise",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34496,34496,POINT (16.33913466052386 48.24486692693349),Olympiapark,3582 m²,Hundezone,01 4000 8042,Gitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34497,34497,POINT (16.337528286150746 48.23445179284946),Türkenschanzpark (Gregor-Mendel-Straße),1374 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34498,34498,POINT (16.329932600963033 48.234261097528496),Türkenschanzpark (Hasenauerstraße),1844 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34499,34499,POINT (16.438630554565155 48.23209003002292),Lagerwiese Rehlacke,4355 m²,Hundezone,01 4000 8042,eingezäunt,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.34500,34500,POINT (16.37801620399507 48.17051298909663),Antonspark,957 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
