FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.9278678,9278678,POINT (16.347441704023723 48.14772466899125),
HYDRANTOGD.9278679,9278679,POINT (16.358733521030217 48.22865458758302),
HYDRANTOGD.9278680,9278680,POINT (16.340917651523988 48.17719798534773),
HYDRANTOGD.9278681,9278681,POINT (16.371151801421416 48.225203584177606),
HYDRANTOGD.9278682,9278682,POINT (16.27719841662659 48.17435573092404),
HYDRANTOGD.9278683,9278683,POINT (16.394072242308635 48.14649272124089),
HYDRANTOGD.9278684,9278684,POINT (16.337412072130526 48.25821819729493),
HYDRANTOGD.9278685,9278685,POINT (16.266330782101022 48.20045415587785),
HYDRANTOGD.9278686,9278686,POINT (16.33850478523469 48.15880769532887),
HYDRANTOGD.9278687,9278687,POINT (16.41141358593913 48.19285032092324),
HYDRANTOGD.9278688,9278688,POINT (16.35173395617331 48.145443649218436),
HYDRANTOGD.9278689,9278689,POINT (16.340398851533255 48.24980120624775),
HYDRANTOGD.9278690,9278690,POINT (16.348923195634544 48.245865657466695),
HYDRANTOGD.9278691,9278691,POINT (16.493735800885215 48.27838904848757),
HYDRANTOGD.9278692,9278692,POINT (16.41278457077853 48.18803295887686),
HYDRANTOGD.9278693,9278693,POINT (16.351892585304135 48.18799326438334),
HYDRANTOGD.9278694,9278694,POINT (16.395063193483335 48.13630633528732),
HYDRANTOGD.9278695,9278695,POINT (16.27539762866691 48.166970807850696),
HYDRANTOGD.9278696,9278696,POINT (16.35350593764093 48.212151256696714),
HYDRANTOGD.9278697,9278697,POINT (16.351185065016853 48.25522844211993),
HYDRANTOGD.9278698,9278698,POINT (16.323266939650043 48.19005967221522),
HYDRANTOGD.9278699,9278699,POINT (16.317010874084783 48.21423733037078),
HYDRANTOGD.9278700,9278700,POINT (16.334708828594987 48.18800828732286),
HYDRANTOGD.9278701,9278701,POINT (16.272404333991517 48.16616662338161),
HYDRANTOGD.9278702,9278702,POINT (16.443474120095598 48.23354657561536),
HYDRANTOGD.9278703,9278703,POINT (16.373035838410832 48.17577606569057),
HYDRANTOGD.9278704,9278704,POINT (16.33958666369038 48.19954579660965),
HYDRANTOGD.9278705,9278705,POINT (16.32374753777866 48.17768704785757),
HYDRANTOGD.9278706,9278706,POINT (16.355105659177184 48.2549532098586),
HYDRANTOGD.9278707,9278707,POINT (16.269325360683183 48.179770569057816),
HYDRANTOGD.9278708,9278708,POINT (16.410653462261877 48.249414745706616),
HYDRANTOGD.9278709,9278709,POINT (16.39370174496457 48.20549972455169),
HYDRANTOGD.9278710,9278710,POINT (16.409364490077092 48.25882659889094),
HYDRANTOGD.9278711,9278711,POINT (16.46922031761148 48.22191883693892),
HYDRANTOGD.9278712,9278712,POINT (16.339710977591793 48.19410958625846),
HYDRANTOGD.9278713,9278713,POINT (16.486465865817646 48.2157520908196),
HYDRANTOGD.9278714,9278714,POINT (16.305564251717602 48.197631969142954),
HYDRANTOGD.9278715,9278715,POINT (16.481480499439 48.23905804692471),
HYDRANTOGD.9278716,9278716,POINT (16.351993508056246 48.16778313638581),
HYDRANTOGD.9278717,9278717,POINT (16.316461235763096 48.20390893533622),
HYDRANTOGD.9278718,9278718,POINT (16.27445534384217 48.19618552725642),
HYDRANTOGD.9278719,9278719,POINT (16.35105171214057 48.20722217424474),
HYDRANTOGD.9278720,9278720,POINT (16.467862383092047 48.229090012377995),
HYDRANTOGD.9278721,9278721,POINT (16.329418117400152 48.22220216002898),
HYDRANTOGD.9278722,9278722,POINT (16.35796069733909 48.18709627464266),
HYDRANTOGD.9278723,9278723,POINT (16.26320677471383 48.17815947770523),
HYDRANTOGD.9278724,9278724,POINT (16.265607744874153 48.16699748389402),
HYDRANTOGD.9278725,9278725,POINT (16.44309037505358 48.19837645893175),
HYDRANTOGD.9278726,9278726,POINT (16.238302727958068 48.20509985686943),
HYDRANTOGD.9278727,9278727,POINT (16.34055676572181 48.21109147899097),
HYDRANTOGD.9278728,9278728,POINT (16.424874849394286 48.15813142080541),
HYDRANTOGD.9278729,9278729,POINT (16.356854691457066 48.240975897915774),
HYDRANTOGD.9278730,9278730,POINT (16.38302578281159 48.18599204321263),
HYDRANTOGD.9278731,9278731,POINT (16.235625571939593 48.20697424678212),
HYDRANTOGD.9278732,9278732,POINT (16.396119347068257 48.25576435104378),
HYDRANTOGD.9278733,9278733,POINT (16.48324273946537 48.251681967276134),
HYDRANTOGD.9278734,9278734,POINT (16.38532848670324 48.19725866364887),
HYDRANTOGD.9278735,9278735,POINT (16.28744000264829 48.21630074582756),
HYDRANTOGD.9278736,9278736,POINT (16.317470223253828 48.22377438392637),
HYDRANTOGD.9278737,9278737,POINT (16.275165925399598 48.16118061701422),
HYDRANTOGD.9278738,9278738,POINT (16.44777148445514 48.161071721312595),
HYDRANTOGD.9278739,9278739,POINT (16.277931040216203 48.17925323958268),
HYDRANTOGD.9278740,9278740,POINT (16.437713268210395 48.244462249070835),
HYDRANTOGD.9278741,9278741,POINT (16.346899290770924 48.20187700955459),
HYDRANTOGD.9278742,9278742,POINT (16.41924173271664 48.189925881558324),
HYDRANTOGD.9278743,9278743,POINT (16.48687521341283 48.20901854547139),
HYDRANTOGD.9278744,9278744,POINT (16.354679288416676 48.22820961564521),
HYDRANTOGD.9278745,9278745,POINT (16.333937427992584 48.21949160188489),
HYDRANTOGD.9278746,9278746,POINT (16.33355231237309 48.21350090045658),
HYDRANTOGD.9278747,9278747,POINT (16.3538034720125 48.25639584447491),
HYDRANTOGD.9278748,9278748,POINT (16.418740142140894 48.1798664967421),
HYDRANTOGD.9278749,9278749,POINT (16.329930536775283 48.2125679032196),
HYDRANTOGD.9278750,9278750,POINT (16.38572843236785 48.21973200868869),
HYDRANTOGD.9278751,9278751,POINT (16.32440834660943 48.218709358951365),
HYDRANTOGD.9278752,9278752,POINT (16.388094878784546 48.23273283396768),
HYDRANTOGD.9278753,9278753,POINT (16.404772345395887 48.223487170082194),
HYDRANTOGD.9278754,9278754,POINT (16.384905305125212 48.187696183763755),
HYDRANTOGD.9278755,9278755,POINT (16.271310150552 48.19171235289009),
HYDRANTOGD.9278756,9278756,POINT (16.403701884494037 48.26832078040045),
HYDRANTOGD.9278757,9278757,POINT (16.256747538184474 48.16679171182803),
HYDRANTOGD.9278758,9278758,POINT (16.432231136743308 48.27230997233022),
HYDRANTOGD.9278759,9278759,POINT (16.286237801994336 48.20117586629794),
HYDRANTOGD.9278760,9278760,POINT (16.410550172248143 48.16578068885652),
HYDRANTOGD.9278761,9278761,POINT (16.35939377823223 48.19917645121789),
HYDRANTOGD.9278762,9278762,POINT (16.333012603909523 48.25667458963551),
HYDRANTOGD.9278763,9278763,POINT (16.46931069941799 48.20146508036478),
HYDRANTOGD.9278764,9278764,POINT (16.36523065016288 48.15510852429475),
HYDRANTOGD.9278765,9278765,POINT (16.401868402873696 48.267329784969526),
HYDRANTOGD.9278766,9278766,POINT (16.412634807055746 48.2999974208753),
HYDRANTOGD.9278767,9278767,POINT (16.227771633712926 48.20946362455174),
HYDRANTOGD.9278768,9278768,POINT (16.523492661886785 48.20676179695336),
HYDRANTOGD.9278769,9278769,POINT (16.484523976500004 48.25390368663643),
HYDRANTOGD.9278770,9278770,POINT (16.40353528717406 48.19801536835647),
HYDRANTOGD.9278771,9278771,POINT (16.41953359857848 48.22653093429594),
HYDRANTOGD.9278772,9278772,POINT (16.285926430761112 48.19956142639243),
HYDRANTOGD.9278773,9278773,POINT (16.410170606084563 48.243226228129515),
HYDRANTOGD.9278774,9278774,POINT (16.32901036812587 48.20247621233724),
HYDRANTOGD.9278775,9278775,POINT (16.361876547855204 48.21804233643771),
HYDRANTOGD.9278776,9278776,POINT (16.498476687473563 48.25541671040478),
HYDRANTOGD.9278777,9278777,POINT (16.296277395521606 48.184357814445356),
HYDRANTOGD.9278778,9278778,POINT (16.353716831595868 48.19429237810912),
HYDRANTOGD.9278779,9278779,POINT (16.341205745961936 48.14439364898511),
HYDRANTOGD.9278780,9278780,POINT (16.34836626302843 48.24085112675988),
HYDRANTOGD.9278781,9278781,POINT (16.378724721260394 48.20760346872537),
HYDRANTOGD.9278782,9278782,POINT (16.30129016865542 48.23508013703185),
HYDRANTOGD.9278783,9278783,POINT (16.33314742907736 48.16113495869529),
HYDRANTOGD.9278784,9278784,POINT (16.379236427001636 48.235588891454924),
HYDRANTOGD.9278785,9278785,POINT (16.43875095370983 48.179054550953886),
HYDRANTOGD.9278786,9278786,POINT (16.321899407406498 48.179562992483106),
HYDRANTOGD.9278787,9278787,POINT (16.31189150688849 48.2257838541259),
HYDRANTOGD.9278788,9278788,POINT (16.39102676870897 48.218273397820916),
HYDRANTOGD.9278789,9278789,POINT (16.313998741519864 48.22336511984065),
HYDRANTOGD.9278790,9278790,POINT (16.391152873428375 48.211450230739295),
