FID,OBJECTID,SHAPE,ID,BEZEICHNUNG,BEZIRK,ADRESSE,ORT,WEBLINK1,WEBLINK2,BETREIBER,SE_ANNO_CAD_DATA
IMPFSTELLEOGD.641,641,POINT (16.41097597738341 48.19396209464308),IM_Z1030,MA 15 - Impfservice und reisemedizinische Beratung,3,"3., Thomas-Klestil-Platz 8, Stiege 2, Erdgeschoss",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/beratung/index.html,MA15,
IMPFSTELLEOGD.642,642,POINT (16.37971816098013 48.216655006523915),IM_BGA02,MA 15 - Bezirksgesundheitsamt 2 zuständig für den 2. und 20. Bezirk,2,"2., Karmelitergasse 9",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.643,643,POINT (16.371009227021453 48.23312493292137),IM_BGA02_A20,Außenstelle 20. Bezirk,2,"2., Brigittaplatz 10",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/bezirke-2-20.html,MA15,
IMPFSTELLEOGD.644,644,POINT (16.388651096741274 48.201480072992275),IM_BGA03,MA 15 - Bezirksgesundheitsamt 3 zuständig für den 3. und 11. Bezirk,3,"3., Karl-Borromäus-Platz 3",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.645,645,POINT (16.413660939052818 48.17573618051181),IM_BGA03_A11,Außenstelle 11. Bezirk,11,"11., Enkplatz 2",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/bezirke-3-11.html,MA15,
IMPFSTELLEOGD.646,646,POINT (16.369840178809508 48.194490117829396),IM_BGA04,"MA 15 - Bezirksgesundheitsamt 4 zuständig für den 4., 5. und 12. 
Bezirk",4,"4., Favoritenstraße 18",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.647,647,POINT (16.32885936035598 48.18031821134556),IM_BGA04_A12,Außenstelle 12. Bezirk,12,"12., Tivoligasse 4-6",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/bezirke-4-5-12.html,MA15,
IMPFSTELLEOGD.648,648,POINT (16.350844309278383 48.22174199957732),IM_BGA09,"MA 15 - Bezirksgesundheitsamt 9 zuständig für den 1., 8., 9., 17., 18. 
und 19. Bezirk",9,"9., Wilhelm-Exner-Gasse 5",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.649,649,POINT (16.353660319653304 48.23905491501996),IM_BGA09_A19,Außenstelle 19. Bezirk,19,"19., Gatterburggasse 14",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/bezirke-1-19.html,MA15,
IMPFSTELLEOGD.650,650,POINT (16.374004137620652 48.178810190346184),IM_BGA10,MA 15 - Bezirksgesundheitsamt 10 zuständig für den 10. Bezirk,10,"10., Laxenburger Straße 43-45",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.651,651,POINT (16.301057506117754 48.188021191729106),IM_BGA13,"MA 15 - Bezirksgesundheitsamt 13 zuständig für den 13., 14. und 
23. Bezirk",13,"13., Hietzinger Kai 1-3",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.652,652,POINT (16.281156531058116 48.13619845172105),IM_BGA13_A23,Außenstelle 23. Bezirk,23,"23., Breitenfurterstraße 360-368",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/bezirke-13-14-23.html,MA15,
IMPFSTELLEOGD.653,653,POINT (16.33409535322913 48.194139141714416),IM_BGA15,"MA 15 - Bezirksgesundheitsamt 15 zuständig für den 6., 7., 15. und 16. Bezirk",15,"15., Gasgasse 8-10",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.654,654,POINT (16.327289408168635 48.20949607278829),IM_BGA15_A16,Außenstelle 16. Bezirk,16,"16., Richard-Wagner-Platz 19",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/bezirke-6-16.html,MA15,
IMPFSTELLEOGD.655,655,POINT (16.39846912526203 48.25657480434622),IM_BGA21,MA 15 - Bezirksgesundheitsamt 21 zuständig für den 21. Bezirk,21,"21., Franz-Jonas-Platz 3, Stiege 2",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
IMPFSTELLEOGD.656,656,POINT (16.434186931025927 48.24262584866588),IM_BGA22,MA 15 - Bezirksgesundheitsamt 22 zuständig für den 22. Bezirk,22,"22., Siebeckstraße 7, Stiege 2",Wien,http://www.wien.gv.at/gesundheit/beratung-vorsorge/impfen/index.html,http://www.wien.gv.at/gesundheit/einrichtungen/gesundheitsaemter/index.html,MA15,
