FID,OBJECTID,SHAPE,BEZEICHNUNG_DE,BEZEICHNUNG_EN,ABKUERZUNG,STANDORT,BEZIRK,ADRESSE,POSTFACH,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
INTORGOGD.664,664,POINT (16.362690440631503 48.202508662479595),Internationale Organisation für Migration Regional Büro Wien,International Organisation for Migration Regional Bureau Vienna,IOM,International Organizations and Institutions based in Austria,1,"1., Nibelungengasse 13/4",,01 585 33 22,http://www.iomvienna.at/,
INTORGOGD.665,665,POINT (16.346286240106913 48.1969686775374),Joint Vienna Institute,Joint Vienna Institute,JVI,International Organizations and Institutions based in Austria,6,"6., Mariahilfer Straße 97",,01 798 94 95,http://www.jvi.org/,
INTORGOGD.666,666,POINT (16.416856712198253 48.234829785125626),Internationale Kommission zum Schutz der Donau ICPDR-Sekretariat,Commission for the Protection of the Danube River Permanent Secretariat,ICPDR,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5, Room D-0412",500,01 260 60-5738,http://www.icpdr.org/,
INTORGOGD.667,667,POINT (16.38265402366019 48.195735769476),Europäisches Patentamt,European Patent Office - Branch office,EPO,International Organizations and Institutions based in Austria,3,"3., Rennweg 12",90,01 521 26-0,http://www.epo.org/,
INTORGOGD.668,668,POINT (16.380569966554752 48.19766535518922),Europarat - Verbindungsbüro,Council of Europe - Liaison Office,COE,International Organizations and Institutions based in Austria,3,"3., Marokkanergasse 21/6",,01 710 41 27,,
INTORGOGD.669,669,POINT (16.365932323669174 48.21061521706897),Multilaterale Investitions-Garantie-Agentur - Verbindungsbüro,Multilateral Investment Guarantee Agency - Liaison Office,MIGA,International Organizations and Institutions based in Austria,1,"1., Strauchgasse 3",,01 535 53 82-2117,http://www.miga.org,
INTORGOGD.670,670,POINT (16.365932323669174 48.21061521706897),Internationale Finanz-Corporation - Verbindungsbüro,"International Finance Corporation - FIAS Investment Climate Department, World Bank Group",IFC,International Organizations and Institutions based in Austria,1,"1., Strauchgasse 3",,01 535 53 82-2119,http://www.wbginvestmentclimate.org,
INTORGOGD.671,671,POINT (16.372760497229358 48.1984187641791),Europäische Investitionsbank - Verbindungsbüro,European Investment Bank - Regional Office,EIB,International Organizations and Institutions based in Austria,4,"4., Mattiellistraße 2-4",,01 505 36 76-0,http://www.eib.org,
INTORGOGD.672,672,POINT (16.367130859298687 48.21075347782306),Energiegemeinschaft Sekretariat Wien,Energy Community Secretariat Vienna,ECS,International Organizations and Institutions based in Austria,1,"1., Am Hof 4/6",,01 535 22 22,http://www.energy-community.org/,
INTORGOGD.673,673,POINT (16.38388691311318 48.21483191598549),Internationale Bank für Wiederaufbau und Entwicklung - Verbindungsbüro,International Bank for Reconstruction and Development - Liaison Office,IBRD,International Organizations and Institutions based in Austria,2,"2., Praterstraße 31",,01 217 07 00,http://www.worldbank.org/ibrd,
INTORGOGD.674,674,POINT (16.367144483316547 48.2164576899059),König Abdullah Bin Abdulaziz Internationales Zentrum <br>für interreligösen u. interkulturellen Dialog ,King Abdullah Bin Abdulaziz International Centre for Interreligious and Intercultural Dialogue,KAICIID,International Organizations and Institutions based in Austria,1,"1., Schottenring 21",<Null>,01 313 22-0,http://www.kaiciid.org/,
INTORGOGD.675,675,POINT (16.416856712198253 48.234829785125626),Büro der Vereinten Nationen für Abrüstungsfragen ,United Nations Office for Disarmament Affairs,UNODA,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60-4180,http://www.un.org/disarmament/vienna/,
INTORGOGD.676,676,POINT (16.414106434245028 48.23299253452594),UN-Büro für Nachhaltige Energie für Alle ,Sustainable Energy for All Initiative,SE4ALL,"22., Donau City Strasse 6, Andromeda Tower 15. Stock",22,"22., Donau City Strasse 6",500,+43 1 26060 83403,http://www.se4all.org/,
INTORGOGD.654,654,POINT (16.416856712198253 48.234829785125626),Internationaler Suchtstoffkontrollrat,International Narcotics Control Board,INCB,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5, Room E-1339",500,01 260 60-0,http://www.incb.org/,
INTORGOGD.655,655,POINT (16.416856712198253 48.234829785125626),Register d. Vereinten Nationen für d. Erfassung der durch den Bau <br>der Mauer in dem besetzten palästinensischen Gebiet verursachten Schäden,United Nations Register of Damage Caused by the Construction <br>of the Wall in the Occupied Palestinian Territory,UNRoD,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60-5134,http://www.unrod.org/,
INTORGOGD.656,656,POINT (16.36646559271599 48.210015625544955),Organisation für Sicherheit und Zusammenarbeit in Europa - Sekretariat,Organization for Security and Co-operation in Europe - Secretariat,OSZE,International Organizations and Institutions based in Austria,1,"1., Wallnerstraße 6",,01 514 36-6000,http://www.osce.org/,
INTORGOGD.657,657,POINT (16.36646559271599 48.210015625544955),Organisation für Sicherheit und Zusammenarbeit in Europa -<br> Beauftragter für die Freiheit der Medien,Organization for Security and Co-operation in Europe -<br> Representative on Freedom of the Media,OSCE,International Organizations and Institutions based in Austria,1,"1., Wallnerstraße 6",,01 514 36-6800,http://www.osce.org/fom,
INTORGOGD.658,658,POINT (16.355879268226257 48.205354975953426),Organisation für Sicherheit und Zusammenarbeit in Europa -<br> Verbindungsbüro der parlamentarischen Versammlung der OSZE,Organization for Security and Co-operation in Europe -<br> Liaison Office of the Parliamentary Assembly,OSCEPA,International Organizations and Institutions based in Austria,7,"7., Neustiftgasse 3/8",,01 523 30 02,http://www.oscepa.org/,
INTORGOGD.659,659,POINT (16.365987336006544 48.21427907614742),Organisation der erdölexportierenden Länder,Organization of the Petroleum Exporting Countries,OPEC,International Organizations and Institutions based in Austria,1,"1., Helferstorferstraße 17",,01 211 12-0,http://www.opec.org/,
INTORGOGD.660,660,POINT (16.37894172793433 48.20614149092357),Organisation der erdölexportierenden Länder - Fonds für internationale Entwicklung,Organization of the Petroleum Exporting Countries -<br> Fund for International Development,OFID,International Organizations and Institutions based in Austria,1,"1., Parkring 8",995,01 515 64-0,http://www.ofid.org/,
INTORGOGD.661,661,POINT (16.374607913757774 48.19816438323935),Agentur der Europäischen Union für Grundrechte,European Union Agency for Fundamental Rights,GRA,International Organizations and Institutions based in Austria,4,"4., Schwarzenbergplatz 11",,01 580 30 60,http://fra.europa.eu/,
INTORGOGD.662,662,POINT (16.373289211106595 48.20220894294313),Wassenaar Arrangement f. Exportkontrolle v. konvention. Waffen und <br>doppelverwendungsfähigen Technologie,Wassenaar Arrangement on Export Controls for Conventional Arms <br>and Dual-Use Goods and Technologies (Secretariat),WA,International Organizations and Institutions based in Austria,1,"1., Mahlerstraße 12/6",,01 960 03,http://www.wassenaar.org/,
INTORGOGD.663,663,POINT (16.373711333914592 48.21300061914466),Internationales Zentrum für Migrationspolitikentwicklung,International Centre for Migration Policy Development,ICMPD,International Organizations and Institutions based in Austria,1,"1., Gonzagagasse 1/5",,01 504 46 77-0,http://www.icmpd.org/,
INTORGOGD.641,641,POINT (16.416856712198253 48.234829785125626),Büro der Vereinten Nationen in Wien,United Nations Office at Vienna,UNOV,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60,http://www.unvienna.org,
INTORGOGD.642,642,POINT (16.416856712198253 48.234829785125626),Organisation der Vereinten Nationen für industrielle Entwicklung,United Nations Industrial Development Organization,UNIDO,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",300,01 260 26-0,http://www.unido.org,
INTORGOGD.643,643,POINT (16.416856712198253 48.234829785125626),Internationale Atomenergie-Organisation,International Atomic Energy Agency,IAEO,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",100,01 260 0-0,http://www.iaea.org,
INTORGOGD.644,644,POINT (16.416856712198253 48.234829785125626),Vorbereitungskommission für die Organisation des Vertrags über das<br> umfassende Verbot von Nuklearversuchen,Preparatory Commission for the Comprehensive<br> Nuclear-Test-Ban-Treaty Organization,CTBTO,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",1200,01 260 30-6200,http://www.ctbto.org/,
INTORGOGD.645,645,POINT (16.416856712198253 48.234829785125626),Büro der Vereinten Nationen für Drogen- und Verbrechensbekämpfung,United Nations Office on Drugs and Crime,UNODC,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60-0,http://www.unodc.org/,
INTORGOGD.646,646,POINT (16.416856712198253 48.234829785125626),Amt für interne Aufsichtsdienste,Office of Internal Oversight Services,UNOIOS,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60-0,http://www.un.org/Depts/oios/,
INTORGOGD.647,647,POINT (16.416856712198253 48.234829785125626),Büro der Vereinten Nationen für Weltraumfragen,United Nations Office for Outer Space Affairs,UNOOSA,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60-4950,http://www.unoosa.org/,
INTORGOGD.648,648,POINT (16.416856712198253 48.234829785125626),Kommission der Vereinten Nationen für Internationales Handelsrecht,United Nations Commission on International Trade Law,UNCITRAL,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,"01 260 60-4060, 01 260 60-4061",http://www.uncitral.org/,
INTORGOGD.649,649,POINT (16.416856712198253 48.234829785125626),Umweltprogramm der Vereinten Nationen Büro Wien -<br> Interimssekretariat des Karpatenübereinkommens,United Nations Environment Programme Vienna -<br> Interim Secretariat of the Carpathian Convention,UNEP-ISCC,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60-4545,http://www.carpathianconvention.org/index.htm,
INTORGOGD.650,650,POINT (16.416856712198253 48.234829785125626),Hoher Flüchtlingskommissar der Vereinten Nationen Büro Wien,United Nations High Commissioner for Refugees Vienna Office,UNHCR,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",550,01 260 60-4048,http://www.unhcr.at/,
INTORGOGD.651,651,POINT (16.416856712198253 48.234829785125626),Informationsdienst der Vereinten Nationen Wien,United Nations Information Service,UNIS,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 260 60-0,http://www.unis.unvienna.org/,
INTORGOGD.652,652,POINT (16.416856712198253 48.234829785125626),Postverwaltung der Vereinten Nationen,United Nations Postal Administration - European Office,UNPA,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",900,01 260 60-4032,http://unstamps.un.org/,
INTORGOGD.653,653,POINT (16.416856712198253 48.234829785125626),Wissenschaftlicher Ausschuss der Vereinten Nationen zur<br> Untersuchung der Auswirkungen der atomaren Strahlung,United Nationas Scientific Committee on the Effects of Atomic Radiation,UNSCEAR,International Organizations and Institutions based in Austria,22,"1400, Wagramer Straße 5",500,01 206 60-4330,http://www.unscear.org/,
