FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,SE_ANNO_CAD_DATA
KINDERGARTENOGD.877913,877913,POINT (16.315235549728595 48.16495434140729),Betriebskindergarten - Fa. Boehringer Ingelheim Austria GmbH.,Kinder in Wien,"12., Breitenfurter Straße 56",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877914,877914,POINT (16.361794006716973 48.19028842866573),Kindergarten,Kinder in Wien,"5., Ziegelofengasse 21-23",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877915,877915,POINT (16.43415102152339 48.24305327302036),Kindergarten,Kindercompany,"22., Dr.-Adolf-Schärf-Platz 4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,0676/834 82 366,
KINDERGARTENOGD.877916,877916,POINT (16.344729563787354 48.21084968312401),Mary Poppins,Verein Vindobini,"8., Hamerlingplatz 10",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877917,877917,POINT (16.385194281260624 48.22430119293902),Kindergarten,Allgemeiner Kultur- und Bildungsverein für Frauen,"2., Vereinsgasse 36",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877918,877918,POINT (16.377966797564607 48.1788484379524),Kindergarten,Alt-Wien - MUKU,"10., Humboldtgasse 29",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877919,877919,POINT (16.34413330556766 48.16766731530495),Kindergarten,Kinder in Wien,"10., Hertha-Firnberg-Straße 10",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877920,877920,POINT (16.366963355324906 48.17971563241264),Kindergarten,Wiener Kindergärten,"10., Dampfgasse 35-37/2",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Kindergarten 3-6 Jahre,Öffentlich,+43 676 811 864 394,
KINDERGARTENOGD.877921,877921,POINT (16.36993205291639 48.171585187280144),Kindertagesheim ´Al Furqan´,TAHAMA Verein für Integrative Bildung,"10., Siccardsburggasse 60",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,0699/1603 56 08,
KINDERGARTENOGD.877922,877922,POINT (16.403826757173874 48.185652150479925),Betriebskindergarten - Fa. T-Mobile Austria,Wiener Kinderfreunde,"3., Rennweg 97-99",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,+43 1 795 85-5400,
KINDERGARTENOGD.877923,877923,POINT (16.38497832809122 48.21405169063165),Kiga der ZAI-Wien,Verein Privatkindergarten- und -schulverein Khal Yisroel,"2., Tempelgasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergarten 3-6 Jahre,Privat,,
KINDERGARTENOGD.877924,877924,POINT (16.343081447842017 48.22752113547422),Pfarrkindergarten der Pfarre Währing,St. Nikolausstiftung Erzdiözese Wien,"18., Riglergasse 7-9",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877925,877925,POINT (16.31104532527119 48.214762827535566),Kindergarten,Verein zur Förderung von Integration in Österreich,"16., Arnethgasse 90",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,,
KINDERGARTENOGD.877926,877926,POINT (16.30496961044184 48.221689137641306),Kindergarten,Wiener Kindergärten,"16., Rosa-Luxemburg-Gasse 5",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Öffentlich,+43 676 811 862 949,
KINDERGARTENOGD.877927,877927,POINT (16.327365022969616 48.23534550436885),Kindergarten,Kindercompany,"18., Türkenschanzplatz 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877928,877928,POINT (16.32642445775633 48.24258130090199),Kindergarten,Wiener Kindergärten,"19., Gustav-Pick-Gasse 2",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Hortgruppe 6-10 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,+43 676 811 862 106,
KINDERGARTENOGD.877929,877929,POINT (16.362888808053007 48.15807469639849),Kindergarten,Wiener Kindergärten,"10., Maillygasse 2",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,+43 676 811 864 828,
