FID,SHAPE,BEZIRK,STRNAM,GELTUNGSBEREICH,ZEITRAUM,DAUER,SE_SDO_ROWID,SE_ANNO_CAD_DATA,GUELTIG_VON
KURZPARKSTREIFENOGD.355986,"LINESTRING (16.32602690692952 48.21043029053153, 16.325331270447776 48.21053583685821)",16,Thaliastraﬂe,63 bis 67,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355986,,2012-09-30
KURZPARKSTREIFENOGD.355987,"LINESTRING (16.325063401561145 48.2106633167811, 16.32384362023348 48.21084736829778)",16,Thaliastraﬂe,76 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355987,,2012-09-30
KURZPARKSTREIFENOGD.355988,"LINESTRING (16.32403441325196 48.21073147426653, 16.323190391827627 48.2108614635769)",16,Thaliastraﬂe,75 bis 79,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355988,,2012-09-30
KURZPARKSTREIFENOGD.355989,"LINESTRING (16.32365284917765 48.21087568087451, 16.322839656104208 48.21100180835964)",16,Thaliastraﬂe,78 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355989,,2012-09-30
KURZPARKSTREIFENOGD.355990,"LINESTRING (16.32299769123786 48.210889775974735, 16.322147883938374 48.211019756971325)",16,Thaliastraﬂe,81 bis 85,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355990,,2012-09-30
KURZPARKSTREIFENOGD.355991,"LINESTRING (16.3226565876471 48.21103398498336, 16.322153640891955 48.211107336555)",16,Thaliastraﬂe,80 bis 82,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355991,,2012-09-30
KURZPARKSTREIFENOGD.355992,"LINESTRING (16.321953256063154 48.21104935565675, 16.32110151434929 48.21117932867848)",16,Thaliastraﬂe,87 bis 91,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355992,,2012-09-30
KURZPARKSTREIFENOGD.355993,"LINESTRING (16.321943593631442 48.211147237286106, 16.320725715941307 48.211335118509666)",16,Thaliastraﬂe,84 bis 90,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355993,,2012-09-30
KURZPARKSTREIFENOGD.355994,"LINESTRING (16.320908816515345 48.211196046498934, 16.320078267096445 48.211324727578415)",16,Thaliastraﬂe,93 bis 97,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355994,,2012-09-30
KURZPARKSTREIFENOGD.355995,"LINESTRING (16.32051181535546 48.2113685758743, 16.319920216103434 48.211457361545435)",16,Thaliastraﬂe,92 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355995,,2012-09-30
KURZPARKSTREIFENOGD.355996,"LINESTRING (16.31880927599555 48.211620981704584, 16.316941311302493 48.21191089941196)",16,Thaliastraﬂe,94 bis 108,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355996,,2012-09-30
KURZPARKSTREIFENOGD.355997,"LINESTRING (16.317771267345734 48.21169294546264, 16.31693620691737 48.21181988429616)",16,Thaliastraﬂe,105 bis 109,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355997,,2012-09-30
KURZPARKSTREIFENOGD.355998,"LINESTRING (16.31672548128428 48.211936620901774, 16.31567972103985 48.212094426771124)",16,Thaliastraﬂe,110 bis 116,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355998,,2012-09-30
KURZPARKSTREIFENOGD.355712,"LINESTRING (16.4455563110072 48.250831459625644, 16.445332274449125 48.25086223922535)",22,Am langen Felde,1 ,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355712,,2006-10-23
KURZPARKSTREIFENOGD.355713,"LINESTRING (16.319818917929055 48.18472355664457, 16.319731292566622 48.18454379686567)",12,Gr¸nbergstraﬂe,7 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355713,,1983-10-18
KURZPARKSTREIFENOGD.355714,"LINESTRING (16.441619154343307 48.26004154210953, 16.441573052621273 48.26001413187144)",22,Murrstraﬂe,4 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355714,,2006-02-22
