FID,SHAPE,BEZIRK,ADRESSE,OBJEKT,OEFFNUNGSZEIT,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MISTPLATZOGD.410632,POINT (16.361866982751053 48.177421074512125),10,Sonnleithnergasse 30,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410632,
MISTPLATZOGD.410646,POINT (16.30325089899455 48.161017814801625),12,Wundtgasse 2,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410646,
MISTPLATZOGD.410658,POINT (16.284841656654685 48.192927221296976),14,Zehetnergasse 7-9,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410658,
MISTPLATZOGD.410663,POINT (16.309015729078403 48.204273308708025),16,Kendlerstraﬂe 38a,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410663,
MISTPLATZOGD.410668,POINT (16.319727586029884 48.225028922294044),17,Richthausenstraﬂe 2-4,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410668,
MISTPLATZOGD.410704,POINT (16.41115153818559 48.25029041806052),21,Fultonstraﬂe 10,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410704,
MISTPLATZOGD.410709,POINT (16.430036801818595 48.29381214045114),21,Nikolsburger Gasse 12,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410709,
MISTPLATZOGD.410712,POINT (16.435760757441653 48.27404063331534),21,Felmayergasse / Egon-Friedell-Gasse,Mistplatz,Mo-Sa 7:00-18:00 Uhr,410712,
MISTPLATZOGD.410714,POINT (16.44807004337757 48.21290449096208),22,M¸hlwasserstraﬂe 2,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410714,
MISTPLATZOGD.410716,POINT (16.4995772866508 48.251281769802794),22,Breitenleer Straﬂe 268,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410716,
MISTPLATZOGD.410721,POINT (16.467050182493214 48.26514924344116),22,Percostraﬂe 4 ,WD/Mistplatz,"Mo-Sa 7:00-18:00 Uhr, So/FT 7:00 - 18 Uhr",410721,
MISTPLATZOGD.410737,POINT (16.29244496531497 48.13769314809357),23,Seybelgasse 7,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410737,
MISTPLATZOGD.410739,POINT (16.36638545226603 48.142785696034835),23,S¸drandstraﬂe 2,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410739,
MISTPLATZOGD.410582,POINT (16.36781410799229 48.25479849185693),19,Grinzinger Straﬂe 151,WD/Mistplatz,Mo-Sa 07:00-18:00,410582,
MISTPLATZOGD.410583,POINT (16.455410838324397 48.17715192147575),11,Johann-Petrak-Gasse 1-3,Mistplatz,Mo-Sa 7:00-18:00 Uhr,410583,
MISTPLATZOGD.410596,POINT (16.387824058774147 48.22991651941422),2,Dresdnerstraﬂe 119,WD/Mistplatz,Mo-Sa 7:00-18:00 Uhr,410596,
MISTPLATZOGD.410603,POINT (16.400602450431293 48.18602598343069),3,Grasbergergasse 1-3,Mistplatz,Mo-Sa 7:00-18:00 Uhr,410603,
MISTPLATZOGD.410616,POINT (16.34290636723057 48.24124255268707),19,Leidesdorfergasse bei ONr. 1,Mistplatz,Mo-Sa 7:00-18:00 Uhr,410616,
