FID,SHAPE,BEZIRK,ADRESSE,WEITERE_INFORMATION,TERMINE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,STANDORT_ID
MOBPROBLEMSTOFFOGD.227880,POINT (16.321660197078927 48.181642445371466),12,Bischoffgasse vor 16,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227880,,12M2
MOBPROBLEMSTOFFOGD.227881,POINT (16.46959127708081 48.155235855376354),11,Hoefftgasse neben 7,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227881,,11M3
MOBPROBLEMSTOFFOGD.227882,POINT (16.385461464892618 48.152639524931395),10,Ada-Christen-Gasse vor 2B,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227882,,10M4
MOBPROBLEMSTOFFOGD.227883,POINT (16.392987054149657 48.139690748075374),10,Grundäckergasse ggü 55,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227883,,10M3
MOBPROBLEMSTOFFOGD.227884,POINT (16.35156032480324 48.20469553922908),7,Kirchengasse ggü 41,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227884,,7M4
MOBPROBLEMSTOFFOGD.227885,POINT (16.339289195900374 48.207144875553304),7,Bernardgasse vor 35,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227885,,7M3
MOBPROBLEMSTOFFOGD.227886,POINT (16.352824022645173 48.19365156291058),6,Mollardgasse ggü 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227886,,6M4
MOBPROBLEMSTOFFOGD.227887,POINT (16.342359432705216 48.21224202555635),8,Bennoplatz vor 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227887,,8M4
MOBPROBLEMSTOFFOGD.227888,POINT (16.372885759476084 48.18669895901276),4,Südtiroler Platz vor 3,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227888,,4M4
MOBPROBLEMSTOFFOGD.227889,POINT (16.37588245727446 48.19011722523998),4,St.-Elisabeth-Platz vor 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227889,,4M3
MOBPROBLEMSTOFFOGD.227890,POINT (16.349835741813504 48.18168242833926),5,Siebenbrunnenfeldgasse ggü 13,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227890,,5M2
MOBPROBLEMSTOFFOGD.227891,POINT (16.364736996266494 48.218933932784154),9,Berggasse vor 26-28,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227891,,9M2
MOBPROBLEMSTOFFOGD.227892,POINT (16.375400674738838 48.17652927813901),10,Pernerstorfergasse vor 30 (Viktor-Adler-Markt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227892,,10M5
MOBPROBLEMSTOFFOGD.227816,POINT (16.353704968061457 48.22187237169078),9,Währinger Straße ggü 48-52 ,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227816,,9M4
MOBPROBLEMSTOFFOGD.227817,POINT (16.362077811111206 48.22566106767954),9,Julius-Tandler-Platz vor 7,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227817,,9M1
MOBPROBLEMSTOFFOGD.227818,POINT (16.36030331756798 48.19966521014738),6,Gumpendorfer Straße vor 18,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227818,,6M3
MOBPROBLEMSTOFFOGD.227819,POINT (16.35135413080633 48.19807509050419),6,Schadekgasse ggü 18,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227819,,6M1
MOBPROBLEMSTOFFOGD.227820,POINT (16.357661862332986 48.19171504245519),5,Pilgramgasse vor 4,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227820,,5M4
MOBPROBLEMSTOFFOGD.227821,POINT (16.359603388462425 48.187279614581875),5,Zentagasse vor 11-13,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227821,,5M3
MOBPROBLEMSTOFFOGD.227822,POINT (16.34734264758313 48.18754945760819),5,Am Hundsturm ggü 2-4,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227822,,5M1
MOBPROBLEMSTOFFOGD.227823,POINT (16.38212869148628 48.19930554360243),3,Am Modenapark ggü 10,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227823,,3M3
MOBPROBLEMSTOFFOGD.227824,POINT (16.40186290125078 48.19760570325039),3,Kardinal-Nagl-Platz ggü 14,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227824,,3M1
MOBPROBLEMSTOFFOGD.227825,POINT (16.386566382365135 48.21635181641474),2,Rotensterngasse vor 37,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227825,,2M1
MOBPROBLEMSTOFFOGD.227777,POINT (16.391868975827606 48.20265981531225),3,Erdbergstraße vor 3 (Rochusmarkt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227777,,3M4
MOBPROBLEMSTOFFOGD.227778,POINT (16.411942163558393 48.277058448185045),21,Berzeliusplatz vor 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227778,,21M4
