FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.327344,POINT (16.32515322916597 48.19090850760946),Mariahilfer Straﬂe,103,15,327344,
MOTORRADABSTELLPLATZOGD.327345,POINT (16.323396990082994 48.190532234575066),Mariahilfer Straﬂe,13,15,327345,
MOTORRADABSTELLPLATZOGD.327346,POINT (16.32765954722596 48.16616884965853),Graffitistraﬂe,7,12,327346,
MOTORRADABSTELLPLATZOGD.327347,POINT (16.38028908877095 48.14997666617926),Stockholmer Platz,3,10,327347,
MOTORRADABSTELLPLATZOGD.327348,POINT (16.312364890063407 48.1662907204425),Hetzendorfer Straﬂe,4,12,327348,
MOTORRADABSTELLPLATZOGD.327349,POINT (16.348984788723005 48.18986810045986),Mollardgasse,7,6,327349,
MOTORRADABSTELLPLATZOGD.327350,POINT (16.350275576876456 48.190161497927235),Molladgasse,7,6,327350,
MOTORRADABSTELLPLATZOGD.327351,POINT (16.34818658527873 48.19247322544327),Webgasse,6,6,327351,
MOTORRADABSTELLPLATZOGD.327352,POINT (16.349488586552354 48.19519194881407),Otto-Bauer-Gasse,7,6,327352,
MOTORRADABSTELLPLATZOGD.327353,POINT (16.354719313198697 48.20417512881763),Burggasse,3,7,327353,
MOTORRADABSTELLPLATZOGD.327354,POINT (16.37009854590726 48.21719756597869),Schottenring,6,1,327354,
MOTORRADABSTELLPLATZOGD.327355,POINT (16.47696217024081 48.217552072732914),Trondheimgasse,3,22,327355,
MOTORRADABSTELLPLATZOGD.327356,POINT (16.476133777085558 48.21622793393749),Trondheimgasse,2,22,327356,
MOTORRADABSTELLPLATZOGD.327357,POINT (16.36972085968486 48.18683988723861),Schˆnburgstraﬂe,4,4,327357,
MOTORRADABSTELLPLATZOGD.327358,POINT (16.35932513591125 48.171948785469404),Malborghetgasse,8,10,327358,
MOTORRADABSTELLPLATZOGD.327359,POINT (16.340078729735104 48.19190894849466),Strohmayergasse,10,6,327359,
MOTORRADABSTELLPLATZOGD.327360,POINT (16.34607491565239 48.15496665278659),Otto-Probst-Straﬂe,6,10,327360,
MOTORRADABSTELLPLATZOGD.327361,POINT (16.34601527042514 48.23039693252939),Edelhofgasse,7,18,327361,
MOTORRADABSTELLPLATZOGD.327362,POINT (16.367873569889696 48.21145785194675),Am Hof,17,1,327362,
MOTORRADABSTELLPLATZOGD.327363,POINT (16.389964926406616 48.20542267463249),Uchatiusgasse,5,3,327363,
MOTORRADABSTELLPLATZOGD.327364,POINT (16.387043316893134 48.168375341900656),Absberggasse,5,10,327364,
MOTORRADABSTELLPLATZOGD.327365,POINT (16.31564904904347 48.19472313874019),Goldschlagstraﬂe,5,15,327365,
MOTORRADABSTELLPLATZOGD.327366,POINT (16.319627332129137 48.19741212018937),Eduard-Sueﬂ-Gasse,3,15,327366,
MOTORRADABSTELLPLATZOGD.327367,POINT (16.31164108802216 48.19565207613648),Goldschlagstraﬂe,7,14,327367,
MOTORRADABSTELLPLATZOGD.327368,POINT (16.413623363091624 48.18395150989702),Modecenterstraﬂe,7,3,327368,
MOTORRADABSTELLPLATZOGD.327369,POINT (16.35722898879516 48.22712276350748),Lichtentaler Gasse,5,9,327369,
MOTORRADABSTELLPLATZOGD.327370,POINT (16.343005609755835 48.18945219168664),Hornbostelgasse,5,6,327370,
MOTORRADABSTELLPLATZOGD.327371,POINT (16.343073653139097 48.2250099763489),Schulgasse,7,18,327371,
MOTORRADABSTELLPLATZOGD.327372,POINT (16.390851263250337 48.14225147413983),Kurt-Tichy-Gasse,6,10,327372,
MOTORRADABSTELLPLATZOGD.327373,POINT (16.40235811431874 48.22660894494678),Wehlistraﬂe,2,2,327373,
MOTORRADABSTELLPLATZOGD.327374,POINT (16.373425594820606 48.19455295698073),Argentinierstraﬂe,9,4,327374,
MOTORRADABSTELLPLATZOGD.327375,POINT (16.441486154819387 48.25209053510785),Anton-Sattler-Gasse,4,22,327375,
MOTORRADABSTELLPLATZOGD.327376,POINT (16.383003597696604 48.17412082010887),Buchengasse,5,10,327376,
MOTORRADABSTELLPLATZOGD.327377,POINT (16.356529989606834 48.1902714590786),Br‰uhausgasse,4,5,327377,
MOTORRADABSTELLPLATZOGD.327378,POINT (16.35757424335731 48.21195660415964),Ebendorferstraﬂe,9,1,327378,
MOTORRADABSTELLPLATZOGD.327379,POINT (16.356565293317548 48.190220039529436),Br‰uhausgasse,5,5,327379,
MOTORRADABSTELLPLATZOGD.327380,POINT (16.33884085025492 48.2072677269306),Bernardgasse,4,7,327380,
MOTORRADABSTELLPLATZOGD.327381,POINT (16.33233306137272 48.22553117407163),Lacknergasse,7,18,327381,
MOTORRADABSTELLPLATZOGD.327382,POINT (16.431533787778438 48.24161150951351),Donizettiweg,10,22,327382,
MOTORRADABSTELLPLATZOGD.327383,POINT (16.345611432971562 48.214210999410795),Feldgasse,4,8,327383,
MOTORRADABSTELLPLATZOGD.327384,POINT (16.348538824378757 48.19433816342408),Liniengasse,8,6,327384,
MOTORRADABSTELLPLATZOGD.327385,POINT (16.332436423697523 48.17969747493106),Hilschergasse,7,12,327385,
MOTORRADABSTELLPLATZOGD.327386,POINT (16.34050951330057 48.22684496491969),W‰hringer Straﬂe,4,18,327386,
MOTORRADABSTELLPLATZOGD.327387,POINT (16.418282298724098 48.18571244994517),Guglgasse,,3,327387,
MOTORRADABSTELLPLATZOGD.327388,POINT (16.46039088279575 48.1521121553062),Rosa-Jochmann-Ring,2,11,327388,
MOTORRADABSTELLPLATZOGD.327389,POINT (16.398801974046044 48.19542563125364),Rabengasse,8,3,327389,
MOTORRADABSTELLPLATZOGD.327390,POINT (16.367598113810462 48.18501218820511),Blechturmgasse,6,5,327390,
MOTORRADABSTELLPLATZOGD.327391,POINT (16.457442446811264 48.25339903438693),Markomannenstraﬂe,7,22,327391,
MOTORRADABSTELLPLATZOGD.327392,POINT (16.354455491352432 48.19728077429387),Luftbadgasse,7,6,327392,
MOTORRADABSTELLPLATZOGD.327713,POINT (16.39072625674749 48.26452447174685),Voltagasse,4,21,327713,
MOTORRADABSTELLPLATZOGD.327714,POINT (16.389020973199717 48.26304566469835),Edisonstraﬂe,7,21,327714,
MOTORRADABSTELLPLATZOGD.327715,POINT (16.348400756689156 48.207928378491076),Pfeilgasse,5,8,327715,
MOTORRADABSTELLPLATZOGD.327716,POINT (16.328768985009493 48.177016545101374),Ratschkygasse,7,12,327716,
MOTORRADABSTELLPLATZOGD.327717,POINT (16.32382130568132 48.19044603206924),Mariahilfer Straﬂe,42,15,327717,
MOTORRADABSTELLPLATZOGD.327718,POINT (16.32381419186862 48.190729537596525),Kauergasse,13,15,327718,
MOTORRADABSTELLPLATZOGD.327719,POINT (16.35189909261141 48.23341226088781),Werkmanngasse,8,19,327719,
MOTORRADABSTELLPLATZOGD.327720,POINT (16.320777609088378 48.21629330845158),Wichtelgasse,8,16,327720,
