FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,ZUSATZ,SE_ANNO_CAD_DATA
MULTIMEDIAOGD.1,1,POINT (16.380691151963873 48.212804024067694),"2., Praterstraﬂe 8",2,W6 Ferdinandstraﬂe,
MULTIMEDIAOGD.2,2,POINT (16.318061426218513 48.19029417023689),"14., Mariahilfer Straﬂe 212",14,Technisches Museum/Ebene 4 Multimediastation,
MULTIMEDIAOGD.3,3,POINT (16.353471298234915 48.22260399419681),"9., Nuﬂdorfer Straﬂe 3-5",9,Fluchtgasse,
MULTIMEDIAOGD.4,4,POINT (16.379141144818107 48.202114075388835),"3., Johannesgasse gegen¸ber von 28",3,Stadtpark,
MULTIMEDIAOGD.5,5,POINT (16.358891214525254 48.18117418836018),"5., Matzleinsdorfer Platz ",5,G¸rtel innen,
MULTIMEDIAOGD.6,6,POINT (16.3896510772344 48.19109412176906),"3., Kleistgasse 12",3,W7 Kˆlblgasse,
MULTIMEDIAOGD.7,7,POINT (16.391341094412958 48.20920403401731),"3., Kolonitzplatz 1",3,W7,
MULTIMEDIAOGD.8,8,POINT (16.404221010419597 48.19359410060269),"3., Baumgasse 73",3,Kleingasse,
MULTIMEDIAOGD.9,9,POINT (16.366071191343252 48.18961414378587),"4., Wiedner Hauptstraﬂe 67",4,Johann Strauﬂ Gasse,
MULTIMEDIAOGD.10,10,POINT (16.357711242552405 48.197044113171096),"6., Linke Wienzeile 48-52",6,Joanelligasse,
MULTIMEDIAOGD.11,11,POINT (16.358451243553095 48.20096409455665),"7., Mariahilfer Straﬂe 20",7,,
MULTIMEDIAOGD.12,12,POINT (16.44309089853879 48.250463805802966),"22., Donaufelderstraﬂe 263",22,,
MULTIMEDIAOGD.13,13,POINT (16.36054119233809 48.17079423675462),"10., Troststraﬂe 84",10,,
MULTIMEDIAOGD.14,14,POINT (16.33185133448066 48.172744245114075),"12., Wurmbstraﬂe 50",12,Unter Meidlinger Straﬂe 103,
