FID,SHAPE,NAME,BEZIRK,ADRESSE,WEITERE_INF,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSEUMOGD.51667,POINT (16.356413434210367 48.21194420538316),Wiener Planungswerkstatt - Ausstellungszentrum der Stadtentwicklung,1,Friedrich-Schmidt-Platz 9,http://www.wien.gv.at/stadtentwicklung/dienststellen/ma18/wiener-planungswerkstatt.html,51667,
MUSEUMOGD.51668,POINT (16.378645726946196 48.20920419357047),Archiv der Universität Wien (Schausammlung),1,Postgasse 9,http://www.ub.univie.ac.at/archiv/,51668,
MUSEUMOGD.51669,POINT (16.359566608484666 48.202054524252674),Zoom Kindermuseum,7,Museumsplatz 1,http://www.kindermuseum.at,51669,
MUSEUMOGD.51670,POINT (16.341682136434397 48.21217087977642),Wiener Schuhmuseum,8,Florianigasse 66,http://www.schuhmuseum.at/index.html,51670,
MUSEUMOGD.51671,POINT (16.373982955977777 48.17977207644916),Österreichisches Privatmuseum für Schreib- und Rechenmaschinen,10,Laxenburger Straße 37,http://www.waldbauer.com/curta/startpage.php?,51671,
MUSEUMOGD.51672,POINT (16.332707166345454 48.15134353631632),Schokolademuseum,23,Willendorfer Gasse 2,http://www.heindl.co.at/de/ueber-heindl/schokomuseum,51672,
MUSEUMOGD.51673,POINT (16.337578526944604 48.199324518389616),Billardmuseum Weingartner,15,Goldschlagstraße 1,http://www.wiener-kaffeehaus.at/museen-1.aspx,51673,
MUSEUMOGD.51674,POINT (16.308298160882615 48.166134857767666),Modemuseum Hetzendorf,12,Hetzendorfer Straße 79,http://www.wienmuseum.at/de/standorte/ansicht/modesammlung.html,51674,
MUSEUMOGD.51675,POINT (16.357985285186157 48.21130657017448),Wienbibliothek im Rathaus,1,Felderstraße 1,http://www.wien.gv.at/kultur/wienbibliothek/index.html,51675,
MUSEUMOGD.51676,POINT (16.408333897429443 48.196569313485085),Verkehrsmuseum (der Wiener Linien) 'Remise',3,Erdbergstraße 107-109,http://www.wienerlinien.at/museum/,51676,
MUSEUMOGD.51677,POINT (16.319161767640555 48.224179424833125),Rettungsmuseum,17,Gilmgasse 18,http://www.wien.gv.at/rettung/museum/,51677,
MUSEUMOGD.51678,POINT (16.421377564300155 48.18477081975614),Wiener Stadt- und Landesarchiv,11,Guglgasse 14,http://www.wien.gv.at/kultur/archiv/index.html,51678,
