FID,SHAPE,NAME,ADRESSE,OEFFNUNGSZEITEN1,OEFFNUNGSZEITEN2,OEFFNUNGSZEITEN3,OEFFNUNGSZEITEN4,OEFFNUNGSZEITEN5,OEFFNUNGSZEITEN6,TELEFON,EMAIL,WEBLINK1,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSIKSINGSCHULEOGD.159187,POINT (16.374901064410157 48.1903542145748),Singschule,"4., St.-Elisabeth-Platz 8",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,4,159187,
MUSIKSINGSCHULEOGD.159188,POINT (16.343325524852155 48.19138724610081),Singschule,"6., Sonnenuhrgasse 3-5",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,6,159188,
MUSIKSINGSCHULEOGD.159189,POINT (16.353998189062498 48.203830087957904),Musikschule Alsergrund,"7., Stiftgasse 35/II",,,,,,,01 4000-09165,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,7,159189,
MUSIKSINGSCHULEOGD.159190,POINT (16.350242630541395 48.21018461123257),Singschule,"8., Piaristengasse 43",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,8,159190,
MUSIKSINGSCHULEOGD.159191,POINT (16.354036102263205 48.22590585354552),Singschule,"9., Galileigasse 5",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,9,159191,
MUSIKSINGSCHULEOGD.159192,POINT (16.362173524351725 48.22124915074247),Singschule,"9., Gr¸nentorgasse 9",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,9,159192,
MUSIKSINGSCHULEOGD.159193,POINT (16.357400992524568 48.22758604783697),Singschule,"9., Marktgasse 31",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,9,159193,
MUSIKSINGSCHULEOGD.159194,POINT (16.374870178169225 48.17888916923688),Singschule,"10., Keplerplatz 7",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,10,159194,
MUSIKSINGSCHULEOGD.159195,POINT (16.353623378684542 48.18655779459142),Musikschule Margareten,"5., Arbeitergasse 13/13",,,,,,,01 4000-05165,post-ms05@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,5,159195,
MUSIKSINGSCHULEOGD.159196,POINT (16.321667215021193 48.182369132461616),Singschule,"12., Bischoffgasse 10",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,12,159196,
