FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.1,1,"LINESTRING (16.31670417833581 48.2218045400587, 16.316616147554285 48.221835829488214)",Stöberplatz,7.408926,
OEFFGRUENLINGOGD.2,2,"LINESTRING (16.317397401597585 48.22156114603211, 16.317479910022303 48.22153260431898)",Stöberplatz,6.903624,
OEFFGRUENLINGOGD.3,3,"LINESTRING (16.317002252393763 48.221141756435706, 16.316969418832873 48.22110007580294)",Stöberplatz,5.23764,
OEFFGRUENLINGOGD.4,4,"LINESTRING (16.316440782065087 48.22134007805864, 16.31640744979103 48.221297764063515)",Stöberplatz,5.317218,
OEFFGRUENLINGOGD.5,5,"LINESTRING (16.31224098103693 48.222612876845524, 16.312283732483387 48.22269073403366)",Kongreßpark,9.221779,
OEFFGRUENLINGOGD.6,6,"LINESTRING (16.31163464075956 48.22271953080141, 16.31166421324823 48.22279992958245)",Kongreßpark,9.206083,
OEFFGRUENLINGOGD.7,7,"LINESTRING (16.29432424449342 48.21517066228622, 16.294360571840556 48.21512799749361)",Katharinenru*,5.458486,
OEFFGRUENLINGOGD.8,8,"LINESTRING (16.361541595111976 48.2598007242715, 16.361463708046763 48.259769182039584)",Pfarrer-Mits*,6.763631,
OEFFGRUENLINGOGD.9,9,"LINESTRING (16.361803118162456 48.259635605811624, 16.361747241275037 48.25959515207671)",Pfarrer-Mits*,6.119496,
OEFFGRUENLINGOGD.10,10,"LINESTRING (16.312592522904836 48.21564608021008, 16.312407007435226 48.21566921939453)",Mildeplatz,14.024532,
OEFFGRUENLINGOGD.11,11,"LINESTRING (16.31953915696947 48.210396774947085, 16.319511240036153 48.21031928484969)",Schuhmeierpl*,8.862836,
OEFFGRUENLINGOGD.12,12,"LINESTRING (16.319047767643948 48.21029074574901, 16.318978228999594 48.2103016504586)",Schuhmeierpl*,5.308605,
OEFFGRUENLINGOGD.13,13,"LINESTRING (16.33377847956626 48.20577576798699, 16.333768971761128 48.205898005809786)",Ludo-Hartman*,13.610638,
OEFFGRUENLINGOGD.14,14,"LINESTRING (16.301969845102885 48.223306215501694, 16.30203400576963 48.22324208453836)",Park Spinoza*,8.577887,
