FID,OBJECTID,SHAPE,TEXT13ID,P_TYP,T_TEXT,T_LANG,O,P,SE_ANNO_CAD_DATA
OEFFGRUENPKTGOGD.1,1,POINT (16.31670417833581 48.2218045400587),Stöberplatz,Z,Stöberplatz,Stöberplatz,1,0,
OEFFGRUENPKTGOGD.2,2,POINT (16.317397401597585 48.22156114603211),Stöberplatz,Z,Stöberplatz,Stöberplatz,1,0,
OEFFGRUENPKTGOGD.3,3,POINT (16.317002252393763 48.221141756435706),Stöberplatz,Z,Stöberplatz,Stöberplatz,1,0,
OEFFGRUENPKTGOGD.4,4,POINT (16.316440782065087 48.22134007805864),Stöberplatz,Z,Stöberplatz,Stöberplatz,1,0,
OEFFGRUENPKTGOGD.5,5,POINT (16.318415114391797 48.214190407668006),Familienplatz,Z,Familienplatz,Familienplatz,1,0,
OEFFGRUENPKTGOGD.6,6,POINT (16.31819015885704 48.21481079176614),Familienplatz,Z,Familienplatz,Familienplatz,1,0,
OEFFGRUENPKTGOGD.7,7,POINT (16.31807990305107 48.21448932552019),Familienplatz,Z,Familienplatz,Familienplatz,1,0,
OEFFGRUENPKTGOGD.8,8,POINT (16.318942373451662 48.21476754560895),Familienplatz,Z,Familienplatz,Familienplatz,1,0,
OEFFGRUENPKTGOGD.9,9,POINT (16.318639487955423 48.214992706118586),Familienplatz,Z,Familienplatz,Familienplatz,1,0,
OEFFGRUENPKTGOGD.10,10,POINT (16.31875584198644 48.21419747589853),Familienplatz,Z,Familienplatz,Familienplatz,1,0,
OEFFGRUENPKTGOGD.11,11,POINT (16.309391971032486 48.22278302796309),Kongreßpark,Z,Kongreßpark,Kongreßpark,1,0,
OEFFGRUENPKTGOGD.12,12,POINT (16.31224098103693 48.222612876845524),Kongreßpark,Z,Kongreßpark,Kongreßpark,1,0,
OEFFGRUENPKTGOGD.13,13,POINT (16.31163464075956 48.22271953080141),Kongreßpark,Z,Kongreßpark,Kongreßpark,1,0,
OEFFGRUENPKTGOGD.14,14,POINT (16.30734515550388 48.22088044132297),Kongreßpark,Z,Kongreßpark,Kongreßpark,1,0,
OEFFGRUENPKTGOGD.15,15,POINT (16.307083981096035 48.222089099209064),Kongreßpark,Z,Kongreßpark,Kongreßpark,1,0,
OEFFGRUENPKTGOGD.16,16,POINT (16.30993447514091 48.2207240300188),Kongreßpark,Z,Kongreßpark,Kongreßpark,1,0,
OEFFGRUENPKTGOGD.17,17,POINT (16.30796615640925 48.222704097348824),Kongreßpark,Z,Kongreßpark,Kongreßpark,1,0,
OEFFGRUENPKTGOGD.18,18,POINT (16.30756883165197 48.2164361892709),Musilplatz,Z,Musilplatz,Musilplatz,1,0,
OEFFGRUENPKTGOGD.19,19,POINT (16.307260425582296 48.21531517646269),Musilplatz,Z,Musilplatz,Musilplatz,1,0,
OEFFGRUENPKTGOGD.20,20,POINT (16.29432424449342 48.21517066228622),Katharinenru*,Z,Katharinenruhe,Katharinenruhe,1,0,
OEFFGRUENPKTGOGD.21,21,POINT (16.361541595111976 48.2598007242715),Pfarrer-Mits*,Z,Pfarrer-Mitschke-Park,Pfarrer-Mitschke-Park,1,0,
OEFFGRUENPKTGOGD.22,22,POINT (16.361803118162456 48.259635605811624),Pfarrer-Mits*,Z,Pfarrer-Mitschke-Park,Pfarrer-Mitschke-Park,1,0,
OEFFGRUENPKTGOGD.23,23,POINT (16.312592522904836 48.21564608021008),Mildeplatz,Z,Mildeplatz,Mildeplatz,1,0,
OEFFGRUENPKTGOGD.24,24,POINT (16.312266753992503 48.21526716177998),Mildeplatz,Z,Mildeplatz,Mildeplatz,1,0,
OEFFGRUENPKTGOGD.25,25,POINT (16.31268960161183 48.215203664094496),Mildeplatz,Z,Mildeplatz,Mildeplatz,1,0,
OEFFGRUENPKTGOGD.26,26,POINT (16.334878193459318 48.21325079102456),Yppenplatz,Z,Yppenplatz,Yppenplatz,1,0,
OEFFGRUENPKTGOGD.27,27,POINT (16.335679376087082 48.21366936456361),Yppenplatz,Z,Yppenplatz,Yppenplatz,1,0,
OEFFGRUENPKTGOGD.28,28,POINT (16.325589505942816 48.21284747829757),Johann-NepoB*,Z,Johann-Nepomuk-Berger-Pl*,Johann-Nepomuk-Berger-Platz,1,0,
OEFFGRUENPKTGOGD.29,29,POINT (16.32569581532874 48.21292349729346),Johann-NepoB*,Z,Johann-Nepomuk-Berger-Pl*,Johann-Nepomuk-Berger-Platz,1,0,
OEFFGRUENPKTGOGD.30,30,POINT (16.326094465559194 48.21243289662543),Johann-NepoB*,Z,Johann-Nepomuk-Berger-Pl*,Johann-Nepomuk-Berger-Platz,1,0,
OEFFGRUENPKTGOGD.31,31,POINT (16.30892395611184 48.21297522236157),Stillfriedpl*,Z,Stillfriedplatz,Stillfriedplatz,1,0,
OEFFGRUENPKTGOGD.32,32,POINT (16.30879295363124 48.21249586080436),Stillfriedpl*,Z,Stillfriedplatz,Stillfriedplatz,1,0,
OEFFGRUENPKTGOGD.33,33,POINT (16.309690588611925 48.21236221486884),Stillfriedpl*,Z,Stillfriedplatz,Stillfriedplatz,1,0,
OEFFGRUENPKTGOGD.34,34,POINT (16.309858706611458 48.21282112980968),Stillfriedpl*,Z,Stillfriedplatz,Stillfriedplatz,1,0,
OEFFGRUENPKTGOGD.35,35,POINT (16.3082505029478 48.20956090159227),Park Wiesber*,Z,Park Wiesberggasse,Parkanlage Wiesberggasse,1,0,
OEFFGRUENPKTGOGD.36,36,POINT (16.308178921035136 48.20933292075621),Park Wiesber*,Z,Park Wiesberggasse,Parkanlage Wiesberggasse,1,0,
OEFFGRUENPKTGOGD.37,37,POINT (16.3187276916865 48.210548825432305),Schuhmeierpl*,Z,Schuhmeierplatz,Schuhmeierplatz,1,0,
OEFFGRUENPKTGOGD.38,38,POINT (16.31953915696947 48.210396774947085),Schuhmeierpl*,Z,Schuhmeierplatz,Schuhmeierplatz,1,0,
OEFFGRUENPKTGOGD.39,39,POINT (16.319047767643948 48.21029074574901),Schuhmeierpl*,Z,Schuhmeierplatz,Schuhmeierplatz,1,0,
OEFFGRUENPKTGOGD.40,40,POINT (16.327141567027798 48.21007456447009),Richard-Wagn*,Z,Richard-Wagner-Park,Richard-Wagner-Park,1,0,
OEFFGRUENPKTGOGD.41,41,POINT (16.32790442333287 48.2099858503348),Richard-Wagn*,Z,Richard-Wagner-Park,Richard-Wagner-Park,1,0,
OEFFGRUENPKTGOGD.42,42,POINT (16.32729474490383 48.20950046276362),Richard-Wagn*,Z,Richard-Wagner-Park,Richard-Wagner-Park,1,0,
OEFFGRUENPKTGOGD.43,43,POINT (16.33377847956626 48.20577576798699),Ludo-Hartman*,Z,Ludo-Hartmann-Park,Ludo-Hartmann-Park,1,0,
OEFFGRUENPKTGOGD.44,44,POINT (16.334504411046016 48.20594851566758),Ludo-Hartman*,Z,Ludo-Hartmann-Park,Ludo-Hartmann-Park,1,0,
OEFFGRUENPKTGOGD.45,45,POINT (16.301969845102885 48.223306215501694),Park Spinoza*,Z,Park Spinozagasse,Parkanlage Spinozagasse,1,0,
OEFFGRUENPKTGOGD.46,46,POINT (16.30462942927715 48.21381237676733),Karl-Kantner*,Z,Karl-Kantner-Park,Karl-Kantner-Park,1,0,
OEFFGRUENPKTGOGD.47,47,POINT (16.303986270907686 48.21388364721814),Karl-Kantner*,Z,Karl-Kantner-Park,Karl-Kantner-Park,1,0,
OEFFGRUENPKTGOGD.48,48,POINT (16.305567901127123 48.21437757304428),Karl-Kantner*,Z,Karl-Kantner-Park,Karl-Kantner-Park,1,0,
OEFFGRUENPKTGOGD.49,49,POINT (16.306314569408848 48.21447611067474),Karl-Kantner*,Z,Karl-Kantner-Park,Karl-Kantner-Park,1,0,
OEFFGRUENPKTGOGD.50,50,POINT (16.287055211026768 48.20847616398478),Steinhofer P*,Z,Steinhofer /Park Demuthga,Parkanlage Demuthgasse,1,0,
OEFFGRUENPKTGOGD.51,51,POINT (16.363207679334025 48.24953881717353),HeiligenstäS*,Z,Heiligenstädter Straße,Heiligenstädter Straße,1,0,
OEFFGRUENPKTGOGD.52,52,POINT (16.355698251238856 48.25273091738674),HeiligenstäP*,Z,Heiligenstädter Park,Heiligenstädter Park,1,0,
OEFFGRUENPKTGOGD.53,53,POINT (16.35762763852995 48.25392487490594),HeiligenstäP*,Z,Heiligenstädter Park,Heiligenstädter Park,1,0,
OEFFGRUENPKTGOGD.54,54,POINT (16.356825055198136 48.25389767467841),HeiligenstäP*,Z,Heiligenstädter Park,Heiligenstädter Park,1,0,
OEFFGRUENPKTGOGD.55,55,POINT (16.357560083417535 48.25123816796136),HeiligenstäP*,Z,Heiligenstädter Park,Heiligenstädter Park,1,0,
OEFFGRUENPKTGOGD.56,56,POINT (16.35581530894794 48.253859571727034),HeiligenstäP*,Z,Heiligenstädter Park,Heiligenstädter Park,1,0,
OEFFGRUENPKTGOGD.57,57,POINT (16.357957511924955 48.252831093449004),HeiligenstäP*,Z,Heiligenstädter Park,Heiligenstädter Park,1,0,
OEFFGRUENPKTGOGD.58,58,POINT (16.330530273636246 48.242914523686785),Alfred-Auer-*,Z,Alfred-Auer-Park,Alfred-Auer-Park,1,0,
OEFFGRUENPKTGOGD.59,59,POINT (16.33090566648684 48.24389191806749),Alfred-Auer-*,Z,Alfred-Auer-Park,Alfred-Auer-Park,1,0,
OEFFGRUENPKTGOGD.60,60,POINT (16.334309764551488 48.21939702257246),Pezzlpark,Z,Pezzlpark,Pezzlpark,1,0,
OEFFGRUENPKTGOGD.61,61,POINT (16.33431096614014 48.2188454514088),Pezzlpark,Z,Pezzlpark,Pezzlpark,1,0,
OEFFGRUENPKTGOGD.62,62,POINT (16.335103674605374 48.219229027042665),Pezzlpark,Z,Pezzlpark,Pezzlpark,1,0,
OEFFGRUENPKTGOGD.63,63,POINT (16.346153823707485 48.22377473992176),Vilma-Degisc*,Z,Vilma-Degischer-Park,Vilma-Degischer-Park,1,0,
OEFFGRUENPKTGOGD.64,64,POINT (16.346306642506214 48.2236640539572),Vilma-Degisc*,Z,Vilma-Degischer-Park,Vilma-Degischer-Park,1,0,
OEFFGRUENPKTGOGD.65,65,POINT (16.345898294699527 48.22356368380322),Vilma-Degisc*,Z,Vilma-Degischer-Park,Vilma-Degischer-Park,1,0,
OEFFGRUENPKTGOGD.66,66,POINT (16.30677274625316 48.20134582723443),Ordeltpark,Z,Ordeltpark,Ordeltpark,1,0,
OEFFGRUENPKTGOGD.67,67,POINT (16.307270883777942 48.20145018136953),Ordeltpark,Z,Ordeltpark,Ordeltpark,1,0,
OEFFGRUENPKTGOGD.68,68,POINT (16.30745088050721 48.200800915389614),Ordeltpark,Z,Ordeltpark,Ordeltpark,1,0,
