FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.42321,42321,"LINESTRING (16.345025344561478 48.1902056801868, 16.34535523470104 48.19026276081765)","6, Dominikanergasse 9 bis 11",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42322,42322,"LINESTRING (16.344698776169196 48.1897925843258, 16.34469132749932 48.1899267860001)","6, Morizgasse 4",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42323,42323,"LINESTRING (16.34504854115753 48.18956769810548, 16.345380193230092 48.18955482262988, 16.345649218411566 48.18955527712613)","6, Mollardgasse 77",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,14,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42324,42324,"LINESTRING (16.346242071409485 48.189586634878594, 16.346324128098416 48.18959315102299, 16.34644704795825 48.18960898263114)","6, Mollardgasse 69 bis 71",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42325,42325,"LINESTRING (16.347924222623753 48.189822392244764, 16.348352320067708 48.18984197715809)","6, Mollardgasse 40 bis 42",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42326,42326,"LINESTRING (16.349776226339955 48.205766607583655, 16.349737120532826 48.205611918290934)","7, Döblergasse 1",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42327,42327,"LINESTRING (16.340589650983894 48.195071828290565, 16.340470085442178 48.19522602244383)","6, Bürgerspitalgasse 29",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42328,42328,"LINESTRING (16.359759300832387 48.198902244836525, 16.35953554341302 48.19914963387858)","6, Laimgrubengasse 14 bis 18",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42329,42329,"LINESTRING (16.34586201687015 48.189558591147524, 16.346144567874486 48.189579505122275)","6, Mollardgasse 71 bis 73",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42330,42330,"LINESTRING (16.346919607313946 48.189629398474814, 16.346930956032494 48.18944998630714)","6, Fallgasse 1",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42331,42331,"LINESTRING (16.34053679179712 48.19447019440221, 16.34072790853218 48.1945408564662)","6, Matrosengasse 9",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42332,42332,"LINESTRING (16.35288762588408 48.21197004545401, 16.352939633100526 48.21179276893084)","8, Buchfeldgasse 18A",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42333,42333,"LINESTRING (16.352037179175376 48.20966011187417, 16.351983835390637 48.20983667328295)","8, Lange Gasse 35 bis 35A",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42334,42334,"LINESTRING (16.352026892102327 48.2104087961775, 16.352490971218792 48.21047001248787)","8, Schmidgasse 13 bis 15",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42335,42335,"LINESTRING (16.35406594021875 48.21082401309027, 16.35404200555747 48.21109348938955)","8, Lenaugasse 14 bis 16",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42336,42336,"LINESTRING (16.35049647886595 48.21060543316345, 16.35076703637816 48.210603019033044)","8, Maria-Treu-Gasse 6 bis 8",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42337,42337,"LINESTRING (16.35022825277174 48.211145378427716, 16.35010167541349 48.21172407647847)","8, Piaristengasse 56-58 bis 62",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42338,42338,"LINESTRING (16.353136056217572 48.21109739459945, 16.353258386790575 48.21070048403269)","8, Buchfeldgasse 10 bis 12",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42339,42339,"LINESTRING (16.354015106763715 48.213477711283204, 16.35407134908796 48.21324464675686)","8, Wickenburggasse 16 bis 18-22",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42340,42340,"LINESTRING (16.35390558870734 48.213550289724566, 16.353878020686707 48.213684504677296, 16.353827478288803 48.21404206288253)","8, Wickenburggasse 15 bis 19",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42341,42341,"LINESTRING (16.353027932268787 48.21474503684686, 16.35305276313485 48.21447377565439)","8, Schlösselgasse 21",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42342,42342,"LINESTRING (16.352396433513498 48.21335106930578, 16.352565542629417 48.213359372813976)","8, Laudongasse 5",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42343,42343,"LINESTRING (16.35153684709859 48.21341347048922, 16.351416690819804 48.21340813230253)","8, Laudongasse 12",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
