FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STRASSE,TYP,BEZEICHNUNG,WEBLINK1,SE_ANNO_CAD_DATA
PARKENVERKAUFOGD.676489,676489,POINT (16.330431144203935 48.189863816147586),"15., Reindorfgasse 32",15,Reindorfgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676490,676490,POINT (16.361750652466437 48.165711214826224),"10., Raxstraﬂe 13/2",10,Raxstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676491,676491,POINT (16.40367021456549 48.13737215531905),"10., Ober-Laaer Platz 4",10,Ober-Laaer Platz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676492,676492,POINT (16.40180247515967 48.21790964162062),"2., Ausstellungsstraﬂe ",2,Ausstellungsstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676493,676493,POINT (16.408539556170787 48.254701716496285),"21., Donaufelder Straﬂe 2",21,Donaufelder Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676494,676494,POINT (16.379727061144305 48.21947110741325),"2., Obere Augartenstraﬂe 70",2,Obere Augartenstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676495,676495,POINT (16.372326448280887 48.220195381561396),"2., Untere Augartenstraﬂe 14",2,Untere Augartenstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676496,676496,POINT (16.323589919551008 48.16420308596397),"12., Oswaldgasse 67",12,Oswaldgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676497,676497,POINT (16.388709987217023 48.29555634331556),"21., Strebersdorfer Platz 6",21,Strebersdorfer Platz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676498,676498,POINT (16.376302646097535 48.219904028914264),"2., Leopoldsgasse 16",2,Leopoldsgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676499,676499,POINT (16.4106510807463 48.219306454446944),"2., Engerthstraﬂe 223",2,Engerthstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676500,676500,POINT (16.345216657302906 48.20191375198122),"7., Westbahnstraﬂe 22",7,Westbahnstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676501,676501,POINT (16.281849610966347 48.152677366010934),"23., Johann-Hˆrbiger-Gasse 24/12",23,Johann-Hˆrbiger-Gasse,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676502,676502,POINT (16.32447963317239 48.22006427556592),"17., Hernalser Hauptstraﬂe 113",17,Hernalser Hauptstraﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676503,676503,POINT (16.338096527912324 48.21190489154381),"16., Lerchenfelder G¸rtel 57",16,Lerchenfelder G¸rtel,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676504,676504,POINT (16.384065672389465 48.23325272680874),"20., Dresdner Straﬂe 87",20,Dresdner Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676505,676505,POINT (16.378501188017346 48.21664888289536),"2., Karmelitergasse 1",2,Karmelitergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676506,676506,POINT (16.31823345716719 48.210430267534896),"16., Hasnerstraﬂe 100",16,Hasnerstraﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676507,676507,POINT (16.319644273139637 48.21359976097576),"16., Ottakringer Straﬂe 144",16,Ottakringer Straﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676508,676508,POINT (16.29369208676076 48.19893064689868),"14., Heinrich-Collin-Str. 30",14,Heinrich-Collin-Str.,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676509,676509,POINT (16.330727572199702 48.218428519129205),"17., Elterleinplatz 8",17,Elterleinplatz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676510,676510,POINT (16.320209619155733 48.2072704446537),"16., Herbststraﬂe 77",16,Herbststraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676511,676511,POINT (16.336859124031385 48.20868175341765),"16., Thaliastraﬂe 7",16,Thaliastraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676512,676512,POINT (16.310596256986432 48.21294026341833),"16., Thaliastraﬂe 146",16,Thaliastraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676513,676513,POINT (16.299061568245254 48.17014315170121),"12., Hetzendorfer Straﬂe 153",12,Hetzendorfer Straﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676514,676514,POINT (16.37868884516226 48.211387630279475),"1., Schwedenplatz/U-Bahn ",1,Schwedenplatz/U-Bahn,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676515,676515,POINT (16.38539188551947 48.21663246261899),"2., Rotensterngasse 30",2,Rotensterngasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676516,676516,POINT (16.377510015376895 48.213530774214995),"2., Lilienbrunngasse 3",2,Lilienbrunngasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676517,676517,POINT (16.372828460051156 48.19620691130013),"4., Wohllebengasse 18",4,Wohllebengasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676518,676518,POINT (16.28429795465948 48.17538770227158),"13., Lainzer Straﬂe 153",13,Lainzer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676519,676519,POINT (16.434980244287683 48.24235775380426),"22., Wagramer Straﬂe 81",22,Wagramer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676520,676520,POINT (16.498939322484304 48.216034747883555),"22., Groﬂ-Enzersdorfer Straﬂe ",22,Groﬂ-Enzersdorfer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676521,676521,POINT (16.47436871813889 48.20175437964184),"22., Reiherweg 23",22,Reiherweg,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676522,676522,POINT (16.358487336700534 48.18828885248584),"5., Zentagasse 33",5,Zentagasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676523,676523,POINT (16.511227581505594 48.21484622060478),"22., Eﬂlinger Hauptstraﬂe 5",22,Eﬂlinger Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676524,676524,POINT (16.43902898122378 48.26907019218421),"21., Groﬂfeldstraﬂe 18",21,Groﬂfeldstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676525,676525,POINT (16.321716244698404 48.22161645298555),"17., Hernalser Hauptstraﬂe 136",17,Hernalser Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
