FID,SHAPE,BEZIRK,ADRESSE,OEFFNUNGSZEIT,ANMERKUNG,TELEFON,WEITERE_INFORMATION,SE_SDO_ROWID,SE_ANNO_CAD_DATA
PROBLEMSTOFFOGD.227826,POINT (16.29314264395281 48.13748190293734),23,Seybelgasse 7/An den Steinfeldern,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227826,
PROBLEMSTOFFOGD.227827,POINT (16.366914504080192 48.14244222684424),23,S¸drandstraﬂe 2,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227827,
PROBLEMSTOFFOGD.227828,POINT (16.447695643562742 48.21239308522007),22,M¸hlwasserstraﬂe 2,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227828,
PROBLEMSTOFFOGD.227808,POINT (16.401374201701262 48.221482518155305),2,Wohlmutstraﬂe/Ennsgasse (Vorgartenmarkt),"Montag bis Freitag von 16.00 bis 18.00 Uhr, Samstag von 09.00 bis 13.00 Uhr",Markt - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227808,
PROBLEMSTOFFOGD.227830,POINT (16.50003805163257 48.251022528338034),22,Breitenleer Straﬂe 268,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227830,
PROBLEMSTOFFOGD.227831,POINT (16.431682594002538 48.296339756518),21,Stammersdorfer Straﬂe bei 224,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227831,
PROBLEMSTOFFOGD.227832,POINT (16.436531637711365 48.27382497657393),21,Schererstraﬂe 2,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227832,
PROBLEMSTOFFOGD.227833,POINT (16.412098843656917 48.249983777839546),21,Fultonstraﬂe 10,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227833,
PROBLEMSTOFFOGD.227834,POINT (16.342829297751358 48.24110748950853),19,Leidersdorfgasse bei 1,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227834,
PROBLEMSTOFFOGD.227835,POINT (16.36780406056917 48.25478327020632),19,Grinzinger Straﬂe 151,Montag bis Samstag (werktags) von 07.00 bis 18.00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/prosa.html,227835,
