FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16054283,"LINESTRING (16.385843963475995 48.2724408827842, 16.38571945405412 48.27271027026866, 16.385553354642553 48.2731304084538, 16.38534745805067 48.273663003846664, 16.385340228326044 48.273681685561364, 16.385340053611124 48.27368211730385)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054283,
RADWEGEOGD.16054284,"LINESTRING (16.4051616027122 48.2404510928711, 16.406165802992632 48.24031905934855, 16.407559479447013 48.24013177352593, 16.407886704675263 48.24009316890156, 16.408138995558904 48.240092651279646, 16.40843279170639 48.24012052526685, 16.408685143954234 48.240163263351064, 16.408925415656316 48.24023100943236, 16.409143361053832 48.24031369779661, 16.40985652818001 48.240718022877715, 16.409890091717383 48.24072774987811, 16.40992975781067 48.24073080004787, 16.410032851976904 48.240718188349845)",Getrennte Führung,getrennter Geh- und Radweg,16054284,
RADWEGEOGD.16054285,"LINESTRING (16.52873792650573 48.21842664456936, 16.52845997863455 48.217724797708264)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054285,
RADWEGEOGD.16054286,"LINESTRING (16.38003953582031 48.219623062611646, 16.380017619321315 48.21950381270842, 16.37999638029968 48.21946845073212)",Markierte Anlagen,Radfahrerüberfahrt,16054286,
RADWEGEOGD.16054287,"LINESTRING (16.397074552197388 48.26812206659744, 16.397137107865394 48.268111232690785)",Getrennte Führung,baulicher Radweg,16054287,
RADWEGEOGD.16054288,"LINESTRING (16.358296637798446 48.181536820716076, 16.357995748650616 48.18178010014537, 16.35785066310009 48.18190472878984)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054288,
RADWEGEOGD.16054289,"LINESTRING (16.386005024518173 48.22046753821268, 16.38591158839502 48.2205228597128, 16.385801729343147 48.22061526703364, 16.384785381793215 48.2211531334092)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054289,
RADWEGEOGD.16054290,"LINESTRING (16.26225687242591 48.188296817836665, 16.26230593321968 48.18743559657127, 16.26228683210324 48.18741000762487, 16.26224543884494 48.18738013259005, 16.262237805623787 48.18737611671704, 16.262200835596765 48.187356658644205, 16.26216582639878 48.18732039350849, 16.262102451610502 48.18705174352852)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054290,
RADWEGEOGD.16054291,"LINESTRING (16.366947807477864 48.19991536647303, 16.367913187994414 48.19958469316612, 16.36798406458706 48.199558863044345, 16.36808305874238 48.199537431711555, 16.368130578998873 48.199527786754494, 16.36818895370579 48.19951594440548)",Getrennte Führung,Radfahren in Wohnstrassen,16054291,
RADWEGEOGD.16054292,"LINESTRING (16.37158512437286 48.19782428771747, 16.37173843911915 48.19785264972647, 16.371938363863915 48.197899981621966, 16.372161311072713 48.197975364703346, 16.37228743650036 48.19801684659186, 16.3724265085102 48.19806656201099, 16.372660769044025 48.19815938733585)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054292,
RADWEGEOGD.16054293,"LINESTRING (16.451224082257998 48.22225581198481, 16.450306584986343 48.22245189688243)",Markierte Anlagen,Radfahren gegen die Einbahn,16054293,
RADWEGEOGD.16054294,"LINESTRING (16.45395364297919 48.20534546308465, 16.454266087134137 48.205285760250845, 16.454581636964818 48.20522545981521, 16.454609904024483 48.2052200887177)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054294,
RADWEGEOGD.16054295,"LINESTRING (16.5296980810942 48.156112870833276, 16.5294599645003 48.15634170063254, 16.527837075833588 48.15829520223779, 16.526114918566538 48.160369156200005, 16.52479795813222 48.162019825941684, 16.524390427374403 48.16261821301599, 16.52388151144385 48.16350611318519, 16.52348917546043 48.16437749817125, 16.5233102671437 48.164913949345085, 16.523284216568477 48.16506226348502, 16.52322796992182 48.16519876469273, 16.523100629097904 48.16528912929813, 16.522921055796917 48.16538913850873, 16.51230708115482 48.17057362822334, 16.51215494139483 48.17065174285758, 16.512089039335198 48.17066444332815, 16.512027759244035 48.17064878099946, 16.5120040751789 48.17061100967271, 16.511850638289435 48.169814146521894, 16.51180328198098 48.16974175139602, 16.511741906253814 48.16969774236164, 16.511671235287743 48.16969154608998, 16.511586498965354 48.16970427504773, 16.51150656751509 48.16974220466514, 16.51032646699185 48.170361520727106, 16.510114878415248 48.17046895980071, 16.50964932160141 48.17068390977443, 16.509454112332012 48.170761384393025, 16.50924710141151 48.1708278597422, 16.5090540901796 48.170859662696934, 16.508922339775648 48.17089766848432, 16.50890420565856 48.17090646416241)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054295,
RADWEGEOGD.16054296,"LINESTRING (16.355841455044477 48.2205540640965, 16.35571394589593 48.22048818411427)",Markierte Anlagen,Radfahrerüberfahrt,16054296,
RADWEGEOGD.16054297,"LINESTRING (16.497618366079774 48.254620419867656, 16.49765492667987 48.25463289589069, 16.4976834977424 48.254661228988205, 16.49768831425201 48.25480078625246, 16.49769081559249 48.25504749064478, 16.49770358079675 48.25531197795579, 16.497724568160265 48.255425000790986, 16.497788241786925 48.255541165134005)",Markierte Anlagen,Mehrzweckstreifen,16054297,
