FID,OBJECTID,SHAPE,NAME,HAUPTKATEGORIE,UNTERKATEGORIE,TYP,WEBLINK1,WEBLINK2,SE_ANNO_CAD_DATA
RELIGIONOGD.223670,223670,POINT (16.363002703368647 48.21085531874268),Theologische Fakultäten Universität Wien,unbekannt,unbekannt,Ausbildung,,,
RELIGIONOGD.223588,223588,POINT (16.381828719005874 48.197221781479044),Christ Church Vienna,unbekannt,unbekannt,Kirche/Kapelle,http://www.christchurchvienna.org/,,
RELIGIONOGD.223453,223453,POINT (16.390597609956227 48.202232486569315),Oratorium des hl. Philipp Neri,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.oratorium.at,http://www.erzdioezese-wien.at/pages/inst/14428377,
RELIGIONOGD.223631,223631,POINT (16.346122248244956 48.19092748781996),Barmherzige Schwestern Gumpendorf Mutterhaus,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.barmherzigeschwestern-wien.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223630,223630,POINT (16.34284832564367 48.192111814490886),Malteser Haus Malta,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223629,223629,POINT (16.269070747919212 48.15070290272488),Pfarrkirche Mauer,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarremauer.at,http://www.erzdioezese-wien.at/pages/pfarren/9236,
RELIGIONOGD.223628,223628,POINT (16.282301377109896 48.13376034461874),Pfarrkirche Liesing,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-liesing.at,http://www.erzdioezese-wien.at/pages/pfarren/9235,
RELIGIONOGD.223627,223627,POINT (16.329421402321586 48.14858552154072),Pfarrkirche Inzersdorf-Neustift,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarreinzersdorfneustift.at,http://www.erzdioezese-wien.at/pages/pfarren/9233,
RELIGIONOGD.223626,223626,POINT (16.294467941324267 48.1474493508381),Pfarrkirche Atzgersdorf,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-atzgersdorf.at,http://www.erzdioezese-wien.at/pages/pfarren/9231,
RELIGIONOGD.223625,223625,POINT (16.462525587747827 48.226075049752055),"Maria, Hilfe der Christen",Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223624,223624,POINT (16.481365150445598 48.238240459859924),Pfarrkirche St. Claret - Ziegelhof,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.claret.at,http://www.erzdioezese-wien.at/pages/pfarren/9227,
RELIGIONOGD.223623,223623,POINT (16.532985382716348 48.24882020794731),Neu-Eßling,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223622,223622,POINT (16.45068304577582 48.256508764597235),Pfarrkirche St. Christoph am Rennbahnweg,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.sanktchristoph.at,http://www.erzdioezese-wien.at/pages/pfarren/9223,
RELIGIONOGD.223621,223621,POINT (16.49559630165323 48.277450753327614),Pfarrkirche Süßenbrunn,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-suessenbrunn.at,http://www.erzdioezese-wien.at/pages/pfarren/9222,
