FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.481725,POINT (16.373884121121545 48.1662462874497),Übungsvolksschule der pädagogischen Akademie des Bundes in Wien,"10., Ettenreichgasse 45B",481725,
SCHULEOGD.482391,POINT (16.352312086985215 48.17110471721404),Volksschule Knöllgasse 59,"10., Knöllgasse 59-61",482391,
SCHULEOGD.482281,POINT (16.267817402648753 48.18807308433097),Volksschule Hietzinger Hauptstraße 166-168,"13., Hietzinger Hauptstraße 166-168",482281,
SCHULEOGD.482282,POINT (16.404778132299676 48.22057149557203),Volksschule Schönngasse 2-4,"2., Schönngasse 2-4",482282,
SCHULEOGD.482285,POINT (16.374884617164405 48.19040635823852),Volksschule St.-Elisabeth-Platz 8,"4., St.-Elisabeth-Platz 8",482285,
SCHULEOGD.482297,POINT (16.332695770938955 48.2106422193851),Volksschule Grundsteingasse 56,"16., Grundsteingasse 56",482297,
SCHULEOGD.481907,POINT (16.418038944916375 48.17130256711056),Volksschule Braunhubergasse 3,"11., Braunhubergasse 3",481907,
SCHULEOGD.481908,POINT (16.36867277036367 48.19150374191463),Volksschule Graf-Starhemberg-Gasse 8,"4., Graf-Starhemberg-Gasse 8-10",481908,
SCHULEOGD.481910,POINT (16.333870713117886 48.218956700087304),Volksschule Rötzergasse 2-4,"17., Rötzergasse 2-4",481910,
SCHULEOGD.481911,POINT (16.474064131258796 48.23484203358561),Volksschule Schrebergasse 39,"22., Schrebergasse 39",481911,
SCHULEOGD.481912,POINT (16.483600846204304 48.21741448502695),Volksschule Asperner Heldenplatz 3,"22., Asperner Heldenplatz 3",481912,
SCHULEOGD.481915,POINT (16.363972493463425 48.15767333906932),Volksschule Carl-Prohaska-Platz 1,"10., Carl-Prohaska-Platz 1",481915,
SCHULEOGD.481917,POINT (16.399782314345074 48.193827849511045),Volksschule Petrusgasse 10,"3., Petrusgasse 10",481917,
