FID,SHAPE,NAME,ADRESSE,WEBLINK1,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHWIMMBADOGD.482386,POINT (16.315140040385394 48.179329019103136),Schˆnbrunner Bad,"13., Schˆnbrunner Schloﬂpark",http://www.schoenbrunnerbad.at/,13,482386,
SCHWIMMBADOGD.482387,POINT (16.333363624777416 48.2090816513733),Familienbad Hofferplatz,"16., Hofferplatz",http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html,16,482387,
SCHWIMMBADOGD.482388,POINT (16.334683375631467 48.23981352178148),Familienbad-Hugo-Wolf-Park,"19., Hugo-Wolf-Park, Eingang D‰nenstraﬂe",http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html,19,482388,
SCHWIMMBADOGD.482389,POINT (16.38985947454858 48.175784980385636),Familienbad Gudrunstraﬂe,"10., Gudrunstraﬂe, Ecke Absberggasse",http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html,10,482389,
SCHWIMMBADOGD.482278,POINT (16.358040564653844 48.25084166709197),Dˆbling,"19., Geweygasse 6",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/doebling.html,19,482278,
SCHWIMMBADOGD.481304,POINT (16.26428512344103 48.2028337537729),Hallenbad H¸tteldorf,"14., Linzer Straﬂe 376",http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/huetteldorf.html,14,481304,
SCHWIMMBADOGD.481305,POINT (16.38812014747765 48.18763569624261),Familienbad Schweizergarten,"3., Schweizergarten, Eingang Kleistgasse",http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html,3,481305,
SCHWIMMBADOGD.481306,POINT (16.402272136083237 48.25432715676527),Floridsdorf,"21., Franklinstraﬂe 22",http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/floridsdorf.html,21,481306,
SCHWIMMBADOGD.481307,POINT (16.285877180794454 48.14752551208854),Hˆpflerbad,"23., Endresstraﬂe 24-26",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/hoepflerbad.html,23,481307,
SCHWIMMBADOGD.481308,POINT (16.291666508317643 48.21214851081428),Ottakringerbad,"16., Johann-Staud-Straﬂe 11",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/ottakring.html,16,481308,
