FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
SIRENEOGD.2432,2432,POINT (16.294062192511937 48.22702130879521),
SIRENEOGD.2561,2561,POINT (16.285847600208808 48.253689202359816),
SIRENEOGD.2562,2562,POINT (16.34241727492376 48.22684039292397),
SIRENEOGD.2563,2563,POINT (16.3196493621604 48.230526408971706),
SIRENEOGD.2564,2564,POINT (16.30825656816681 48.2435643507134),
SIRENEOGD.2565,2565,POINT (16.33307091906332 48.22880517331272),
SIRENEOGD.2566,2566,POINT (16.35620545862814 48.27339991659369),
SIRENEOGD.2567,2567,POINT (16.362466848280395 48.25768071100434),
SIRENEOGD.2568,2568,POINT (16.350430104717976 48.24604342570674),
SIRENEOGD.2569,2569,POINT (16.32328182850349 48.25071949574216),
SIRENEOGD.2570,2570,POINT (16.303497296902556 48.25079095920137),
SIRENEOGD.2571,2571,POINT (16.353097866188765 48.232510651406564),
SIRENEOGD.2572,2572,POINT (16.341963972502878 48.25491857440112),
SIRENEOGD.2573,2573,POINT (16.332668650534544 48.24243668492085),
SIRENEOGD.2574,2574,POINT (16.322825329440104 48.242954787403484),
SIRENEOGD.2575,2575,POINT (16.388045282301395 48.23327078097649),
SIRENEOGD.2576,2576,POINT (16.368192348150547 48.227151196514505),
SIRENEOGD.2577,2577,POINT (16.37634073130097 48.250424287027094),
SIRENEOGD.2578,2578,POINT (16.365862391523788 48.241036237642334),
SIRENEOGD.2579,2579,POINT (16.381951572802603 48.24086159994196),
SIRENEOGD.2580,2580,POINT (16.370082403308928 48.235617514736965),
SIRENEOGD.2581,2581,POINT (16.430223709904524 48.264976623321544),
SIRENEOGD.2582,2582,POINT (16.397286638370094 48.25775916959261),
SIRENEOGD.2583,2583,POINT (16.39142300772806 48.269164302344414),
SIRENEOGD.2584,2584,POINT (16.38678036797459 48.27684248378676),
SIRENEOGD.2585,2585,POINT (16.375132446663418 48.28395038359265),
SIRENEOGD.2586,2586,POINT (16.38975612478409 48.29519847611148),
SIRENEOGD.2587,2587,POINT (16.409976521489547 48.30210254054667),
SIRENEOGD.2588,2588,POINT (16.403628136043217 48.276953874887546),
SIRENEOGD.2589,2589,POINT (16.409644938013347 48.253420036385),
