FID,SHAPE,BEZEICHNUNG,ADRESSE,BEZIRK,LANGTEXT,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
SOZIALMARKTOGD.152616,POINT (16.41152828179707 48.17721746759803),"VinziMarkt, Vinzenzgemeinschaft","11., Hauffgasse 4A",11,Sozialmärkte,152616,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100245
SOZIALMARKTOGD.152170,POINT (16.347987782486744 48.20538135943008),"SOMA Sozialmarkt Wien Neubau, Wiener Hilfswerk, Verein","7., Neustiftgasse 73-75",7,Sozialmärkte,152170,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100270
SOZIALMARKTOGD.152464,POINT (16.331802206913636 48.215724049913696),"Sozialmarkt Hernals Sozialmarkt Wien, gemeinnütziger Verein","17., Kalvarienberggasse 15",17,Sozialmärkte,152464,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100309
SOZIALMARKTOGD.151801,POINT (16.394288415711152 48.25872352832321),Samariterbund Sozialmarkt,"21., Frömmlgasse 19-31",21,Sozialmärkte,151801,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100411
SOZIALMARKTOGD.153316,POINT (16.347987782486744 48.20538135943008),Günstige PCs für Sozialmarkt-KundInnen,"7., Neustiftgasse 73-75",7,Sozialmärkte,153316,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100419
SOZIALMARKTOGD.153053,POINT (16.327381397377824 48.178240165941446),Firma Gerhard Rammel GmbH,"12., Pohlgasse 13",12,Sozialmärkte,153053,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100490
SOZIALMARKTOGD.152641,POINT (16.326761698372987 48.18465228276494),Samariterbund Sozialmarkt,"15., Pillergasse 20",15,Sozialmärkte,152641,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100554
SOZIALMARKTOGD.152916,POINT (16.433630219473933 48.25315712173355),"Sozialmarkt Donaustadt Sozialmarkt Wien, gemeinnütziger Verein","22., Ullreichgasse 13",22,Sozialmärkte,152916,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2100876
SOZIALMARKTOGD.151960,POINT (16.381121763112425 48.17206230296411),Samariterbund Sozialmarkt,"10., Gellertgasse 42-48",10,Sozialmärkte,151960,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2101166
SOZIALMARKTOGD.152468,POINT (16.326569078068676 48.20820544630291),"SOMA Sozialmarkt Wien Ottakring, Wiener Hilfswerk, Verein","16., Hyrtlgasse 28",16,Sozialmärkte,152468,,http://wien.gv.at/sozialinfo/content/de/10/InstitutionDetail.do?it_1=2101176
