FID,OBJECTID,SHAPE,ANGEBOT,OEFFNUNGSZEITEN,STANDORT,BEZIRK,WASSER,WEBLINK1,SE_ANNO_CAD_DATA
SPIELPLATZOGD.158146,158146,POINT (16.373476374886046 48.17002336681418),"Kleinkinderspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",Ballspielplatz 6:00-22:00,Parkanlage Suchenwirtplatz,10,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158147,158147,POINT (16.386423902667453 48.153094129499635),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Skaterpark,<br>Seilbahn,<br>Sandspielplatz",0:00-24:00,G‰rtnerst¸tzpunkt - Alaudagasse,10,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158148,158148,POINT (16.365248864740913 48.18054790053982),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Seilbahn,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Waldm¸llerpark,10,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158149,158149,POINT (16.379601810819928 48.17652647552657),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",Spielpl‰tze 6:00-22:00,Parkanlage Wielandplatz,10,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke und Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158150,158150,POINT (16.35805861102245 48.15281965857151),Skaterpark,0:00-24:00,Parkanlage Wienerfeldsiedlung,10,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158152,158152,POINT (16.485252258970092 48.15969360247714),Kinder- Jugendspielplatz,0:00-24:00,Parkanlage Mannswˆrther Straﬂe,11,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158154,158154,POINT (16.42468604576843 48.15736389131825),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Sand- und Matschbereich,<br>Basketballplatz",6:00-20:00,Parkanlage Pretschgasse,11,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158155,158155,POINT (16.41453236060969 48.17074013144775),Kleinkinderspielplatz,0:00-24:00,Braunhuberpark,11,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke mit Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158157,158157,POINT (16.466068285094366 48.15163402030957),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Csokorgasse,11,Trinkbrunnen+Tr‰nke mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158159,158159,POINT (16.41532453869378 48.17942434986064),"Kleinkinder- Kinder- Jugendspielplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Eisteichstraﬂe,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158160,158160,POINT (16.360325962567327 48.17687743968127),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz",0:00-24:00,Alois-Greb-Park,10,"Trinkbrunnen, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158161,158161,POINT (16.37780909158545 48.17053484433648),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Antonspark,10,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158162,158162,POINT (16.37122075551187 48.17327909302575),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Sand- und Matschbereich,<br>Basketballplatz",6:00-22:00,Arthaberpark,10,"Trinkbrunnen+Tr‰nke, Spielbrunnen, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158163,158163,POINT (16.388456854222348 48.148799280887935),Kleinkinderspielplatz,0:00-24:00,Parkanlage Bergtaidingweg,10,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158164,158164,POINT (16.368880032193704 48.17794724920192),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Erlachplatz,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158166,158166,POINT (16.38092439148138 48.15472247340856),Fuﬂballplatz,0:00-24:00,Parkanlage Fingergasse,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158168,158168,POINT (16.35871066479521 48.1779221751642),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Knˆllgasse,10,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158169,158169,POINT (16.35866089717262 48.172231152681725),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Basketballplatz",6:00-22:00,Fortunapark,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158170,158170,POINT (16.37776063134162 48.16671033131316),"Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Hebbelpark,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158173,158173,POINT (16.3942693875819 48.154518889315234),"Kleinkinder- Kinder- Jugendspielplatz,<br>Basketballplatz,<br>Sandspielplatz",6:00-20:00 (21:00),Parkanlage Holzknechtstraﬂe,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158174,158174,POINT (16.392415029247278 48.140184352125566),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Sand- und Matschbereich,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Hubert-Blamauer-Park,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158175,158175,POINT (16.378252642007624 48.17929258150084),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",6:00-22:00,Humboldtpark,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158176,158176,POINT (16.353067474134196 48.153223256437805),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Sand- und Matschbereich",0:00-24:00,Johann-Benda-Park,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158177,158177,POINT (16.375775512112945 48.17837383963115),"Kleinkinder- Kinder- Jugendspielplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Keplerplatz,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158178,158178,POINT (16.366240762957435 48.16148471901528),Kinder- Jugendspielplatz,0:00-24:00,Parkanlage Kornauthgasse,10,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158179,158179,POINT (16.39444283121869 48.17180849981152),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz",0:00-24:00,Parkanlage Quellenstraﬂe,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158181,158181,POINT (16.403215158129047 48.147324850873254),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Skaterpark,<br>Rodelh¸gel,<br>Seilbahn,<br>Sand- und Matschbereich","Nov.-Jan.6:00-18:00, Feb.6:00-19:00, Mar.&Okt.6:00-20:00, Apr.&Sept.6:00-21:00, Mai-Aug.6:00-22:00",Kur-und Erholungspark Laaer Berg,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158182,158182,POINT (16.368404587604306 48.17489384257072),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Sand- und Matschbereich,<br>Basketballplatz",Spiel- und Fuﬂballplatz 6:00-22:00,Laubepark,10,"2 Trinkbrunnen+Tr‰nke und Auffangschale, Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158183,158183,POINT (16.364320867496176 48.152051692461455),Kinder- Jugendspielplatz,0:00-24:00,Parkanlage Laxenburger Straﬂe,10,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158184,158184,POINT (16.42071390716134 48.13206178907857),Kinder- Jugendspielplatz,0:00-24:00,Parkanlage Klederinger Straﬂe,10,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158185,158185,POINT (16.34838668103336 48.19500789073483),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",Park wird von MA 42 geˆffnet,Loquaipark,6,"2 Trinkbrunnen+Tr‰nke und Auffangschale, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158186,158186,POINT (16.34226251574769 48.19364506791054),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz","Park: Okt.-M‰rz 7:45-20:00, April-Sept. 7:45-21:00",Minna-Lachs-Park,6,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke und Auffangschale,  Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158187,158187,POINT (16.352318648860113 48.193647735178544),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz","Ballspielplatz: Okt.-M‰rz 8:35-19:25, April-Sept. 7:20-20:35",Richard-Waldemar-Park,6,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158189,158189,POINT (16.347433379358257 48.198796536944876),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz","Okt.-M‰rz 7:00-18:30, April-Sept. 7:00-20:45",Andreaspark,7,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158190,158190,POINT (16.3557291011197 48.20370656573235),Kleinkinderspielplatz,0:00-24:00,Gutenbergpark,7,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158191,158191,POINT (16.34056877120513 48.2076586099761),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz","Okt.-M‰rz 7:05-18:35, April-Sept. 7:05-20:50",Josef-Strauﬂ-Park,7,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158192,158192,POINT (16.346374338620922 48.204627336580835),"Kleinkinderspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Sandspielplatz","Park: Okt.-M‰rz 7:10-18:40, April-Sept. 7:10-21:00",Karl-Farkas-Park,7,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158195,158195,POINT (16.352197301401066 48.20263649080105),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Sand- und Matschbereich,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Siebensternpark,7,Spielbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158196,158196,POINT (16.338382885213214 48.201426760029776),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Sand- und Matschbereich",0:00-24:00,Parkanlage Urban-Loritz-Platz,7,"Trinkbrunnen, Pumpbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158197,158197,POINT (16.355766704956753 48.20634141234177),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Basketballplatz,<br>Sandspielplatz","Ballspielplatz: Okt.-M‰rz 7:15-18:45, April-Sept. 7:15-21:00",Weghuberpark,7,"3 Trinkbrunnen+Tr‰nke und Auffangschale, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158198,158198,POINT (16.345394420850386 48.21107485873171),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Sandspielplatz",0:00-24:00,Hamerlingpark,8,"Trinkbrunnen mit Tr‰nke, Trinkbrunnen, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158200,158200,POINT (16.35063266588086 48.21239646010695),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz","Okt.-M‰rz 7:00-18:35, April-Sept. 6:30-20:00",Schˆnbornpark,8,"Trinkbrunnen mit Tr‰nke und Auffangschale, 2 Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158201,158201,POINT (16.34531756904912 48.20871714420918),"Kleinkinderspielplatz,<br>Tischtennisplatz,<br>Sandspielplatz","Okt.-M‰rz 6:45-19:00, April-Sept. 6:15-20:45",Tigerpark,8,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158203,158203,POINT (16.36492374171833 48.21722297392149),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Erwin-Ringel-Park,9,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158204,158204,POINT (16.355256959460633 48.23127573098207),Kleinkinderspielplatz,0:00-24:00,Parkanlage Latschkagasse,9,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158205,158205,POINT (16.35825754001861 48.22671209881089),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz","Ballspielplatz: 7:00-21:00; Hundezone Mo-Fr 7:00-21:00, Sa,So 10:00-21:00",Lichtentalerpark,9,"2 Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke und Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158208,158208,POINT (16.359658706600467 48.21572984173591),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Sand- und Matschbereich",0:00-24:00,Votivpark,9,"Trinkbrunnen+Tr‰nke, 2 Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158209,158209,POINT (16.38445083969179 48.166987087868996),"Kleinkinder- Kinder- Jugendspielplatz,<br>Skaterpark",Skateranlage 6:00-22:00,Alfred-Bˆhm-Park,10,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158210,158210,POINT (16.37118660686195 48.19936052837109),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Skaterpark,<br>Basketballplatz",0:00-24:00,Resselpark,4,"2 Trinkbrunnen+Tr‰nke, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
