FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.1,1,POINT (16.376698774356793 48.20877943124742),Sporthalle,"1., B‰ckerstraﬂe 16",500,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=82,
SPORTSTAETTENOGD.2,2,POINT (16.36885746993614 48.2134003799159),÷ffentlich outdoor,"1., Bˆrsegasse, Bˆrseplatz 1-9",136,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.3,3,POINT (16.36734443650087 48.21438834148954),÷ffentlich outdoor,"1., Hermann-Gmeiner-Park",300,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.4,4,POINT (16.374959234338355 48.21054935032428),Sporthalle,"1., Rotenturmstraﬂe 14",300,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=28,
SPORTSTAETTENOGD.5,5,POINT (16.372780126188697 48.20292034361477),Sporthalle,"1., Walfischgasse 12",1000,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=16,
SPORTSTAETTENOGD.6,6,POINT (16.434110176246353 48.19836365725133),Vereinssport outdoor,"2., Ameisenwiese, Unteres Heustadlwasser",105170,Reitsportanlage,http://www.reitenwien.at/,
SPORTSTAETTENOGD.7,7,POINT (16.44012945932468 48.19370766118315),Vereinssport outdoor,"2., Aspernallee 3",10630,Rasenplatz (Baseball),http://www.aibcvienna.org,
SPORTSTAETTENOGD.8,8,POINT (16.42369958810348 48.21092082648094),Sporthalle,"2., Engerthstraﬂe 267-269",38580,"Sporthalle (Bahnradsport, Leichtathletik, Turnen, Mehrzweck-Veranstaltungshalle)",http://www.stadthalle.com/locations/ferry-dusika-hallenstadion/6,
SPORTSTAETTENOGD.9,9,POINT (16.42512280584652 48.20951150312042),Sporthalle,"2., Engerthstraﬂe 267-269",8010,"Sport & Fun Halle (Badminton, Beachvolleyball, Inlinehockey, Streetsoccer, Streetball, Tischtennis, Fitness)",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/sportfun/engerthstrasse.html,
SPORTSTAETTENOGD.10,10,POINT (16.404963939113134 48.225271997357595),÷ffentlich outdoor,"2., Mexikoplatz",1135,"polysportiver Hartplatz,<br />polysportiver Hartplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
