FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,STELLPLATZANZAHL,SE_ANNO_CAD_DATA
TAXIOGD.35,35,"LINESTRING (16.443075284340004 48.24917689551129, 16.44364252397846 48.24896490093715)","22., Am Freihof 2",,7,
TAXIOGD.36,36,"LINESTRING (16.327012886317096 48.23126159561074, 16.327213277117107 48.23122907962403)","18., Herbeckstraße 9",v. 8-18h,2,
TAXIOGD.37,37,"LINESTRING (16.327426775567627 48.23120156783055, 16.327683350154157 48.23116530171223)","18., Herbeckstraße 7",v. 8-18h,2,
TAXIOGD.38,38,"LINESTRING (16.327685224054427 48.23115779482409, 16.32843059554656 48.231050241455144)","18., Herbeckstraße 1-5",,8,
TAXIOGD.39,39,"LINESTRING (16.348311301397032 48.19081110843355, 16.348087897378804 48.19108028290162)","6., Brückengasse 10-14",,2,
TAXIOGD.40,40,"LINESTRING (16.336144102324052 48.275144124746525, 16.336221492292466 48.27526942849844)","19., Am Kahlenberg (bei Kirche)  38",,3,
TAXIOGD.41,41,"LINESTRING (16.32924038800171 48.17429854839445, 16.328746015448264 48.174357908201934)","12., Koppreitergasse 1-3",,7,
TAXIOGD.42,42,"LINESTRING (16.40434393479869 48.214578187870224, 16.404597113345183 48.214444417843865)","2., Südportalstraße (Bereich Messestraße)",,4,
TAXIOGD.43,43,"LINESTRING (16.377499516935057 48.19981661418592, 16.377955601378634 48.19952201179168)","3., Lisztstraße 3",,9,
TAXIOGD.44,44,"LINESTRING (16.329744767497488 48.17818854368187, 16.32947836883217 48.178212043787994)","12., Pohlgasse 2-4",v. 8-19h,4,
TAXIOGD.45,45,"LINESTRING (16.358149919395274 48.181402373408, 16.357514848110426 48.18120178868164)","5., Grünwaldgasse 4",,9,
TAXIOGD.46,46,"LINESTRING (16.37486957004174 48.18127598769321, 16.375114574325373 48.18126814355389)","10., Landgutgasse 20-22",Mo.-Sa. ( w. ) v. 8-21h,3,
TAXIOGD.47,47,"LINESTRING (16.450946402791214 48.25674342070922, 16.45013686385304 48.25699722068665)","22., Rennbahnweg 27",,11,
TAXIOGD.48,48,"LINESTRING (16.455928871726634 48.227778396664206, 16.455722551044854 48.22790615466649)","22., Hausgrundweg 1",,4,
TAXIOGD.49,49,"LINESTRING (16.372510924431154 48.207774488964375, 16.37287493325098 48.20765783710412)","1., Singerstraße 5",,6,
TAXIOGD.50,50,"LINESTRING (16.27502045510456 48.192123639606535, 16.274993675888567 48.19200188327112)","13., Franz-Boos-Gasse 5",,3,
TAXIOGD.51,51,"LINESTRING (16.387588883553335 48.21948258850437, 16.38784426772627 48.21935027541985)","2., Heinestraße 30",,4,
TAXIOGD.52,52,"LINESTRING (16.3662102325639 48.19496620522294, 16.36648305495452 48.19486856612489)","4., Waaggasse 5",v. 7-22h,5,
TAXIOGD.53,53,"LINESTRING (16.366630771990817 48.19480833432978, 16.366780321475712 48.19473986183656, 16.366796938807724 48.19473225364462, 16.36681705405391 48.19472581475413, 16.366844171508227 48.19472112878264, 16.366866914845332 48.19472053700668)","4., Waaggasse 3",,3,
TAXIOGD.54,54,"LINESTRING (16.382172647249522 48.21532856597224, 16.382197450951246 48.2154301900362)","2., Große Mohrengasse ggü. 20",v. 7-20h,2,
TAXIOGD.55,55,"LINESTRING (16.318716672876747 48.19922835352138, 16.318679276638285 48.199237171321194, 16.31863528341484 48.19924231101855, 16.318569293257486 48.199245976969365, 16.31832293578233 48.19925696826702)","15., Schanzstraße 2-4",,6,
TAXIOGD.56,56,"LINESTRING (16.365232618937473 48.158797031278645, 16.36491059809392 48.15878678269541)","10., Sibeliusstraße 3",,4,
TAXIOGD.57,57,"LINESTRING (16.37409317111675 48.19812315185684, 16.374448215055036 48.198252216544766)","4., Gußhausstraße 1-3",,6,
