FID,OBJECTID,SHAPE,ZONE_NAME,RECHT_TXT,WEBLINK1,SE_ANNO_CAD_DATA
TEMPOZONEOGD.29108,29108,"POLYGON ((16.338287474562716 48.211021434750734, 16.338183390197237 48.21177483971504, 16.338406821919406 48.21220656152633, 16.338547878940297 48.214776842149284, 16.33148623854979 48.21390747209031, 16.327027319601022 48.21318858245854, 16.327044724175742 48.21292199930043, 16.330948578753855 48.21191383463649, 16.331832790070052 48.21183033291178, 16.33194468530575 48.21232542901218, 16.33362371640186 48.212197854639115, 16.333472307492638 48.21156413853435, 16.338287474562716 48.211021434750734))",Bereich Friedmanngasse Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29109,29109,"POLYGON ((16.324846882333503 48.215278744543596, 16.32500736082379 48.21528085547821, 16.325150681823747 48.215793956232275, 16.32247549056651 48.215893954260515, 16.32223676063501 48.21524432249597, 16.3246535034812 48.215276207449314, 16.324846882333503 48.215278744543596))",Bereich Degengasse Ost Teil 2,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29110,29110,"POLYGON ((16.325256608311737 48.21343476173689, 16.325007522298495 48.215280855493724, 16.324766575811214 48.21527769348226, 16.324541534566094 48.21527473040883, 16.32223676063501 48.21524432249597, 16.32247828749819 48.21590150884936, 16.319774099333824 48.21600458820078, 16.319440532486254 48.21515945272464, 16.319247725881638 48.21373920573363, 16.323253601791315 48.213751457504465, 16.325256608311737 48.21343476173689))",Bereich Degengasse Ost Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29111,29111,"MULTIPOLYGON (((16.298254367386924 48.175574127297104, 16.299712587012447 48.18098884236261, 16.300746452553884 48.18414063980853, 16.30151425520742 48.18550428028035, 16.300613977768975 48.185717667026005, 16.300729620999103 48.18595297404951, 16.298652261248197 48.18612336787531, 16.29720767239675 48.18552923786809, 16.293521433037665 48.18360612818254, 16.292619012410707 48.18279078050078, 16.28966899704295 48.1826890119451, 16.287592183942216 48.182366180032815, 16.28638857742467 48.181842449884, 16.284343658244243 48.17979899897628, 16.284474467471757 48.179184941139034, 16.284402608897693 48.178562797229716, 16.283993698108226 48.176768991271004, 16.284586165891756 48.176211781374754, 16.28622949604335 48.17570350394225, 16.287281038547928 48.17504952570247, 16.28945674203157 48.173491108101224, 16.290230116891596 48.17313592550711, 16.292388311166587 48.172917801022045, 16.296939312185277 48.17222789865349, 16.298190296759685 48.1729368395039, 16.298755647322608 48.17356383642988, 16.29868288336292 48.17409762403321, 16.299157643532084 48.174001927536025, 16.299368919269572 48.17382132113713, 16.2992871450184 48.173519671016585, 16.2990850121121 48.17308434274433, 16.29868039167969 48.17269732303156, 16.299447166336705 48.17218492847075, 16.29871004944963 48.17168172675878, 16.299357242641722 48.17141776789867, 16.299862017746424 48.17181114812892, 16.300385650929154 48.1721843691373, 16.300838822509615 48.17248447816418, 16.30111792535058 48.17266621764471, 16.30134099973499 48.17247629417534, 16.301601454498133 48.172640193267945, 16.3012810305997 48.172900315986716, 16.299070432532165 48.174792764200724, 16.298254367386924 48.175574127297104), (16.29226653541617 48.173804257171206, 16.292265647968385 48.17380431978575, 16.292264787380706 48.17380441838352, 16.29226392677006 48.17380454396094, 16.292263079566485 48.17380471450958, 16.292262259215356 48.173804930034656, 16.292261452286592 48.17380517254451, 16.292260685670964 48.17380544204941, 16.292259932462404 48.173805756525546, 16.29225921956695 48.17380609799677, 16.292258533531598 48.17380647545114, 16.292257887817033 48.17380687090731, 16.292257282400247 48.17380731134501, 16.292068830018913 48.17395120304088, 16.292068278372742 48.173951652491375, 16.292067767039704 48.17395212893699, 16.29206729601979 48.1739526323777, 16.292066892211515 48.17395315383061, 16.29206652873176 48.173953684292194, 16.29206620557282 48.17395423275563, 16.292065949625528 48.17395479923125, 16.292065760897557 48.17395537472586, 16.2920656125058 48.17395595023587, 16.292065517880285 48.173956543752915, 16.2920654904895 48.17395712830246, 16.29206551688032 48.173957712872586, 16.2920656104905 48.173958306461664, 16.29206575789769 48.173958882084904, 16.2920659456411 48.17395945772354, 16.292066200619228 48.173960024394695, 16.292066522839804 48.17396057310507, 16.292066885404285 48.17396111283769, 16.292067288328077 48.17396162560605, 16.29206775848661 48.17396212940691, 16.292068269004442 48.17396260624349, 16.29206883331932 48.17396306511423, 16.29206942454807 48.17396349701555, 16.29207008303464 48.17396389296967, 16.29207075498203 48.17396427094247, 16.292071467296395 48.17396461295781, 16.292072219970066 48.17396492800887, 16.292072999573037 48.17396519810407, 16.292073174317203 48.17396525213033, 16.29242676046402 48.17407775728825, 16.292877083918526 48.17493221225306, 16.29287733900858 48.174932662010356, 16.292877701595977 48.17493319274709, 16.292878117973583 48.174933714510814, 16.29287858814893 48.17493421830827, 16.292879098683944 48.17493469514118, 16.292879649578584 48.174935145009584, 16.29288025427099 48.17493557691171, 16.292880899323034 48.1749359818493, 16.29288157129662 48.174936350824076, 16.292882283629844 48.174936692834336, 16.29288303632272 48.17493700788003, 16.292883815937138 48.17493728696294, 16.292884609027414 48.17493753007798, 16.292885442484877 48.17493773723526, 16.292886275972545 48.1749379084196, 16.29288713638173 48.174938043641134, 16.29288799682867 48.174938133896525, 16.292888884189598 48.17493819718236, 16.292889758142575 48.17493821549696, 16.292890632133314 48.174938188845424, 16.292891506146688 48.17493813521421, 16.292892380197806 48.17493803661688, 16.292893240833447 48.17493790204156, 16.292894074607936 48.17493773148323, 16.292894249431743 48.17493769557594, 16.293170128344965 48.17487233710253, 16.29317231998522 48.1748723379201, 16.293173193967196 48.17487232025966, 16.293174081432298 48.17487225763804, 16.293174942028614 48.17487216802678, 16.29317580266241 48.17487203344936, 16.293176636434907 48.17487186288897, 16.29317747023738 48.17487165635567, 16.293178263732898 48.174871413834445, 16.293179043812767 48.174871135335266, 16.293179797031325 48.17487082085314, 16.293180509935425 48.174870479376295, 16.293181182525057 48.17487011090472, 16.29318182825341 48.174869706450195, 16.293182433667287 48.17486927500093, 16.29318298531357 48.17486882554518, 16.2931834966454 48.174868349094695, 16.293183967662785 48.17486784564947, 16.29318438491256 48.174867324197756, 16.293184748387265 48.17486679373274, 16.29318505810186 48.174866236267974, 16.293185314033874 48.17486567878318, 16.29318551619831 48.17486510329184, 16.293185651134525 48.174864527775455, 16.29318574574879 48.174863934257566, 16.293185773127327 48.174863349707834, 16.29318574672331 48.17486276513805, 16.293185653091065 48.17486218054318, 16.29318551912191 48.17486159593329, 16.29318531791703 48.17486102029157, 16.293185062914603 48.17486046261623, 16.293184942091226 48.1748602377404, 16.293184754129605 48.17485990492081, 16.292643187040166 48.17387625594281, 16.29264299908564 48.17387592312227, 16.292642636508113 48.173875392384694, 16.292642220141467 48.173874870620025, 16.292641749978095 48.173874366821536, 16.292641239455822 48.17387388998746, 16.292640688574622 48.173873440117845, 16.29264008389671 48.17387300821438, 16.292639438859894 48.17387260327538, 16.29263876690193 48.1738722342991, 16.292638054585076 48.17387189228727, 16.292637301909284 48.17387157723991, 16.29263652231236 48.17387129815531, 16.2926357292397 48.17387105503849, 16.292634895800525 48.173870847879414, 16.292634102659534 48.173870685701665, 16.292270931790657 48.17380456461561, 16.292270031073603 48.17380442038082, 16.292269170646712 48.17380433012078, 16.292268283306136 48.173804266830196, 16.292267409372634 48.17380424851087, 16.29226653541617 48.173804257171206)))",Bereich Küniglberg  Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29112,29112,"POLYGON ((16.312125139173517 48.22264070639623, 16.312745619665662 48.223398956717766, 16.31348380615281 48.223132996562036, 16.313968918933995 48.22373802420328, 16.307795393867725 48.2259438888634, 16.306716718510188 48.22432239646667, 16.307199584294544 48.22260118413658, 16.30827579113371 48.22272671480625, 16.308227505249622 48.22292158478528, 16.308285908417528 48.22318069166882, 16.308418917923326 48.223353572123955, 16.309175817769052 48.22309133131252, 16.30911475774723 48.223014065831556, 16.30954442262322 48.222864069946816, 16.309721821369795 48.22308848990083, 16.310358221490603 48.22290265544771, 16.31035450315168 48.222802830604756, 16.31086107688883 48.22278819393173, 16.311308815515268 48.22276445929493, 16.31181920932062 48.22269577036428, 16.312125139173517 48.22264070639623))",Bereich Zeillergasse Teil 2,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29113,29113,"POLYGON ((16.312067545056358 48.22245332201876, 16.31285764776453 48.222324801061376, 16.313495920523625 48.22312863725958, 16.312745619665662 48.223398956717766, 16.312125139173517 48.22264070639623, 16.31158841053679 48.22273374454772, 16.31035450315168 48.222802830604756, 16.31033884070479 48.2229045396776, 16.30971563462476 48.22308057450851, 16.30954442262322 48.222864069946816, 16.30946529497643 48.22259133426914, 16.310946604537637 48.22262136264323, 16.312067545056358 48.22245332201876))",Bereich Zeillergasse Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29114,29114,"POLYGON ((16.29668940231501 48.17115326658301, 16.298777733638325 48.170731487490386, 16.298841503508395 48.17087699173227, 16.2989122546811 48.17099948450051, 16.299060510746994 48.17116487294456, 16.29881214908697 48.171255057855866, 16.29730074171617 48.17171112682862, 16.297125433201742 48.17139330962374, 16.29656315998644 48.17153434760337, 16.29670684806177 48.17186337839605, 16.295159928629232 48.17217687325066, 16.294847641426344 48.17174237052649, 16.29668940231501 48.17115326658301))",Bereich Würzburggasse Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29115,29115,"POLYGON ((16.30765565725907 48.2037830096876, 16.30775334308538 48.20404797297464, 16.307401954367972 48.204148771480845, 16.306898514424642 48.20427369513906, 16.306028329914376 48.204449962408994, 16.30568879257603 48.20451944450329, 16.305477866142184 48.20457123430441, 16.304898241290818 48.20472268577818, 16.304378710764684 48.204785298253114, 16.304023661019798 48.20478375198808, 16.303921793469687 48.20443610107006, 16.304946311127082 48.20429948859011, 16.30765565725907 48.2037830096876))",Bereich Zwinzstraße Teil 2,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29116,29116,"POLYGON ((16.30774778600297 48.20404956340022, 16.308996386109552 48.207598816050755, 16.3051393293004 48.20814007834925, 16.304040894696055 48.20478411651511, 16.30443268741668 48.20478318172645, 16.304661409169846 48.204762470151174, 16.305040302767317 48.20468981812981, 16.305687904544975 48.20451962413243, 16.306989685531533 48.20425379832052, 16.30774778600297 48.20404956340022))",Bereich Zwinzstraße Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29117,29117,"POLYGON ((16.333571230607465 48.22437991776962, 16.334062328071006 48.224914354317, 16.332713044201473 48.22559262243293, 16.331906177006942 48.22581408846048, 16.330917933047342 48.226127306955895, 16.328617266055275 48.22678261088325, 16.328578119708 48.22646000613483, 16.329253397978295 48.22621525453413, 16.330352457385395 48.2256994492317, 16.33116817346014 48.2253208931406, 16.332032651799345 48.22511741160878, 16.332180662726397 48.22505826873484, 16.333571230607465 48.22437991776962))",Bereich Rosensteingasse Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
