FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.17313,POINT (16.38269666577881 48.277200423748795),Trinkbrunnen,17313,
TRINKBRUNNENOGD.17314,POINT (16.417804691652343 48.1674390326221),Trinkbrunnen mit Tränke,17314,
TRINKBRUNNENOGD.17315,POINT (16.30227160095299 48.19241919196354),Trinkbrunnen mit Tränke,17315,
TRINKBRUNNENOGD.17316,POINT (16.386379031495697 48.172137974178675),Trinkbrunnen,17316,
TRINKBRUNNENOGD.17317,POINT (16.384403835560377 48.175931474270584),Trinkbrunnen mit Tränke,17317,
TRINKBRUNNENOGD.17318,POINT (16.379369452413894 48.17668208229013),Trinkbrunnen mit Tränke,17318,
TRINKBRUNNENOGD.17319,POINT (16.375347588134385 48.17844533714429),Trinkbrunnen mit Tränke,17319,
TRINKBRUNNENOGD.17320,POINT (16.417169806306973 48.18047149601255),Trinkbrunnen mit Tränke,17320,
TRINKBRUNNENOGD.17321,POINT (16.415263183983054 48.18101943714596),Trinkbrunnen mit Tränke,17321,
TRINKBRUNNENOGD.17322,POINT (16.377671146030313 48.17397986582243),Trinkbrunnen mit Tränke,17322,
TRINKBRUNNENOGD.17323,POINT (16.379028315852796 48.17374205756687),Trinkbrunnen mit Tränke,17323,
TRINKBRUNNENOGD.17324,POINT (16.38167791365964 48.16430673781114),Trinkbrunnen,17324,
TRINKBRUNNENOGD.17325,POINT (16.379582588919664 48.16562626408045),Trinkbrunnen mit Tränke,17325,
TRINKBRUNNENOGD.17326,POINT (16.413910301855367 48.17633894938706),Trinkbrunnen mit Tränke,17326,
TRINKBRUNNENOGD.17327,POINT (16.3601740055994 48.17682495572226),Trinkbrunnen,17327,
TRINKBRUNNENOGD.17328,POINT (16.471799203767933 48.16013993527598),Trinkbrunnen mit Tränke,17328,
TRINKBRUNNENOGD.17329,POINT (16.351686158966444 48.16559877131498),Trinkbrunnen mit Tränke,17329,
TRINKBRUNNENOGD.17330,POINT (16.351970412200988 48.16583860280155),Trinkbrunnen,17330,
TRINKBRUNNENOGD.17331,POINT (16.37337394423607 48.170067018214795),Trinkbrunnen,17331,
TRINKBRUNNENOGD.17332,POINT (16.36759125987492 48.16643242450694),Trinkbrunnen mit Tränke,17332,
TRINKBRUNNENOGD.17333,POINT (16.36871561649161 48.17809881747989),Trinkbrunnen mit Tränke,17333,
TRINKBRUNNENOGD.17334,POINT (16.35162988757262 48.15336331717165),Trinkbrunnen mit Tränke,17334,
TRINKBRUNNENOGD.17335,POINT (16.356423716360734 48.15327908942312),Trinkbrunnen mit Tränke,17335,
