FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.482372,POINT (16.40343720305014 48.21912627923455),Fachhochschule des bfi Wien,Hauptgebäude,482372,
UNIVERSITAETOGD.482373,POINT (16.42689874996317 48.269496345098666),Fachhochschule des bfi Wien,ENERGYbase,482373,
UNIVERSITAETOGD.482374,POINT (16.34919219213136 48.226573342207885),FHWien-Studiengänge der Wirtschaftskammer Wien,Wien,482374,
UNIVERSITAETOGD.482375,POINT (16.35246039135697 48.24269452058537),Lauder Business School,Wien,482375,
UNIVERSITAETOGD.482376,POINT (16.35588182987807 48.20013752041795),FH Technikum Wien,Geschäftsführung,482376,
UNIVERSITAETOGD.482377,POINT (16.377846775295726 48.239436801402604),FH Technikum Wien,Standort Höchstädtplatz,482377,
UNIVERSITAETOGD.482378,POINT (16.42689874996317 48.269496345098666),FH Technikum Wien,ENERGYbase,482378,
UNIVERSITAETOGD.482379,POINT (16.38227858823622 48.15772717723861),FH Campus Wien,Wien,482379,
UNIVERSITAETOGD.482027,POINT (16.408860446502068 48.21384341856702),Wirtschaftsuniversität Wien,LC - Hauptgebäude,482027,
UNIVERSITAETOGD.482028,POINT (16.40990387836498 48.21274722310716),Wirtschaftsuniversität Wien,D1 TC,482028,
UNIVERSITAETOGD.482029,POINT (16.409839010138533 48.21220475172164),Wirtschaftsuniversität Wien,D2 SC,482029,
UNIVERSITAETOGD.482030,POINT (16.40641305840182 48.21396293277605),Wirtschaftsuniversität Wien,D3,482030,
UNIVERSITAETOGD.482031,POINT (16.407354829589078 48.214569211541416),Wirtschaftsuniversität Wien,D4,482031,
UNIVERSITAETOGD.482032,POINT (16.40626443464473 48.2146197497305),Wirtschaftsuniversität Wien,AD,482032,
UNIVERSITAETOGD.482033,POINT (16.406223135786885 48.21566196605036),Wirtschaftsuniversität Wien,EA,482033,
UNIVERSITAETOGD.482393,POINT (16.34519154488844 48.21804007123538),Medizinische Universität Wien,Wien,482393,
UNIVERSITAETOGD.482394,POINT (16.33167414153381 48.23736774712295),Universität für Bodenkultur Wien,Zentrum für Internationale Beziehungen,482394,
UNIVERSITAETOGD.482395,POINT (16.360851928870705 48.213012828415096),Universität Wien,Hauptgebäude,482395,
UNIVERSITAETOGD.482396,POINT (16.317331757786384 48.2054889397581),Universität Wien,Universitätssportzentrum USZ II,482396,
UNIVERSITAETOGD.482398,POINT (16.330296021462775 48.23760734436551),Universität für Bodenkultur Wien,Baracken,482398,
UNIVERSITAETOGD.482399,POINT (16.365866449205704 48.20779178354921),Universität Wien,Theaterwissenschaft Hofburg,482399,
UNIVERSITAETOGD.482222,POINT (16.38231295437089 48.196989050609844),Universität für Musik und darstellende Kunst Wien,Palais Springer,482222,
UNIVERSITAETOGD.482223,POINT (16.382282456047378 48.19658099664793),Universität für Musik und darstellende Kunst Wien,Wien,482223,
UNIVERSITAETOGD.482224,POINT (16.381046247628806 48.196545235549856),Universität für Musik und darstellende Kunst Wien,Salesianerkloster,482224,
UNIVERSITAETOGD.482225,POINT (16.313139822747342 48.186579697715565),Universität für Musik und darstellende Kunst Wien,Schlosstheater Schönbrunn,482225,
UNIVERSITAETOGD.482226,POINT (16.36510157101912 48.19365287887959),Universität für Musik und darstellende Kunst Wien,Wien,482226,
UNIVERSITAETOGD.482227,POINT (16.374890464529464 48.20661507466812),Universität für Musik und darstellende Kunst Wien,Wien,482227,
UNIVERSITAETOGD.482228,POINT (16.374535970950056 48.201969935918),Universität für Musik und darstellende Kunst Wien,Wien,482228,
UNIVERSITAETOGD.482229,POINT (16.369511577725973 48.20104520969109),Universität für Musik und darstellende Kunst Wien,Wien,482229,
UNIVERSITAETOGD.482230,POINT (16.369894351862918 48.20091778108139),Universität für Musik und darstellende Kunst Wien,Wien,482230,
UNIVERSITAETOGD.482231,POINT (16.3867936443936 48.20299967447522),Universität für Musik und darstellende Kunst Wien,Wien,482231,
UNIVERSITAETOGD.482232,POINT (16.38293943118496 48.20838710235376),Universität für angewandte Kunst,Hauptgebäude,482232,
UNIVERSITAETOGD.482233,POINT (16.371140680507047 48.21346148881683),Universität für angewandte Kunst,Expositur Salzgries,482233,
UNIVERSITAETOGD.482234,POINT (16.379099728028162 48.20909344438523),Universität für angewandte Kunst,Expositur Postgasse,482234,
UNIVERSITAETOGD.482235,POINT (16.381399051839946 48.211149749047884),Universität für angewandte Kunst,Expositur Franz-Josefs-Kai,482235,
UNIVERSITAETOGD.482236,POINT (16.38414150251603 48.20729449229886),Universität für angewandte Kunst,Expositur Henslerstrasse,482236,
UNIVERSITAETOGD.482237,POINT (16.37196852093141 48.21217577645429),Universität für angewandte Kunst,Expositur Sterngasse,482237,
UNIVERSITAETOGD.482238,POINT (16.39817482684221 48.21129085318555),Universität für angewandte Kunst,Expositur Rustenschacher Allee,482238,
UNIVERSITAETOGD.482239,POINT (16.3849976321057 48.20973999629231),Universität für angewandte Kunst,Expositur Zollamtsstraße,482239,
UNIVERSITAETOGD.482240,POINT (16.37831556094233 48.20022308469168),Universität für angewandte Kunst,Expositur Am Heumarkt,482240,
UNIVERSITAETOGD.482241,POINT (16.37972452933844 48.209057514826114),Universität für angewandte Kunst,Expositur Dominikanerbastei,482241,
UNIVERSITAETOGD.482242,POINT (16.376354109986462 48.21020284845808),Universität für angewandte Kunst,Ausstellungszentrum Heiligenkreuzer Hof,482242,
UNIVERSITAETOGD.482243,POINT (16.365227421297888 48.201625313207444),Akademie der bildenden Künste Wien,Hauptgebäude,482243,
UNIVERSITAETOGD.482244,POINT (16.357901569058967 48.20175902187454),Akademie der bildenden Künste Wien,Institutsgebäude,482244,
UNIVERSITAETOGD.482245,POINT (16.396706018833008 48.21228201050784),Akademie der bildenden Künste Wien,Bildhauerateliers,482245,
UNIVERSITAETOGD.482246,POINT (16.351735473671383 48.21963565071546),Medizinische Universität Wien,Wien,482246,
UNIVERSITAETOGD.482247,POINT (16.350839904478 48.222503462284045),Medizinische Universität Wien,Wien,482247,
UNIVERSITAETOGD.482248,POINT (16.344341816209 48.22018781015255),Medizinische Universität Wien,AKH,482248,
UNIVERSITAETOGD.482249,POINT (16.348373255599675 48.21726973474831),Medizinische Universität Wien,Wien,482249,
UNIVERSITAETOGD.482250,POINT (16.34229928047689 48.21613736544498),Medizinische Universität Wien,Wien,482250,
UNIVERSITAETOGD.482251,POINT (16.358122490629366 48.21810744647732),Medizinische Universität Wien,Wien,482251,
UNIVERSITAETOGD.482252,POINT (16.35817928200451 48.214991583041126),Medizinische Universität Wien,Wien,482252,
UNIVERSITAETOGD.482253,POINT (16.357134797188536 48.21920732451805),Medizinische Universität Wien,Josephinum,482253,
UNIVERSITAETOGD.482254,POINT (16.360496360157722 48.216256065402405),Medizinische Universität Wien,Wien,482254,
UNIVERSITAETOGD.482255,POINT (16.355522903342745 48.21854015443631),Medizinische Universität Wien,Wien,482255,
UNIVERSITAETOGD.482256,POINT (16.35279578821901 48.21924935290256),Medizinische Universität Wien,Wien,482256,
UNIVERSITAETOGD.482257,POINT (16.337577480698467 48.23654607282594),Universität für Bodenkultur Wien,Gregor Mendel Haus (Hauptgebäude),482257,
UNIVERSITAETOGD.482258,POINT (16.33500709210109 48.23616555180693),Universität für Bodenkultur Wien,Adolf von Guttenberg Haus,482258,
UNIVERSITAETOGD.482259,POINT (16.335006269350725 48.23690523695278),Universität für Bodenkultur Wien,Oskar Simony Haus,482259,
UNIVERSITAETOGD.482260,POINT (16.336043508397953 48.236905808258996),Universität für Bodenkultur Wien,Forschungsglashaus,482260,
UNIVERSITAETOGD.482261,POINT (16.33592544677782 48.23723293335785),Universität für Bodenkultur Wien,Adolf Cieslar Haus,482261,
UNIVERSITAETOGD.482262,POINT (16.33167414153381 48.23736774712295),Universität für Bodenkultur Wien,Wilhelm Exner Haus,482262,
UNIVERSITAETOGD.482263,POINT (16.33167414153381 48.23736774712295),Universität für Bodenkultur Wien,Franz Schwackhöfer Haus,482263,
UNIVERSITAETOGD.482264,POINT (16.33502403253897 48.23723095935068),Universität für Bodenkultur Wien,TÜWI (ehemaliges Gasthaus Türkenwirt),482264,
UNIVERSITAETOGD.482265,POINT (16.331222170038117 48.23648527795925),Universität für Bodenkultur Wien,Außenanmietung (ehemalige Villa der Sängerin Maria Jeritza),482265,
UNIVERSITAETOGD.482266,POINT (16.339955853086366 48.23400658027536),Universität für Bodenkultur Wien,Wien,482266,
UNIVERSITAETOGD.482267,POINT (16.523151388699095 48.21209574913876),Universität für Bodenkultur Wien,Außenstelle Essling,482267,
UNIVERSITAETOGD.482268,POINT (16.42491284649101 48.285448229202586),Universität für Bodenkultur Wien,Außenstelle Jedlersdorf,482268,
UNIVERSITAETOGD.482269,POINT (16.2414619044158 48.21890196552274),Universität für Bodenkultur Wien,Außenstelle Knödelhütte,482269,
UNIVERSITAETOGD.482270,POINT (16.368490431996676 48.24667788235995),Universität für Bodenkultur Wien,Emil Perels Haus (Muthgasse I),482270,
