FID,SHAPE,NAME,ADRESSE,OEFFNUNGSZEITEN1,OEFFNUNGSZEITEN2,OEFFNUNGSZEITEN3,OEFFNUNGSZEITEN4,OEFFNUNGSZEITEN5,OEFFNUNGSZEITEN6,TELEFON,EMAIL,WEBLINK1,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
VOLKSHOCHSCHULEOGD.140336,POINT (16.37055411878877 48.17315198324834),VHS Favoriten,"10., Arthaberplatz 18",Mo bis Fr: 8.30 bis 19.30 Uhr,,,,,,01 891 74 110 000,favoriten@vhs.at,http://www.vhs.at/favoriten,10,140336,
VOLKSHOCHSCHULEOGD.140337,POINT (16.385298055006494 48.15271512139035),VHS PAHO,"10., Ada-Christen-Gasse 2/B",Mo bis Do: 8.30 bis 12.30 und 14.30 bis 19.00 Uhr,Fr: 8.00 bis 11.30 Uhr,1. Juni - 16. Sept Mo-Do 8.00-13.00,,,,01 891 74 110 001,paho@vhs.at,http://www.vhs.at/favoriten,10,140337,
VOLKSHOCHSCHULEOGD.140338,POINT (16.463870590598976 48.154128600101984),VHS Leberberg,"11., Rosa-Jochmann-Ring 5/2",Mo bis Do: 9.00 bis 12.00 und 13.00 bis 19.00,Fr: 09.00 bis 13.00,,,,,01 891 74 111 001,simmering@vhs.at,http://www.vhs.at/simmering,11,140338,
VOLKSHOCHSCHULEOGD.140339,POINT (16.338124676584307 48.18256099741785),VHS Meidling,"12., Längenfeldgasse 13-15",Mo bis Fr: 09.00 bis 18.30 Uhr,,,,,,01 891 74 112 000,meidling@vhs.at,http://www.vhs.at/meidling,12,140339,
VOLKSHOCHSCHULEOGD.140340,POINT (16.33507511698271 48.184336632493654),VHS Schönbrunner Straße,"12., Schönbrunner Straße 213-215/1",Mo bis Fr: 16.00 bis 19.30 Uhr,Fr: 9.00 bis 12.00 Uhr,,,,,01 891 74 112 001,schoenbrunnerstrasse@vhs.at,http://www.vhs.at/meidling,12,140340,
VOLKSHOCHSCHULEOGD.140341,POINT (16.28682389426136 48.17045638318622),VHS Hietzing,"13., Hofwiesengasse 48",Mo bis Do: 09.00 bis 13.00 und 14.00 bis 19.00 Uhr,Fr: 09.00 bis 13.00 Uhr,,,,,01 891 74 113 000,hietzing@vhs.at,http://www.vhs.at/hietzing,13,140341,
VOLKSHOCHSCHULEOGD.140342,POINT (16.33386612102305 48.20669793037935),VHS Ottakring,"16., Ludo-Hartmann-Platz 7",Mo bis Do: 09.00 bis 13.00 und 14.00 bis 19.30 Uhr,Fr: 09.00 bis 18.00 Uhr,,,,,01 891 74 116 000,ottakring@vhs.at,http://www.vhs.at/ottakring,16,140342,
VOLKSHOCHSCHULEOGD.140343,POINT (16.33224547990591 48.219071050777174),VHS Hernals,"17., Rötzergasse 15",Mo bis Do: 9.00 bis 12.00 und 14.00 bis 19.30 Uhr,Fr: 9.00 bis 12.00 und 14.00 bis 18.30 Uhr,,,,,01 891 74 117 000,hernals@vhs.at,http://www.vhs.at/hernals,17,140343,
VOLKSHOCHSCHULEOGD.140344,POINT (16.371482611395475 48.233381398211876),VHS Brigittenau,"20., Raffaelgasse 11-13",Mo bis Fr: 09.00-20.00 Uhr,,,,,,01 891 74 120 000,brigittenau@vhs.at,http://www.vhs.at/brigittenau,20,140344,
VOLKSHOCHSCHULEOGD.140345,POINT (16.401738254968752 48.25868767838482),VHS Floridsdorf,"21., Angerer Straße 14",Mo bis Fr: 9.00 bis 12.00 und 14.00 bis 19.30 Uhr,,,,,,01 891 74 121 000,floridsdorf@vhs.at,http://www.vhs.at/floridsdorf,21,140345,
