FID,OBJECTID,SHAPE,NAME,ADRESSE,WEITERE_INFORMATIONEN,ANBIETER,SE_ANNO_CAD_DATA
WLANWIENATOGD.504475,504475,POINT (16.329760607523504 48.181690929923484),Meidlinger Platzl,"12., Meidlinger Hauptstrasse 8-10 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504299,504299,POINT (16.335604707493214 48.21331939063944),Yppenplatz,"16., Yppenplatz ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504300,504300,POINT (16.359165197222495 48.21076836743137),Rathpl2-RootMaster,"1., Rathausplatz ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504301,504301,POINT (16.358349108785774 48.210056269255325),Rathpl1-Slave,"1., Rathausplatz ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504302,504302,POINT (16.360010898046895 48.21030153853133),Rathpl3-Slave,"1., Rathausplatz ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504303,504303,POINT (16.42882980580514 48.22872552904491),Kassa,"22., Gaensehaeufel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504304,504304,POINT (16.431568539107793 48.22884391872462),Uhrturm1,"22., Gaensehaeufel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504305,504305,POINT (16.431547436158514 48.228843541454815),Uhrturm2,"22., Gaensehaeufel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504306,504306,POINT (16.43112867409305 48.22727908093611),Aquascope,"22., Gaensehaeufel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504307,504307,POINT (16.384905002666695 48.25011198102811),FdB_WC,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504308,504308,POINT (16.386537098385382 48.249558937966555),Fdb_Parkplatz,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504309,504309,POINT (16.387184286241656 48.24809588610597),FdB_Halte,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504310,504310,POINT (16.38753820937517 48.246687406247254),Schulschiff,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504311,504311,POINT (16.38865434567695 48.24557103500108),Festbuehne1,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504312,504312,POINT (16.38903407146191 48.245215002940206),Festbuehne2,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504313,504313,POINT (16.390514847227443 48.24470458106283),U6-1,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504314,504314,POINT (16.391288113490894 48.2441091374101),U6-2,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504315,504315,POINT (16.391324892630127 48.24300584355169),Sport1,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504316,504316,POINT (16.39257120063774 48.24214324680399),Sport2,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504317,504317,POINT (16.393400598328174 48.24135404915262),Sport3,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504318,504318,POINT (16.393995987774968 48.24068556139981),Nord-Brigitt1,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504319,504319,POINT (16.395043262516143 48.23986305704862),Nord-Brigitt2,"21., Donauinsel ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
