FID,OBJECTID,SHAPE,ADRESSE,WEBLINK1,SE_ANNO_CAD_DATA
WOHNSTRASSEOGD.12465,12465,"MULTIPOLYGON (((16.305981523024762 48.24266695714907, 16.306000175314324 48.242657618170135, 16.30599552336199 48.242646717289006, 16.3061307202569 48.242628073830005, 16.30616335371463 48.24263119393728, 16.306200638264976 48.24264677071845, 16.306333526596063 48.242615670945995, 16.306610953900027 48.24252076593369, 16.306832429352806 48.242444524764366, 16.307051584048132 48.24237607962041, 16.307620394847103 48.24223297918924, 16.30780223914777 48.24216762600902, 16.307923456691523 48.24215364443696, 16.30846198538681 48.241982509851056, 16.30898651978269 48.24181603687671, 16.30958099438608 48.24161843443521, 16.30982345847443 48.24152663421684, 16.310126495433614 48.24148154845628, 16.31005885069623 48.24157339795667, 16.309935309948436 48.24157959320742, 16.308862914792645 48.24194211830088, 16.308795341856857 48.24191874716021, 16.308496930153527 48.24201832885046, 16.308529552508844 48.242041691806314, 16.308016665171092 48.2421988216742, 16.307986384708645 48.2421770149555, 16.30781852236749 48.24222990739097, 16.30781385549633 48.24224548233548, 16.30753644229121 48.242321702546874, 16.307263669615825 48.24240415548448, 16.30725204218393 48.24237145357561, 16.307163457302124 48.24238856325588, 16.30708886165184 48.24240411158862, 16.307028239143936 48.24242277502136, 16.306834735456608 48.24248501239222, 16.30686268574065 48.24253172977337, 16.306186593602067 48.242743299255274, 16.30614696166708 48.242758856051395, 16.306125970201123 48.24278532634453, 16.306123628310694 48.242807125065134, 16.306172406388217 48.24310763395218, 16.30606513628095 48.24311827187248, 16.305981523024762 48.24266695714907)), ((16.306062847350454 48.243118496103634, 16.30606513628095 48.24311827187248, 16.30606517654012 48.243118496711055, 16.306062847350454 48.243118496103634)))","18., Geymüllergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12466,12466,"POLYGON ((16.321553622572164 48.232948472518004, 16.321590857363176 48.23294116578514, 16.321882023922957 48.23359390598561, 16.32179877727629 48.233607070643586, 16.32158861773491 48.23315043582752, 16.32156890699979 48.23311677203123, 16.32154043449027 48.2330787184746, 16.3215119721669 48.233052373977834, 16.321485684721022 48.23304651611806, 16.32143311830571 48.23305236398031, 16.32128852610432 48.233083084053625, 16.32036407748152 48.23324247293903, 16.32030716063142 48.23312392660915, 16.320804429437537 48.233046427804496, 16.32081537443058 48.233087410985526, 16.321553622572164 48.232948472518004))","18., Messerschmidtgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12467,12467,"POLYGON ((16.405178525689102 48.19281939049, 16.405097938247913 48.19286466573017, 16.40412126828152 48.192113740219035, 16.40425645945698 48.19203538325452, 16.404298062193906 48.192016221029014, 16.404363095434046 48.19200748597685, 16.404407342565634 48.19202485253082, 16.404438592712697 48.19204918753896, 16.404454245360395 48.192077012189614, 16.404462083489666 48.192104841488444, 16.40444391135077 48.192134430944684, 16.40442312940794 48.192153571848465, 16.404394523659946 48.1921657656541, 16.40437893808973 48.192188392823184, 16.40437896121237 48.19220578566341, 16.40439980059412 48.19221969475342, 16.405181135053855 48.19281938892095, 16.405178525689102 48.19281939049))","3., Maiselgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12468,12468,"POLYGON ((16.390732490215616 48.20434559615151, 16.389768069501553 48.20484449797315, 16.389639747207166 48.204738555213815, 16.39061092314798 48.20424190854282, 16.390735867007706 48.204345594545394, 16.390732490215616 48.20434559615151))","3., Czapkagasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12469,12469,"MULTIPOLYGON (((16.39025770375765 48.205234446363974, 16.390621895334743 48.20504708098788, 16.390591487599515 48.20500650019222, 16.390743242477146 48.20492974323392, 16.390908713313983 48.20507400497468, 16.39038833659457 48.205334721628034, 16.39025770375765 48.205234446363974)), ((16.390386023799973 48.20533588284155, 16.39038833659457 48.205334721628034, 16.390392779902164 48.205338136937016, 16.390386023799973 48.20533588284155)))","3., Uchattiusgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12470,12470,"POLYGON ((16.367992066068858 48.19622209832452, 16.36802918643608 48.19599783366751, 16.368012115610423 48.1959957699794, 16.36804148994696 48.19579642761048, 16.368011981308562 48.19577982538361, 16.368199853512976 48.195759007710194, 16.36815656177719 48.196050750106686, 16.36820010616055 48.196162865107276, 16.36799206671167 48.19622313254189, 16.367992066068858 48.19622209832452))","4., Neumanngasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12471,12471,"MULTIPOLYGON (((16.367227524286363 48.19506828319128, 16.367955911856516 48.195121475974844, 16.36797037456292 48.19501792428162, 16.368176060630564 48.195030817195565, 16.368241145503827 48.19463766133538, 16.368388781241013 48.19467968109189, 16.368367012487237 48.19469262842536, 16.368342911012487 48.19484632895491, 16.368323553180108 48.19484310583239, 16.36829463759763 48.19504210643643, 16.368497903692642 48.1950566092356, 16.36847861314017 48.195160153363176, 16.369248138454605 48.19521656389895, 16.369086087766444 48.195331480688395, 16.369047362285574 48.1953104567209, 16.36849078946447 48.195271782488675, 16.368466645232985 48.195357539435605, 16.368268210919798 48.195349501336835, 16.368246517872155 48.19548379383429, 16.368091922709578 48.19550160758105, 16.368120579417464 48.195317194082314, 16.367936668369165 48.195302676256986, 16.367946298864577 48.195215313665706, 16.36727840285295 48.19516857950941, 16.367246950886358 48.19518476681057, 16.367227524286363 48.19506828319128)), ((16.368091667156566 48.195501634631825, 16.368091922709578 48.19550160758105, 16.368091668165818 48.19550325340701, 16.368091667156566 48.195501634631825)))","4., Mozartplatz",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12472,12472,"POLYGON ((16.375438272106308 48.19405379473191, 16.375310881749154 48.19401977206609, 16.376269057730315 48.19237593342813, 16.376396446869506 48.19241278790085, 16.375438272106308 48.19405379473191))","4., Schmöllerlgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12473,12473,"POLYGON ((16.364663894685094 48.19436241717505, 16.364738133242053 48.19427297929798, 16.365109718015344 48.19445455758685, 16.36529016763668 48.19449141092922, 16.36567449795737 48.194680070783825, 16.365663970305036 48.194827678858275, 16.36586575662943 48.195053293020756, 16.365596169895667 48.195047687909906, 16.365534491830125 48.19485041996146, 16.36545802625644 48.194761029170024, 16.365417672557278 48.19473548980874, 16.364666006452207 48.194362416649454, 16.364663894685094 48.19436241717505))","4., Schäffergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12474,12474,"MULTIPOLYGON (((16.366961263351286 48.199832022962674, 16.367842303017156 48.19953185980771, 16.36811145545063 48.19949322226369, 16.36815636501808 48.199568194955496, 16.36795130875349 48.19962394686523, 16.36701218428501 48.199951007152876, 16.366961263351286 48.199832022962674)), ((16.367009400263022 48.19995197916714, 16.36701218428501 48.199951007152876, 16.36701260188872 48.19995197830496, 16.367009400263022 48.19995197916714)))","4., Treitlstraße",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
